ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_N_Los
-478.7590026268138,820635.5789170301,670674.5586731883,52352.24049391873,15635.41589205615,8287.912959954407,31507.92698198643,34970.0099644943,1697.8293284557974,2971.689163764564,2895.7212691616924,0.0258852669514596
-288.2684601390701,799385.9914613455,615542.1752439307,68716.55005007307,15788.728906892602,12393.420873643448,29011.950319143973,51100.21440869872,2391.690659109186,2966.131124418697,2751.712332813452,0.0241744710226144
-437.5880084881605,783635.8664523775,676573.9946916623,92706.85418586188,16302.292092072514,6732.321699556918,27002.95646621549,58334.95516505269,3091.0638391066877,3054.33059304632,2971.930425579641,0.0250218833255853
-362.5180654844023,804673.9720376784,642801.7215079796,60453.172418738126,15867.495737250174,8939.814652828523,29966.80956143947,33811.60966784992,1882.7832013127731,2960.533660542699,2859.452826277515,0.0386015836303475
-436.786300442152,780358.1559793885,685521.1553503098,58688.88151999387,16370.620485055657,5288.262809354321,28878.533239923097,65270.75907943132,2050.872474988877,3039.689567925607,2954.1044792790462,0.0267477832352456
-339.72919927579414,752775.3314431293,662749.9606834967,56021.824446432656,16742.059599883516,5180.92939767804,28605.391434253463,36341.92449291657,1970.1876316955413,3095.524036905935,2976.091073135838,0.0247064381927672
-246.6113442412536,780417.5161177819,618854.8227518225,69140.28106052573,16328.194255368418,10374.792836849409,29219.26279628924,29039.930557563264,2513.3388384887776,2841.6794271563363,2805.93170382219,0.0248201318900416
-381.90350700199656,780581.2781550696,550912.437045894,72598.92653659044,16608.547651828154,13770.2531545057,29172.162934495296,20554.918313907023,2266.125640786486,2718.821608924832,2697.638453783356,0.0384051395214896
-323.1227597789096,788704.7316011247,692992.973080715,50861.30282453718,16301.066098588752,5416.180767533096,29060.477432904663,28660.016936196094,1608.6966018596663,3102.566110106754,2972.4571624923283,0.02603479037788
-275.990844679579,830877.2597121886,673200.5923662664,65264.62045285818,15545.626504506688,9172.019570130416,29379.57323025522,31794.416074324305,2125.424789291566,3058.348789866169,2974.4735001815475,0.0334698427159529
-340.77852964791987,815846.6973413958,580007.6015239197,50705.92788835101,15709.821605337183,14420.572167093876,30302.267488525693,46524.734214803,1591.6521600916524,2684.2737496544823,2710.278405450659,0.0179193399990258
-267.87229210339933,772365.6199414831,706855.2867972096,62876.62843119142,16595.302683729777,3929.7081791009687,27955.86900606368,56688.23741531782,2231.7250347006016,3141.1647959362285,3044.8677240553925,0.0291788031365845
-345.8849280884709,758994.0244246877,670238.3335084352,68488.09681209097,16561.109609473,5326.6257124682215,28609.358232037324,47898.05364778484,2378.991661760936,2964.0698846803566,2928.269061511625,0.0224523839079566
-203.09188363566204,803633.2129652885,586459.7852486339,56155.042652776414,15988.24364939207,13278.639205997204,29310.10395637169,32437.066549327275,1848.518119761828,2790.0505280709185,2761.5599903774023,0.0204667172403569
-353.7299161494799,821389.3225128797,568686.0822647434,69472.68981207946,15523.62836909772,15402.018775105793,29401.986090645023,46282.98777264146,2623.55055953632,2772.184156240796,2727.900612837688,0.0282339391419862
-459.73244070442144,815062.0842605804,655809.2877599326,62315.30858257035,15720.868433584224,10097.42851809992,29477.65166072041,41448.68222647758,2361.168648957801,3052.6165938769523,2882.607952684107,0.0265810356791252
-217.93190566942167,790030.330913356,631343.897967862,60163.753194541976,16414.071215900593,10369.814038709805,29019.080436758923,30596.78916153362,2046.6544624595324,2973.9225551579334,2791.638904382932,0.0192502682137576
-429.5629040375189,788155.633313769,672434.5969961758,50681.15646722997,16331.969269625655,7133.243156249613,29830.43588505391,21932.21006014733,1474.9057727494398,2938.8359192464027,2937.667816154271,0.02330094418201
-484.43693678125567,794294.079384246,704601.280354659,56558.57790936805,15830.404078651156,5192.19817994629,29269.64720359601,45726.34600581618,1750.3334875084831,3072.92229334498,2956.3307810500496,0.0254160500948595
-338.1991154142821,816247.0225770961,625716.1512035262,107330.77204155448,15970.910118616448,10980.347094465327,27207.52734605821,45204.767598638224,3745.367762552195,2958.537366651813,2820.7195095049365,0.0279358438768345
-326.0206788118247,813091.2401521611,617944.1750553465,71926.04152866142,15839.234334947683,12200.983569316895,29830.88339445159,38890.09029376092,2371.6185713872965,2916.681839403327,2876.431681732149,0.0222059173877597
-355.33319671082427,795025.3063137986,598776.3165873755,79870.21726887468,16013.668484989425,10899.519503893094,28320.338284554146,30500.952809737755,2440.141452628709,3001.504581773859,2867.4294139667454,0.0296510178954087
