ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_H_N
-225.44277860794915,799204.408940986,694249.1864296955,61787.65593084892,15904.121624748728,5202.905258277358,30343.588100006757,34653.78931963052,2191.212494501863,2690.5708486057943,3031.7603440228568,0.0284208726553403,0.0300879704011796
-144.46039106842144,785408.0452611488,696463.8328891485,50000.17504198711,15967.445719348938,4643.3413502259455,31408.085379609136,24686.90790108385,1554.5893480653465,2747.2275657407195,2930.214118205953,0.0240406079544241,0.0251145025224485
-263.1552694527148,809993.6324818814,724431.890784475,72018.65187764494,15655.895892427254,4253.202614191564,30063.76342484828,40064.726765224,2377.899003465092,2662.2443456443434,2978.7110900434304,0.0281103866519834,0.0411820820048437
-134.5492598179952,786255.1385557867,691571.0794291691,58520.39492316618,15923.91981654188,5006.021941899676,30333.739242372623,23985.494644976126,2073.364816548917,2601.952560340886,2873.9514490694046,0.0211202342185208,0.036685305408773
-162.45375221570023,830819.2100405433,721335.8891630663,60140.63849220195,15375.734400266876,5060.163991762807,31075.752879825697,24280.83454496274,2090.349053622769,2333.290704482943,3027.9812577205976,0.0183886287204503,0.0668678892771705
-221.88818291269888,858992.1284330944,779265.0106304099,51057.73263827067,14909.136097789193,3511.3741714670737,32609.15270783361,30828.06931701485,1611.0204126614776,2531.031631695428,3146.5989399933574,0.0271677943491176,0.0568913586430266
-277.9466227083737,820348.2407607891,734171.9884020255,63173.28887437532,15586.173814292377,4314.363950870787,30488.793585631072,26115.214043982716,2303.420328850548,2513.279026661947,3142.431200646721,0.0179101931393354,0.0396438769810732
-127.18514604703708,825778.4515883105,701175.4237018388,66425.25949018319,15280.64817566918,5791.882713522409,31167.39798435142,32688.23578290989,2295.645390423962,2693.479366180563,3012.131616150688,0.0330375213252458,0.027925316668127
-181.6151201518124,777169.0594904891,676234.5056896241,50000.17455287967,16256.33971650798,5245.536563352184,30854.925011223146,24751.36148225654,1679.9654205838024,2683.3019158839493,2975.969383788501,0.0404817504306724,0.0343325408537315
-154.47473889605317,810687.059371717,668304.2277584355,52909.40434176936,15523.935173548594,6844.498642230984,32108.81623799784,21737.39611729186,1707.6819427774076,2447.548913814609,2931.456672218788,0.0298034565003962,0.0508854682490851
-164.3775264688367,761177.0931091016,701522.6851192593,52105.88151994975,16371.384549960016,2995.3492584518035,30666.171216063143,19011.135341144218,1665.9476714771647,2618.792112380088,2965.8222554740414,0.0329948176737526,0.0376621511473961
-231.3884561525943,814013.5489466675,740434.8534222028,55834.992190817575,15489.664080829842,3444.452014758966,31230.958749462126,28282.38323039627,1888.3549320774755,2597.7414845409016,3016.7912926061176,0.0269006269634268,0.0431895762002909
-136.01318080633075,766964.3766794129,673307.8282368212,62030.8969920369,16571.878676126013,4814.9782636862565,28748.569498030407,28458.195936640524,2030.19225985739,2378.3756546150403,2982.6509577128045,0.013095283110327,0.0578249921053479
-135.06127153279937,814285.3796957866,788024.5962930431,52376.16279197862,15715.011026796896,1185.016513281941,31535.09465745534,25831.1039732668,1602.1409272420344,2270.997202040708,3122.885551721419,0.0219553445614642,0.0891339597435646
-139.6737190452307,801329.6433912278,687509.4595416528,54832.57646835583,15772.149731961756,5670.500226267837,31118.31529465597,37405.71158509304,1879.100854148082,2349.129094553063,2940.5593821817056,0.0172569766898428,0.0594260887992928
-122.24872706192248,806479.9808944259,686533.0749964388,50296.17270545898,15763.618258816055,5721.310750241079,31715.51110227257,21058.650149431694,1595.674519540437,2576.631713035492,2978.002503322449,0.0356592685067982,0.0391307640731521
-163.52083864876377,790934.0911944973,704908.4660943156,50000.00000799503,15942.528348029273,4173.674210074909,31544.42838190112,20278.44031196444,1591.491468170237,2593.1478838902617,2960.811308283449,0.0298279410490782,0.0433845299871047
-131.21215254403694,772295.9923850152,683657.0315064325,53640.08767918943,16102.63560426546,4564.199676052896,31374.16540243169,23565.005245211167,1809.0103688546544,2490.4783011705326,3053.759132327096,0.0281767489566244,0.0485673378566041
-187.9679479539991,803195.1846729661,694987.7703148128,71901.0355322415,15866.429196721194,5412.348546403345,29821.800043084117,42517.139772280265,2634.965182589648,2471.180773626635,2986.1570785900853,0.0270917829607426,0.0578574150501932
-290.63875860494545,832842.908308675,668672.9308361195,52655.88127584705,15033.96300524578,7821.379902357,32878.44676476983,19819.50628343114,1637.185185068084,2538.4239788832624,2906.1949930688465,0.0301952681819192,0.0509268770632985
-140.8855146600875,812396.4007445107,676881.3848940654,55672.85452499197,15478.420858985017,7069.253843085471,31702.451341952376,30256.50349192909,1913.2738229639924,2332.577218742505,2966.973429133256,0.0271996078488349,0.0656560655630474
-118.88134571307344,802683.1066312719,691231.031648703,63048.40528807542,16010.148346598418,5411.785616639675,30001.568909486763,33908.896193805704,2264.1941761559765,2463.295385371201,2932.0075521729104,0.0261708151575705,0.053727620919432
-153.180830346468,822516.803206637,713797.7240556501,71619.1070215083,15452.38321206022,5105.924633612824,30454.85089505008,26257.17699382629,2541.8498585731904,2505.043424286363,2972.348436531907,0.0229821335923209,0.0611206335278656
-186.29239990603008,838076.4526843671,728853.0640746866,58842.3333370272,15132.907177158226,5111.721414295469,32300.479119761665,24425.576682385345,2068.137781995606,2488.806084585324,3078.9881286738914,0.0212149793105511,0.038023643004383
-84.00690009182603,801830.0321231737,695399.0318412194,50000.00000000001,15768.40148428739,5444.172068325252,31449.999503201663,24489.199419636,1569.717074268302,2528.361096054912,2969.8617249612034,0.0172008916775386,0.0483471061229332
-112.59612748354724,802651.3387029093,670678.5320301177,55880.1567554965,15866.46461794036,6660.14408312794,31255.47464293934,21793.38082034468,2033.320482886276,2392.6809797292944,3029.6956414741844,0.0252049314039764,0.0555781793283807
