ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D
-207.7086487862481,773820.643828264,635544.9516479273,77584.05369363636,16045.25568458253,7826.02436147826,29333.858119935157,45962.30263899153,2724.6036221301074,3028.7929608640047,2842.762505273401,0.040419499380687
-253.46862341412927,808897.1112266047,674559.2357176252,55716.11626766118,15291.311666547612,6608.493707088072,33309.747229524764,22356.32242646922,1824.1576023009216,2992.5680941404803,2878.6670300118008,0.0433022001526484
-197.3485172422018,823116.7103072064,643544.4349279457,54847.10198516888,15163.93524204774,8875.318140837408,32948.24048300338,31729.106728211587,2020.6254378714136,3006.177628305995,2768.120023965434,0.0395389966158718
-189.78537172981447,777598.6273054146,675921.466121006,57867.675673121084,15986.749545926908,5117.566220502816,31084.20580971149,25568.408773693365,2012.5061949047076,3164.047527932812,2922.067247820643,0.0326862015635042
-166.07637740138617,807620.9836782576,620365.4143342639,56485.43924124047,15540.311288225686,10641.472488301768,32667.525890995705,18805.548903383915,2078.6423409570093,2894.78722403692,2751.801373433288,0.0303790243593268
-192.12085968188097,799813.3463345569,551594.3919787008,75050.21900194816,15554.680067859135,12519.995350450048,30988.578486248312,19404.200497188143,2775.6992123527284,2785.2203421520844,2628.1991415107677,0.043184346912472
-204.399774437551,798939.7263969062,702129.4547266058,59357.83328173583,15692.480245666406,4853.168562144399,30957.878951086856,25420.68294920059,2077.94824055002,3066.7210388369963,2982.1883693078585,0.0358057227526893
-261.6477897688206,817159.5409141628,706462.2505749449,63509.12468443576,15254.019241564618,5695.96450239697,31701.03538841852,24492.14315240472,2180.818866972336,3170.720960286886,3005.779992667457,0.036429018317413
-165.08926847126003,816945.7956051336,587265.7512546703,52187.67801948848,15326.054477992311,12450.130921318676,32363.654739520756,30429.946208278583,1637.3137821308062,2754.574691102685,2704.0053282360223,0.0323490690543642
-256.1969371051624,799725.4440347891,689757.5450999191,52416.23044369474,15616.416546753146,5956.176404388387,31495.54576861447,29415.14329951039,1825.890170448821,3161.7915071289067,2973.4155298656106,0.0332958322018539
-188.9590090266494,789353.5131583067,702727.0555004786,67529.7831556981,15767.162882839735,4404.660728887494,30825.435619919965,28662.4141196813,2461.836224610092,3148.506837599516,2964.7509088010843,0.0386166114136512
-210.3891269180468,812007.4992279323,625398.1479303025,50000.15258056021,15591.117464496025,10378.825893107223,31572.379351925178,24168.120223067137,1639.0251971466612,2931.299181005521,2919.946075327472,0.0225732971876317
-246.68707524165552,798803.9889455087,631042.4407311514,50000.00062875643,15474.932154102418,8931.90541676376,31864.07403433608,24005.912450061023,1800.6260864135406,3016.89075163142,2827.3466024283634,0.0415885699869681
-223.86042489080592,796592.8779262925,665079.2805894318,54763.50679065507,15560.930497454396,7316.780040237997,32007.396093718653,25336.723339436543,2091.760036874082,3085.031801773077,2879.5694649498555,0.044135024085303
-133.401060129698,777738.8357962194,640627.0063768012,58677.26803039741,16178.25191670328,7875.934240648335,30597.879483713303,24351.85489156356,1973.0761788360187,3024.2801846055986,2791.063858926896,0.0255556796765472
-143.31361321940244,805490.9865864761,645951.1778777622,61663.36415936248,15587.1405485212,8397.911901025804,31935.908742332056,21618.380554344854,1901.851407435351,2987.466592023672,2787.2647113438334,0.0404433311051125
-183.31382562485845,818454.672861066,745979.3156484105,59479.65807573822,15106.78391261013,3502.9963528797184,32592.935535611337,33505.7604478839,1936.505335956916,3209.02915289244,3030.920439799429,0.0415455802226077
-200.18684870530228,789965.3898135674,673640.0930674461,63455.16802031512,15854.453610683586,6023.749905137091,31394.276736782424,21709.927090437337,2188.6803450232983,3079.895594369982,2954.34575292126,0.036546033167101
-240.9838553618413,825899.3717587015,599296.5903070297,69768.03030382257,15246.8290170259,12643.068882256424,32249.954638744228,27639.06469409553,2424.549115722449,2935.3269597476856,2816.954441223614,0.0331689442263824
-256.61547719672217,798081.6074440256,577510.0097969192,81459.3308770844,15585.10266758561,11675.549483922332,29581.829955908,34908.253143797134,2712.3646247020583,2907.2967897396643,2740.937503852706,0.0364036033680134
-238.56032151699011,790396.1130138775,653628.3485200452,71122.91804355221,15850.4019173117,7410.731767526791,30227.78844301201,28086.635955363738,2472.523755621005,3025.730442237841,2829.416395131349,0.0335006153788864
-193.94194757139024,780180.886964281,680335.3331562483,59599.43575578837,16090.03858798232,5468.44093179118,31959.053262943227,23029.92621790683,1993.8506838925127,3114.469441675072,2884.46283338419,0.0262727339944093
-155.6090027647583,810233.9971155323,646656.2765686595,65837.632759579,15290.30039238809,8422.521346433809,31751.19574691085,21026.47421652756,2257.297499683607,3076.0604173662514,2823.776250423217,0.0393696827965204
-274.5184160852308,787544.4577546926,689673.0104184832,65763.48726637848,15496.606816723,5213.36068540932,31477.352129533712,27534.87828258678,2439.1657692386752,3005.019327866517,2896.7510762426,0.0388842716989284
-249.32506676109844,778520.7585547951,597073.5484977623,66762.37745551749,15953.03519347374,10421.983783399344,30816.275859003847,33539.95175966496,2468.887968225582,2887.022747381137,2686.9804170143466,0.0351932770460895
-234.32932457896615,772220.5688023007,693147.8640055233,59075.18088102378,16001.654909702742,4288.575455191321,31049.718728742024,20546.626901090487,2023.499740785206,3131.385155756853,2920.9125335100885,0.0307020864922726
-94.81484855018876,795089.6863274437,573862.2702789495,69146.37306094036,15624.145742319177,12282.988252011482,31497.128061117437,18288.640402026434,2443.8072129584907,2657.358182939085,2708.9507833334537,0.0435364871161047
-236.3161170812949,832028.0123065285,645391.8611617439,76006.03451865973,15031.570748870216,10251.230360557842,31636.958531628352,32047.193275813872,2442.405530544036,3076.034863281338,2832.8874363582186,0.0318550800459337
-116.14251550401836,792576.9062862035,644255.8016940058,51847.20436078682,15676.339076407696,8316.918324719521,32284.51956110862,27826.21831148756,1812.6886561960323,3186.425615505921,2855.385522266008,0.0318012807183528
-340.1765961046674,784367.9612893778,542313.3627186823,59633.95962513445,15959.986925236555,12980.018529368106,31101.682668829177,68119.2015799152,1864.47407750819,2697.4401590787365,2572.838827947978,0.0352938684430295
-288.4586101263984,821714.7842447542,684558.5265980101,58407.42906160109,15279.557376482457,6957.994719127824,33142.11333681377,31150.458267233083,2028.6481851675924,3087.310911178501,3053.391687754522,0.0272539457141586
-181.1403209418807,796941.1072623726,694333.9249349827,57330.90866252188,15614.469953040449,5265.130431406728,31923.29108975372,17435.286842004178,1873.538946598384,3007.1211044395186,2887.894871960651,0.0306560557600509
-135.9529540825794,781143.1880174988,584574.6099308891,59973.27938934536,15975.205768855554,12105.47766735456,30685.083875067063,26980.854106639457,2122.300187259121,2847.5391869221576,2680.6233418643146,0.0245642920470277
-212.42465707380936,787428.1183784584,629639.1328828222,50148.97906182383,15946.27796102373,8617.612843897057,31884.31139130321,21176.46829738745,1536.680346633692,3042.396555861621,2776.347175418812,0.0411471753735994
-384.8572440606157,789450.4775353424,684180.8288345701,60218.584400699285,15776.832782978216,4931.990042508925,30590.88310316099,47603.08366312153,2107.7728989081224,3026.78295209777,2889.5468833295395,0.0464372619105606
-186.4073730030281,807708.4026962278,663101.9475659064,50019.37548877299,15405.41108498204,7277.20887780261,33518.80633180693,19904.91117849047,1729.2070055707777,3133.0797874404248,2811.085445055312,0.0400042746277633
-246.21097440948907,829166.8662775145,708110.708237448,68129.91478223656,14851.81004515674,6012.401918971326,32766.07698821692,23834.88189594587,2474.015933170963,3094.863741128682,3052.782186420209,0.0358601923334728
-204.23573765816195,794897.9716498483,686872.4619752849,54703.64909925469,15658.633207271294,5378.878976294836,32298.92891541293,35008.74695761897,1891.562302628485,2974.092465963672,2887.5233870308407,0.0370184736978878
-194.51200088719287,811855.9982879771,619512.3149132889,58798.51774275096,15409.698428366051,9413.779330334715,32275.876815814685,22948.69392768012,2021.7753962036368,2886.8916019536573,2803.427625423661,0.0391084343230063
-236.3797373752022,784122.3568838681,674574.3855555891,62150.52796977909,16012.939711068911,5657.409052350404,30380.399637645736,34993.54605088446,2201.979792072553,3100.43727161929,2973.1341677530536,0.0346390774046952
-156.9680667708659,776149.5090464518,670132.4429793652,50000.00000000658,16014.40127387726,5766.228278974597,31525.24116269437,24542.63342817664,1558.2767770850228,3055.0674185935954,2856.1823472290243,0.0288319959783802
-290.2980739677918,794237.1216888808,682776.3151139752,78393.76295228513,15709.780348231254,5881.89041311154,29968.372467336707,44032.474979039565,2634.521092730714,3168.4429100160423,2876.9972930208964,0.0367355594137075
-150.5382401088395,785131.1341594042,659810.0003572023,52870.01173910197,15781.403504819404,6953.669769570474,31248.152640416683,21806.727864945908,1808.4487319212617,3042.793989041223,2793.297613891089,0.0287846603531266
-219.61986351896692,823729.3339200346,669472.2301647547,56983.430864501,15174.43986685128,7717.24113472693,32190.967504341486,23709.13430362109,1958.0062056533584,3001.012765805113,2888.096584049624,0.0327252137284685
-270.4536342922004,845616.6060851961,726081.9912054547,56635.69358440117,14844.30312441912,5658.007941599768,33002.29653070429,34380.62180852403,1849.146704675736,3224.1153700473524,3023.6823855831512,0.040397690106615
-323.8366313579168,807421.1283129221,665610.3782479264,64036.73305696014,15606.304876606282,7679.569473202036,30709.346592569207,26453.63202370901,2349.601204768066,2962.537032112578,2965.8589895098567,0.026199247749958
-144.6808934669617,815370.9025507098,634148.5814447006,70502.69485063925,15324.710987828075,8999.535878964522,31098.927555008613,35033.94581706171,2468.42534788617,2952.704303052057,2842.4890542290204,0.038751306991012
-199.79711021126445,771441.9714486165,617424.6263440348,50000.00000000001,16204.391208679051,8538.593347902084,31230.88180033153,24884.330918634165,1685.3774712985198,2984.076417960706,2820.923109760164,0.0472530802975099
-175.4152688987882,798865.041309098,594411.0826730627,52933.938905790106,15492.1041544902,10635.763867870057,32655.017448689105,21720.546767034077,1710.985114407044,2865.1479608225463,2721.572171602283,0.0401964870860583
-187.47868847222247,758780.0394609583,651893.9868617973,56066.12087344649,16259.83140793357,5697.138991555756,30959.58184681958,20831.34133946194,1837.7666676505228,3045.534311966233,2829.606176625221,0.040396492241781
-273.50118958926083,793730.4903876797,680825.2970617365,56820.64011515979,15624.16677351304,5678.488149706982,31335.3168689668,29215.479759678023,1932.8088099352096,3101.998555311872,2874.8275685139474,0.0366022780517369
-181.9212482340248,762315.111410665,622226.2769354326,65411.95841531523,16352.118789732373,7729.807698797709,29387.456159613608,29694.98841826301,2186.226341319095,2918.26134819167,2833.764778707025,0.0253173990145395
-235.52169717201645,784277.612415353,741852.7920506587,51895.75206589984,15758.061526580885,2117.799578465114,32128.325152399422,26319.6371609957,1593.8138036927182,3214.48671669169,2997.8251342012345,0.0427276745829027
-177.4733590890209,790112.6069348585,624252.2513543655,52818.38909089089,15684.840594071282,8963.457920443405,31881.31609699689,35768.69813172076,1793.8863458221028,2909.690928355346,2777.4819656221025,0.0293345629870912
-148.88238897939755,803333.3400171339,622009.1476161642,51076.80919616042,15630.26422455558,9288.41278189893,32259.725014189964,21826.03592718837,1631.7413379621034,2950.2638328062867,2802.0080711176,0.0432276778767625
-194.86843609667025,779946.3331944463,643930.8909008151,50593.2040313666,15931.893381605114,7085.9550061711525,31943.322226757777,20672.060589474117,1615.699856106717,3031.930912673844,2806.588009142259,0.0387756490986109
-153.2295750574779,771524.2852013827,604479.7896768852,56662.83493835213,15898.46727320674,9323.38608646894,31965.320138759824,25361.419983662658,1948.175697795876,2915.4892622628827,2831.17721004814,0.0380476685432155
-218.46016816987049,796595.1995486923,623753.5563240002,62899.47770989447,15687.122085460149,9394.924481754657,31158.29560557782,35896.79954538434,2224.129260212073,3030.5267061994346,2785.655611382619,0.0392674617197066
-320.75287573263256,812774.5204220477,606499.3677356825,50046.3203040462,15132.786132510706,10659.13376871836,33416.69438277419,18619.482515696785,1529.512153623952,2999.31336371337,2732.7489782507905,0.0401378218742499
-185.7595587249521,797512.7185029301,625459.1263903572,55992.412006876686,15406.89382018403,9650.311215075228,32342.316718955342,31442.651340213277,1939.002305314684,2897.0745318316763,2808.2662430938967,0.0417791506117313
-154.3452751087516,792312.4175762862,641165.2544169951,64290.15705729341,15926.514521766623,7886.049961844481,30513.773905557548,34204.53964119713,2316.716696620406,3005.1311782817884,2789.3937949644205,0.0376705382986738
-210.78225897188824,791264.7931401054,669819.7796910981,70317.84371812605,15663.247374142513,6179.704898927711,30705.74187739401,24392.48479232868,2488.8578485911657,3181.903734922533,2856.8523162300257,0.0357488271408455
-218.1319460051006,836648.3537661771,666707.9807407322,59461.20256520111,14994.042814573237,8474.93577903736,32901.37140824682,24489.08316677833,2085.4065132627843,2905.472955365971,2930.9585093095634,0.0296207135990622
-118.6259825474447,786888.049237062,644980.1551723977,50000.00023013796,15795.33020382082,7786.536974023832,31785.76069210964,24455.485960226048,1566.8794864505787,3045.982322099256,2827.085592198307,0.0271052821697103
-136.7175832996881,790275.1191976443,562527.8792537956,56077.59476019466,15817.791556478334,12773.253272269085,31819.891515333427,21464.7045277648,2047.3450843265744,2753.891845717316,2702.856441017131,0.0365188341087828
-168.4876987382258,760027.4740031987,691672.8000005623,89562.54629832516,16412.01335445035,3455.540785526409,28520.98775205353,30859.281120201376,3540.8136590942163,2968.6119276059635,2860.1045282244604,0.0421366698430466
-284.6486744204944,784396.2180115895,642618.2684642076,72953.09574402194,16188.183387724035,7517.716510215082,29676.873735251276,37248.58584501595,2638.334623807597,2973.466515065657,2842.947670720513,0.0298932464144328
-101.44216839621308,766120.6675402309,667056.5525341803,50208.19786456072,16296.815279307182,5536.3061427634175,30797.98374658438,25398.77021358302,1700.3957011175971,3065.46813102697,2911.200803203953,0.0319414654188107
-221.1532498583389,806160.412796548,640552.3245450452,57744.95507536373,15417.795013776567,9172.493514527563,31502.40887193097,26971.329419525377,1785.7139574643106,2945.108187595621,2884.5217872300864,0.0324469402086552
-150.59493664956918,783239.8713766725,596174.7567306212,50000.00000000001,16012.616073471943,9965.290010905375,31227.712913883388,45077.05126103656,1673.492401022963,2736.60313674678,2741.325675062938,0.0359843271819747
-191.99466693265677,809502.2602729202,670274.975931881,58141.17831047214,15308.63775128601,6799.846559964584,33190.55854188492,22065.6669493868,2103.236911371748,3067.660637820908,2846.980301440116,0.0387296267643144
-208.93057541341085,781714.6809933512,641261.9799141944,72136.5968549473,15975.330116473346,7635.70973989892,30121.05991514465,37200.09618661999,2445.6650321424154,3014.6909832484307,2808.76715408014,0.0267607385000654
-135.75712161577917,770114.7402913687,639882.7522618151,53260.34797497387,16080.308183507312,6388.361532322141,31664.120327387714,21757.506550388058,1872.8057167857685,3157.6880657865013,2877.3737525344727,0.0450298247155559
-192.43224287027076,766367.497908803,566824.9244301027,53098.63034270847,16065.901144506734,11197.925087520964,31071.09724903924,25054.34927878422,1782.2494626028868,2815.019909290552,2746.521481362096,0.0318312783278232
-123.7040649639596,802344.9534721908,630006.7145657886,51479.586769497386,15591.518553447047,8982.366046925757,32745.316649857337,25599.823562722304,1695.0035740663386,2972.570276267665,2765.202982785406,0.0299805956777034
-144.8903379479979,804143.7412238449,684544.2986425196,55666.153735993954,15592.818871471802,5792.449507369225,31795.8421289374,22109.364876594875,1858.3526872754965,3100.1480577164302,2864.097887533972,0.0393344613772689
-241.33635888923703,796649.3798288521,660727.3469766091,54193.2006950649,15651.29899998225,7074.563713712762,32278.40364401086,27092.55117263004,1725.0514040474477,2997.6933188895105,2878.7064238551084,0.0322335931039654
-111.4390567462784,813768.094731288,551284.8908902388,60497.78191887724,15371.05898929945,14931.507482106676,32824.80525693472,23004.93749142032,2021.479094475608,2770.1634289603785,2626.275337911444,0.0358145137857087
-290.9107997706832,827790.9012177312,663406.2686511542,53373.19028582114,15080.486786236475,8122.480165107071,33487.6889647373,26024.502512463685,1696.5789981571986,2955.741568530676,2897.985849501825,0.0404355808339726
-194.15973358360012,788413.722541221,677575.649204965,63295.39682968113,15782.890450474437,5592.643694181434,31894.686799782765,20991.86335677889,2104.4228098772605,3193.0786097483387,2907.6168220553227,0.0363749998620662
