ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_H_N,p_N_Los
-24.370166775544455,802840.8666727192,706609.5287025654,81219.63178660459,15952.452600645283,5003.598747429474,28457.91088379542,58423.275399857645,2692.286616638312,2530.6153289314484,3047.8016545818746,0.0254295735126569,0.0504484559258083,0.0202073376706896
-34.31497515705587,827874.3102882182,715738.812564954,56086.92742127012,15427.688773450178,5189.6018325462,31512.213869719308,24924.463436819817,1765.814960443951,2462.667251793536,2985.519462291143,0.0230753949538641,0.0505036153454925,0.0282628722305062
-24.1873603632764,823439.4826819543,713406.2772004729,52122.17110977025,15509.842399563073,5127.919106508679,31262.187433611656,34392.945864622314,1806.1195975508413,2494.539348204615,2948.691131530272,0.0247693390780546,0.0476203217716183,0.0211279465380245
-21.26594139086893,793224.5225633971,700009.7841021077,59072.52622602348,16145.216197458343,4459.623921237885,29661.422968487383,33832.38700783932,2043.133870966335,2426.16301722123,3027.9836816094,0.0136671615277381,0.0639044396833284,0.0182862361413186
-30.25656810013571,794250.8615380554,667191.591391044,57264.839007629846,15973.044065178516,6944.095888528074,30934.882847757388,22076.76575292452,2036.6436512199773,2606.070148163723,2902.479955654693,0.0188512888101262,0.0284849163397274,0.0188588965832517
-33.98961897994075,794619.5725484657,700893.0319634771,86620.37697752439,16190.87134521468,4330.927379829664,28847.95661580562,23886.14008235167,2927.3790590376984,2369.625934484692,3073.70548720186,0.019243861757116,0.0659477130204298,0.0254173544950276
-32.67893384028561,817761.7965841271,724765.9724861071,52829.309969023176,15900.813925787135,4421.736036479371,29757.37114615592,25574.596973908705,1740.715966844394,2294.503100150592,3045.0924352282127,0.0119369126828124,0.0768443781211172,0.0172478684817646
-28.972316195939637,836243.6409954595,725939.4339079652,62803.44055488624,15500.857981378624,5440.726299201357,29880.49784945993,26379.30590511441,2120.0053953038105,2425.6545712444963,3081.9530063474394,0.0137246971956407,0.0626571518418137,0.0255788843622643
-26.90129608960329,824124.3908622636,640515.5380358954,54549.74118797453,15471.899620993623,9476.43279303609,30989.682565384635,39891.79017497242,1714.680057732866,2490.939964110489,2847.5797836567526,0.021918706575594,0.0378169872513627,0.0158544923093573
-35.75457558273581,800367.9050318181,747919.3615056452,70574.4496159331,16321.606811427277,2580.675917251909,28023.62909249373,52309.38026868301,2651.414372390693,2315.680055090945,3138.651136133116,0.0077714022188362,0.082029558866948,0.0234037203493245
-29.0247761437338,802869.2175820747,737676.949089949,70665.39285381116,15899.981752809195,3127.0083699135885,29538.83801994345,40796.45099056648,2509.628275941157,2520.897963947294,3052.487688203976,0.0245377272799331,0.0468422038043973,0.0188658859769881
-48.79084202031386,831129.9182613321,714547.3577308524,54746.408184776425,15588.561662104714,5820.814528016248,29950.72965663202,31910.649950647134,1806.1897620298807,2425.112962317347,3068.834496840604,0.0067864583948229,0.0569749217698284,0.019971128694444
-33.578672005595486,826793.286483356,664206.3643654834,54633.37531200839,15494.35118243516,8194.477561757703,30377.85520061312,35778.19871782262,1993.9032462636671,2421.356225067363,2976.9948075613565,0.0228118165191693,0.0563931801273499,0.0228707964391185
-59.23333366283309,824686.4123497513,711040.9879817435,56275.97910512854,15478.208689067184,5965.278447127513,30869.83211028456,33984.905218620646,2132.4110348721124,2552.656821733234,2995.7339326962474,0.0284597207618409,0.0489056710073885,0.0194065566131038
-21.702528454931013,806002.4851141183,670274.1148730216,61607.40634090048,16106.239284447833,7443.008441465687,29673.038752947585,30778.40912306677,2112.1183439406614,2518.847451895125,2866.2426971367527,0.0124134539977017,0.0464979101102109,0.0159168137979508
-22.369209318162568,814343.8615607286,705021.9665540768,50626.387567327045,15939.79143288033,5242.471065521309,30616.851963566747,18635.444599599952,1461.777314956327,2214.830136468147,2966.2788593004907,0.0174384444313597,0.0867524138547627,0.0143949792486361
-29.77713156229977,822771.920063016,758518.9769104085,51947.65281799962,15322.34031244421,3042.040743544728,31471.23221355169,36844.9972866785,1592.8954932839956,2610.586181097581,3055.570941194147,0.0270900779432294,0.0404299478224439,0.0173754029985397
