ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den
-572.6120899799218,754720.3158631739,679951.3771109544,58396.1643192621,16571.792906605522,4531.862740161999,29355.9037098456,35329.95654892418,1875.983074669824,3032.926377078859,2919.171460137756
-642.4530671909547,793073.2550325796,620358.5533665305,69604.23124534251,16317.938657413304,10266.995073857795,29043.81367713975,38872.24973754286,2555.17242550549,2962.4039220475056,2837.581873090312
-488.676567643308,774855.4471060166,672997.1968285779,68913.24086041753,16254.229866810358,5715.219306387845,29300.28814679389,30676.06758821405,2372.1165171585067,3101.924207220445,2940.179468442792
-450.989816453156,752116.9319636979,672184.386512929,59515.04097318781,16976.251602679225,4856.615384435328,27679.6406694687,51307.058608743006,2108.104392864488,2797.149354719042,3037.6097651286927
-959.2324218053284,826991.4009107036,580787.6070828963,51621.438982399886,15505.709019778602,14801.975282098152,31987.98825431528,22194.435011763348,1702.9252438602216,2863.674176673017,2769.9630647734944
-355.21828504038666,774299.3013396171,606156.3933271387,56478.74514219316,16285.336875101008,10810.648991004447,29914.30789149068,27887.59750224078,1764.8119379879893,2810.6300838148727,2802.208584290371
-725.513783790989,793652.103648059,625923.9718025433,65110.138988998326,15859.988451101186,9639.430729286643,29305.37331803727,66814.40196481749,2422.3149830198777,3022.3363667371764,2850.572169921049
-388.5208441085862,784732.8754164623,625248.571056634,59435.29171031588,16081.646260865318,10295.093992030894,30479.9716629123,27815.85360442509,1908.1582166821704,2900.41654376234,2773.97168556246
-673.0384253563274,780687.4621118067,669621.1929493792,50000.00000054472,16182.113000453464,6749.660293064208,31487.71936583457,20122.876867573523,1392.9555750671586,2969.433572118138,2942.1585590409063
-673.7945471004173,804649.0011920118,584618.1962315737,59624.0798268697,15973.04757297864,12980.356782082425,30076.3893629016,20871.726669616997,2080.653925009261,2816.0612598898265,2721.8921055284604
-682.1619162181173,833071.8902210722,640046.7062334714,62503.61870281318,15324.08711320476,11201.22703078113,31112.598677242124,35708.00283485823,2122.990342878448,2996.381660535514,2841.923989703784
-743.5661637506241,819455.0587155907,622828.2453930076,76960.67646638206,15689.389371792618,11685.952636341586,30243.11674261417,33669.58630237253,2880.7444608187807,2953.3641882014845,2758.527275549955
-725.3866713982381,844406.8996821676,560968.9905375598,53685.69547658576,15233.246740323471,16404.826123387727,32121.835513152128,45619.39576767317,1750.6120497587297,2725.834930508478,2667.990260095696
-598.6723939449917,768152.1704033322,686959.832496627,50000.00000243584,16374.825466794426,4717.21079432929,29721.68655190533,39548.60992061268,1525.8195664207774,2951.410762765736,3018.7748309110484
-656.9272721425042,819865.1263883829,614095.2372610859,71901.62047795998,15789.02396963955,11955.420697766676,29711.402651062235,33616.83739603836,2472.304915481523,2836.8016922234333,2809.1061399841847
-532.7177645979529,799537.1233719611,695086.1277520376,69121.88288947506,15953.358030194862,6041.26155957922,29749.7127579181,30287.96385957145,2465.1969391071216,3158.875636743953,3012.456386498676
-581.3106019690115,780916.4774011994,642560.3765867729,82794.77753826077,16081.975248089657,9231.198187740143,29933.62490630857,32779.14150837596,2906.134760362024,2913.2956465729226,2872.2254369069824
-506.9140660144778,758763.4053064819,695952.3675876945,71985.66741215716,16477.928277479354,3727.6925569700743,28888.69777803438,28848.7628290639,2592.924914168429,3048.8265157629216,2996.0002036467386
-547.028274767207,719120.2284862736,637974.5646939576,58323.09070834072,17259.91243030098,5143.188990469276,27979.69824966201,22485.3183750941,2101.1754485361653,2840.814750707633,2772.108956889457
-501.57292719013344,756397.1497675967,669297.0457124066,58910.79430013932,16710.759210331118,5135.796398266581,29076.90490010317,22631.8684951346,2054.4128547224386,2962.261314847402,2950.8913229377367
-569.352321755267,799527.416914784,627889.6624930598,53046.735284755145,15708.969037991745,10025.544359971786,31601.77319826044,14500.854870584017,1682.302415266054,2965.792165005647,2763.88949008313
-555.9207446362769,731595.4587905256,642467.500858778,50000.00000170576,17009.728212763293,5379.23648993647,28847.846862562063,98729.19907153676,1765.9747723692296,2991.380450545579,2918.5275308938985
-614.2375599970413,802459.0262901507,593715.2115633697,51038.27332536713,16034.84768274081,12159.912251291204,30976.39554930585,23554.18046167866,1538.4740401269437,2780.176776893637,2663.668977102582
-648.086604723165,797652.4747399191,706301.3851474784,64906.128607938896,16025.475139024871,4891.970810622106,30202.802610150706,40280.972912541925,2391.6525053318305,2922.0585730126163,2955.302434215805
-1063.6844795181808,793344.2072369448,585206.5838074939,54293.3932584006,15699.53717797978,12664.85770464934,31604.849887288805,33246.25996928115,1878.1197875729656,2786.981083329417,2695.687036475133
-539.044280747301,770443.7908633879,625503.529447183,59058.066624782645,16712.39817630198,9011.270898990691,30051.61171646274,33546.557297284366,1922.2600814058264,2882.3149658467355,2845.395714040916
-756.8552157284324,795327.9716729,691383.4045566948,50000.4561515798,15898.010161818887,5700.8320398983415,32488.322002422105,23040.36534221219,1600.4335516193428,3021.241486119728,2927.103762885322
-549.3493187512034,810341.1385960542,610855.7278548349,66478.99825592521,15492.190063611464,13245.630639062269,30529.686498147683,34693.84666666417,2342.2763943938803,2947.6018042816804,2756.0623774403266
-685.2358219100543,759406.731604125,680569.100664013,60081.505598317846,16546.292390276034,5034.790760868713,28748.47876868661,29403.334551830743,1999.4549811831373,3068.6673696207604,2961.046154051493
-749.6936342391161,778788.6012194024,683560.280747651,57825.808526934736,16093.44215210021,5340.3697143106,30913.99511640674,25677.18299383817,1878.405519382737,3016.40866050301,2973.1414308947164
-685.5718552703839,781113.7448908046,678211.9058480226,61195.075688080906,16246.3779963225,5729.615759520379,29783.79827625758,49434.050567841245,2326.335538021431,3036.553339196343,2953.3758455521524
-601.5502153585369,747011.5728003683,657536.916448838,56993.65638587946,16764.412295844195,5197.252143942084,29082.13106166014,24431.4091152616,2059.694826763412,3055.212884769356,2957.358262335257
-493.3972745055403,784569.0170538368,605878.685671566,58277.756062093344,16186.989496968015,11763.108551965388,30722.129750288703,18886.067667908497,2151.8738154626053,2808.256587749551,2759.5140415601995
