ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N,p_N_Los
-86.17242472660959,848566.7083622393,682589.2851211535,71015.74236565086,15580.00735840148,7829.155243690398,29350.315280233688,25898.73907183293,2466.270912155315,1913.948860754044,2904.463844360908,0.1240610561232153,0.0202808446322648
-52.61834247619176,799016.3339828595,677257.7198557685,50000.000000011016,16267.44243551395,6069.978567663722,29208.449548561388,274865.2443879286,1730.6200011535918,2195.694520103631,2975.366488339329,0.0846527313310539,0.0219984860897399
-91.32931943116331,823936.2772409728,715118.5668081996,54216.9520595268,16136.790258443743,5084.996934719928,29419.47618126013,36897.49039220717,1716.4522262405603,1936.2605016638377,3000.9295966457585,0.1138984863897076,0.0208236226785877
-85.78786356503707,820996.6356070245,730001.3424072039,79785.21490472177,16062.86726705756,4085.113005240923,28614.23473853692,61691.93500409916,2848.8886547480297,1931.037619595427,2997.483653892712,0.1041411154798751,0.0282638875740097
-114.51817101275046,858767.954408742,649582.2106187079,60080.87563672844,15459.950661090195,9567.795823324224,30032.336902251955,36844.39197967758,1988.427203735863,1792.779698805983,2873.351824874462,0.1631926043520228,0.0224271321936555
-65.93956104111416,807119.8656596391,662191.5193328053,65814.43086616762,16409.85951886864,7461.873958340882,29089.303261247325,41673.4605483479,2223.3054443087563,2072.894970715343,2948.6426770966186,0.0973287577547565,0.020521173365227
-64.21302867457857,857578.6136927115,750027.850064705,60726.80532531696,15481.171120038673,4566.037260446452,30290.286659954298,38120.64566370733,2063.206301505948,1900.171036141184,3094.6702175403807,0.1344395754891849,0.0188871067011364
-76.95750919900078,819947.2160729639,715428.3027044976,61659.88333688471,15774.469635507809,5614.382760093457,28958.043341390032,37268.94231508396,2133.9102343479854,2132.6654584580333,3000.061906863268,0.1063706512620997,0.0206363635898806
-73.06834774521319,823269.6732661449,716042.9760286922,128679.3912622692,16070.141108138425,5477.25543311431,25302.016115528917,101101.2436086709,4503.692081298353,2026.001639193512,3088.380041576059,0.113728145639439,0.0208923756008985
-76.75708287765985,841406.2268660298,715886.3700130342,64212.91908306691,15618.412173660809,5725.8621315235605,30022.938139007856,28548.61576827652,2058.585134695936,2017.640635849191,3012.5301995322984,0.1103227975769182,0.0302812137377475
-80.38761816882752,848567.4262522309,696295.0161582821,54119.36728619388,15583.336309388282,6954.347472742935,30220.844121474947,36231.59990675536,1882.3349444995144,1909.6572661164791,2945.9802094173247,0.1222294385011218,0.0220644787641328
-33.10405010917373,800447.4382563238,696173.8505272663,64235.52228335961,16309.101895577032,4898.875587287899,28700.683967007422,37006.07731450445,2266.2367521212523,2084.0443114204018,3047.350596063361,0.1083825414869692,0.0185770382062322
-82.78900486102185,788266.8084513458,686931.5570229908,67780.74894877333,16390.21589515871,5449.134699986967,29025.765113591824,25916.908103390877,2475.7474463689373,2110.407759730348,2982.6771456393544,0.0784001257819504,0.0206628655686877
-60.11066161916701,804108.724389892,726231.7544898865,121410.78252116582,16425.466128307948,3508.935012216091,26244.1784870183,34342.81956362659,4171.605357022158,2037.552926038485,3142.8192268037324,0.114105850788319,0.0272683902483215
-40.91367395947801,827169.5229933382,723162.7404462128,56088.33548718617,15983.842627588558,4885.638621773318,29073.191919948884,27631.92610876055,1869.8253867350927,2055.08973872356,3056.2145291455963,0.1140422501402294,0.0175232092738305
-40.6347501429268,852167.6062891976,726947.170797088,73852.43813306521,15507.462050975442,6075.30183960619,28870.26464065328,31939.65819877424,2560.5472655317967,2135.1017292588044,3102.486981381672,0.1016577805520407,0.0259109132544988
-72.0988313235666,838498.1055562352,636533.1128511017,62024.21726352982,15644.233082676164,10225.693528704622,29572.396832318715,49132.27854820905,2021.5752276179348,1984.1671996947928,2863.4515230540605,0.0996398546741802,0.0156115788085874
-38.78416580926744,801957.1125395636,740279.5294360531,79058.99522507115,16452.17243438154,3030.477540962258,27205.91128389278,59153.85124543315,3022.5480594446244,2151.285333311426,3133.097207024922,0.1046184201367063,0.0234160803920528
-77.06318336747395,819252.3281984646,728798.7929129703,74353.50381788921,16079.048724942362,4304.160071667287,28436.682848812565,44799.49873233578,2658.405418971006,1970.599588662113,3066.821113405831,0.1128182819046985,0.0199258756058677
-53.68032380668156,836767.0504847624,727183.0293633945,56288.24663771391,15620.240003292098,5425.414014177492,29567.801933280367,33403.37134957595,1864.515397172526,2277.129807671988,3096.341379204993,0.0736621684069741,0.0204785412205441
-65.09312839924715,852767.9313902912,652860.2957869777,62337.27591191772,15490.534840640605,9835.788876281198,29348.170052081303,42878.64241939305,2337.652095832266,1998.200754330028,2989.612378565104,0.1168310127333782,0.0238575312448
