ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_N_Los
-60.49869118706107,807342.8876345612,657382.1637526015,60005.86509213393,15722.247929068935,8402.19030785826,29980.78896668099,38602.53058627605,2015.5257417546336,2947.64928197571,2910.4967620213547,0.0211421394273595,0.0266022832943642
-64.31839439639221,820870.2991048367,633811.0639680473,73066.51477870246,15273.107445331992,9289.59959967078,30570.23038189151,43305.93794513479,2494.718285441938,2947.178871183242,2842.1020135515278,0.0366479055887216,0.0139531028354318
-50.71337629493948,766775.2509805444,626456.843638828,50000.2094169141,16358.470271383436,7827.791400309698,30419.96654210046,25823.952338914547,1608.825215010496,3023.1697993684074,2823.0688069029006,0.0380955736117477,0.0277920899502528
-48.9655741127,790905.1907827393,604297.6359843039,65342.8998319302,15669.616358641875,9954.617033079006,31106.16335389096,31448.004076904865,2178.0149375955903,2896.013877827921,2726.667869098724,0.0366937972885302,0.0206736936498858
-66.35481141116901,776921.7794395111,645655.8204446691,52294.8621243707,16043.046447394663,7100.049890854614,30941.19671535861,24930.46753403681,1667.526846245915,2996.6379565603083,2813.910177867879,0.036294499568881,0.018325437029709
-71.65713507840503,800772.7962131943,656715.410808135,62842.09324620632,15701.20642200006,7383.339811868082,30414.578858158864,40630.50132273293,2088.519395597594,3031.527334895829,2817.961521285908,0.0315080553739244,0.0206613030759659
-72.29330992433285,773377.2726431624,631378.843575571,66562.91540383101,16298.860605600015,7807.161916874667,28935.07595418465,36728.82259040498,2152.0637363527794,2943.249742094244,2861.922166491644,0.022112008980012,0.0199178109719379
-115.33870751717023,775785.1257657486,722850.0814614285,50000.00000002008,15998.989392692109,2644.488250988032,31034.612604477923,34965.90950968581,1532.827484560156,3170.871695377059,2952.4586569037174,0.0375153848008743,0.0202039094060085
-57.52335340505715,793774.4092455466,633953.3266822001,50699.70382614348,15754.4036605767,8393.684492981283,31042.86150082217,46027.73577733776,1675.5294633331025,2978.6300644978505,2834.953180420419,0.0264428787856928,0.0192620013456448
-49.68321085577261,801635.8008061239,617206.4647557283,51231.435573969335,15720.15967395556,9671.193792310196,31434.580709329734,25338.297919740544,1625.5387570210803,2953.7374681010856,2786.6709655380937,0.0394386163704969,0.0163756297592429
-54.31941586118832,788054.5227355593,643836.5312813921,60209.24942878906,16018.276691855752,7744.739018407896,30358.49653429387,32431.302486988432,1895.2895685330368,2981.23927626826,2829.1257831527364,0.0312877170374955,0.0248692539423768
-51.816643542617584,778093.255307854,609511.2141130471,58204.78459512448,15961.445524143915,9809.776585899392,31144.857220273865,27036.753312639543,1973.874588709056,2924.528737185044,2836.619520564174,0.0346644845405045,0.0166742646584458
-63.10314731724525,785322.6719246448,630060.5087544253,69833.81025539327,15948.545899783174,8336.014857370652,29612.406736031466,49649.645704014016,2341.8899917499293,3055.367675479821,2826.0546904215967,0.0359911020291501,0.0228977440918824
