ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N
-163.03750635158403,815961.0570780564,702863.3284836166,59332.35405564724,15878.87896782537,5438.028169746125,30095.461839299245,41995.52280986031,2084.5284597721275,1944.730630744536,2981.678698156796,0.1172094005512351
-237.7633210333476,857941.9943958685,631404.9261051449,58395.17889682394,15671.205438452773,10498.157273116203,30223.75107285339,24459.20392302529,1916.865429403025,1752.2989371837623,2876.713825938305,0.1531617202949674
-248.5320705161135,821768.0840765132,725524.261479691,58914.61329151621,15998.966483489625,4454.690619145394,29973.83498508974,24460.624598700742,1956.9115117045903,1916.0720568323209,3029.628575788841,0.134675271771054
-187.6951882122264,814513.7045555053,696678.5880478134,58127.31488988261,15982.37666291021,5737.894931745999,30367.77591400137,24948.248380780904,2001.264620729238,1838.6276150676688,3119.055404346081,0.1424239898949804
-225.6520768283398,849689.939136146,659435.9272648509,80948.057464101,15651.07231960452,9324.438246930227,28909.1966475129,48399.81596760434,3070.362428296143,1895.3256209274944,2940.219847049766,0.1394787260780173
-357.2330714853297,875336.1926683445,646858.9521080045,58736.14798709203,14932.828435235946,10470.769021456405,31432.92486371903,22580.833165907025,1885.8502556917936,1884.9640789892348,2891.223395352087,0.1466144610011472
-179.49543621318296,849993.0636487356,658437.5583215405,62697.934773009925,15397.744887434195,9765.077014285813,30597.87310515599,33061.63783878921,2215.2832700418758,1871.020258332252,2957.763155673143,0.1476467835562338
-163.10456279662722,834309.3184896264,663793.2636087936,72694.6177077929,16006.506946362304,8090.1986065567,28765.488975786862,40437.07004731197,2717.6689104642205,1899.9806400908376,2909.2827570005165,0.1356843934658323
-198.30954130828223,852346.1713860385,710807.3584986714,72056.55658716102,15412.579584866757,6426.117733896945,29726.11531897562,27210.46165828828,2563.286945667775,1997.4642507374265,2989.8640482591227,0.1307370476376859
-244.9790909238179,844844.5036596588,741926.258760341,60172.92893122848,15391.664214780854,4744.187936658813,31036.71690560953,24688.81978816039,2129.0502492259893,1982.3339852433128,3119.716699166748,0.0945097705299873
-114.02625016285891,823040.2427746214,717253.9345233996,50003.89408003862,15752.858918851924,5219.246450970627,30874.403300118625,24987.305812525625,1577.9015134206782,2086.1652241201905,3041.6422693544087,0.1015831162561895
-157.54789044273724,834091.5940824072,638931.0805669237,56924.33063812121,15860.211785604732,9604.18559062294,30298.939147942507,22521.54353226716,2084.222899438743,1857.301267351144,2981.1484525143105,0.1363490597073327
-167.38254313785944,831145.9138801742,734185.867046798,104378.17923801162,16157.356816025407,4363.156019197966,27124.89449113544,35922.20697634651,4231.501967084423,1797.6810023315024,2987.5031634777984,0.145616230327303
-308.77871565139543,825073.7560106076,726578.4315807894,71301.2220361967,16046.6577532818,4856.721522765803,29059.045600729256,36532.36439041919,2573.6433376073733,2184.3451728842306,3075.549599505381,0.0786790025223706
-138.1942576083725,802101.9006009348,717928.503606385,63390.77912428034,16363.668815991694,4351.713080785448,29037.27850741375,34451.694362793045,2276.960491377757,2005.293470561143,3059.6904127716725,0.1033920473367521
