model,ll,T_NDH,T_ND,N_Anc,N_Yor,N_ND,N_Den,N_Alt,T_H_N,p_H_N,N_Gho,MH_pulse,T_Gho,T_Gho_Den,p_Gho_Den,T_pHN,p_HN
768,-36.44332413213337,758846.4833187653,741472.1708296712,16389.254916293365,27472.10674754869,549.6548470915992,3727.338362610512,2559.364437807757,,,49999.99999998553,True,900000.0,500000.0,0.08,237657.3974533617,0.069406956835381
769,-36.6969918422088,763505.8069406984,738542.8706940591,16301.999025381989,27655.905810939472,783.3685078327227,3682.096001350784,2556.764872087105,,,49999.99999943237,True,900000.0,500000.0,0.09,231303.0225369885,0.0658921111493833
770,-38.37625685728089,758269.6646416631,704523.5985214121,16357.063449721169,27601.725180432484,1714.5871411315793,3583.701283802656,2561.384949141252,,,49999.99721688359,True,900000.0,500000.0,0.1,227358.35002036137,0.0618225457871563
771,-35.87807219296435,761451.9097925265,732574.6490199055,16501.68641630859,27028.57631245307,989.2590892420308,3740.2002835197695,2504.857317810354,278659.996799922,0.1018460648729286,500.0000000000158,True,1000000.0,100000.0,0.005,,
772,-34.88690849342855,769980.7766770159,742638.1465732908,16348.51837932748,27316.99374441713,930.9934764941104,3373.9660657543536,2392.3117102866618,254796.7678328183,0.0921401839885208,13350.396283968825,True,1000000.0,100000.0,0.01,,
773,-49.96125583622745,797784.6371192972,737250.152943988,15881.067033089575,28178.136111325017,2051.106902836333,2559.0099222883086,2223.064669835436,224695.68418528212,0.080429392202297,18881.00827670368,True,1000000.0,100000.0,0.02,,
774,-75.9947509362247,801332.522991217,747891.2388910716,15784.3896942023,28375.14924221393,1773.0213785566543,1668.9028887090724,2102.354338904228,206237.76439946928,0.0732579281028079,29240.78328058706,True,1000000.0,100000.0,0.03,,
775,-92.07463745492402,804317.5446414403,694414.0677281199,15702.06050936944,28547.676159264334,3744.0482951771455,1060.9846043582172,2052.618056673388,198328.25478663103,0.0683849900429017,49999.99999991252,True,1000000.0,100000.0,0.04,,
776,-117.54870189731922,897621.7743294447,600357.3118343275,14293.094534955348,30852.25303340209,10311.117046111303,1000.000000002317,1942.58193749289,197193.58114258407,0.0717235889477503,10448.185033889744,True,1000000.0,100000.0,0.05,,
777,-201.14223127261224,899999.9999949648,544929.9549248937,14226.475882822404,31091.77507260865,12621.589068169016,1000.0000000037,1852.80005153518,184035.11515137932,0.0663598476037616,4347.2068966663455,True,1000000.0,100000.0,0.06,,
