T_NH,T_H_N,T_OOA,T_UL,T_LS,T_L_S,N_Anc,N_Vin,N_H,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,p_H_N,p_N_OOA,p_L_S,m_SY,m_LY,m_LS
784839.3145093842,197860.56315405658,69500.48707386307,45000.000000270644,61483.66582053803,7000.000000050036,15489.798584594284,2160.357730688029,34503.311380614876,8100.20957316987,434.8021216583593,4249.386504319932,9996.099286762477,1047.33829730564,0.0990440268723363,0.04606694002664183,0.3679162158969577,1.0000000026308858e-08,0.00016457212842231384,1.6739428096262277e-05
801245.6759037126,175986.14510944457,84681.01545624556,45000.00000017704,58959.13676093045,7000.0000000472755,16028.504291546695,2230.9108544103374,35662.03345283511,9899.324339435752,1356.4756255264326,6752.552763004712,9997.866657956576,1012.7120216269161,0.07885336230545963,0.039426734256442095,0.345540105094471,1.0000000017988154e-08,0.0001485281643727032,1.00000000014394e-08
803685.9167662694,150513.87528015926,67517.80238255899,45000.00000001501,59676.040078199425,7000.000000040697,15773.324273716566,2173.174813472148,35586.48643706074,8560.549403393248,434.2888157668196,5347.667439428354,9780.511406683398,1000.1307335186998,0.06302838762684441,0.04257805965965786,0.3527930722749559,1.0000000006298554e-08,0.00015689234659138203,1.0000000157318693e-08
892207.8321235268,181502.77429580665,66852.54858319777,45000.00000014043,55427.597312925325,7000.000000064062,14943.930524633937,2055.9151188787982,35002.87657170928,10262.6911035815,697.9727512946578,7847.03478957327,9899.149590932606,1103.405462977314,0.09478280090357531,0.04355757427470318,0.3160183812821486,1.000000001344441e-08,0.00013045468329573082,1.0000000140702367e-08
872337.581047143,157693.00075759558,73100.23201418086,45000.000000007814,57523.269904194494,7000.0000000447635,14599.733995186521,2060.091048931231,35293.00588987851,10792.688750197676,997.0739117854874,4374.6742261517775,9915.383943272624,1096.310821879451,0.06288761419510654,0.03697383597236921,0.3256148209480049,1.0000000030836756e-08,0.00013231810353680733,2.496017576962793e-05
833816.3463671764,173273.82155379822,71065.53532068332,45000.00000033252,59232.97473617244,7000.000000027654,15317.664160928662,1975.0915331645472,35225.731506471544,9063.314013932975,694.0747754488181,5054.508409599337,9984.669684409793,1016.2113431379172,0.10039278510344747,0.042215890673003395,0.34784365739216166,1.000000001272527e-08,0.0001564902121091184,1.0000000085291366e-08
788591.6338699568,226409.73888616706,99333.13661980005,45000.00000014707,56570.33799964588,7000.000000003531,16025.24469255728,2166.7255720962576,32158.206081074757,11838.576533761034,1997.4043868157332,6473.67491780197,9882.557019518528,1119.7807738712406,0.12139599458102307,0.037662977399025,0.28864045660420334,1.0000000022293972e-08,0.00012292495263959284,1.000000007565296e-08
816618.1992607508,189004.61578447476,67397.34670125302,45000.000000205975,57139.086760859784,7000.000000055918,15695.227854341874,2169.574084628284,33765.345109248374,9705.965293397856,598.3723629516259,5691.9390327513765,9959.859875839622,1094.2774732575904,0.09331838446773447,0.03366828062165599,0.32290888768665305,1.0000000007856845e-08,0.00014436286678300104,1.0000000000971686e-08
790985.5571266429,173605.66259371827,83228.06504951346,45000.00000044363,60227.634492516096,7000.000000060394,16038.006435237634,2063.9344019949062,33650.52630794729,10344.187877870592,1132.9182846805895,5462.701508286792,9950.863607167714,1092.5780060733484,0.08388853159233017,0.03511321961373825,0.30939073886690377,1.0000000021942288e-08,0.00013947207972953452,1.0000000285758675e-08
833624.8014834408,200078.74973652617,64856.69121652445,45000.00000030358,56879.730031634965,7000.000000003568,15373.042681602841,1933.9681209666003,34539.926702964876,7704.817707398342,456.9869405184492,6180.071052318275,9993.134914740209,1014.1925785906903,0.11780868528317219,0.033929111048101826,0.29840483251710764,1.0000000000328573e-08,0.00015590631383425406,1.0000000233404498e-08
815240.614531039,191048.76498426127,83729.3991152865,45000.00000046649,56866.84424691312,7000.0000000494765,15839.211395282304,2399.2452949702583,32995.32746348301,13313.468768434594,1576.7861187519693,4299.10336178097,9997.960861805976,1210.8115629141535,0.06903848750371049,0.03688780903917292,0.32222489753104927,1.0000000000449507e-08,0.00011095794374000497,1.000000031690933e-08
758586.1816026049,196433.15220645475,69648.6162423932,45000.0000003856,60548.62763680723,7000.000000041754,16412.662354001262,2267.5484445241486,35579.495425004585,8235.611473693787,475.37559343154317,7243.895046349142,9939.744281548443,989.149153110338,0.07330068993219765,0.034557094538219105,0.3463131148517555,1.0000000011492869e-08,0.00016954929087993048,1.0000000125927803e-08
823402.6795800622,186751.0335080967,78523.18441378968,45000.000000075044,58331.86827134005,7000.0000000046875,16217.037810721267,1996.3119579104366,33261.57696822385,12120.509755677165,1134.4453524244484,4160.569534289186,9768.613328161393,1192.9309320532302,0.11920972976756425,0.03228662998764589,0.3611788990722516,1.000000001073916e-08,0.00013501312085437383,1.0000000091049817e-08
827261.5260938709,183389.79126648314,88497.85190418042,45000.000000436674,61827.83601781216,7000.000000034592,15165.059001601363,2166.2572339114254,38926.83796154245,8957.358186319518,1228.9592069488733,4011.292719074016,9962.647883823514,1024.7133439200309,0.0853203695317446,0.04112884872599637,0.36048188074607956,1.000000001174099e-08,0.00016629516819837526,2.0291220707384243e-05
808859.7250688752,181414.59703774148,79161.7241177291,45000.00000005522,58696.98883430328,7000.000000043135,15407.131906363657,2086.785877073808,36026.37479226359,8757.70287799558,1149.4618743538158,4296.563081810263,9836.635631881414,1030.1842728183979,0.09121009287197229,0.03296186638041214,0.3453285634181729,1.0000000009120118e-08,0.0001588509029178334,3.224851808111782e-05
