ll,T_DH,T_Dbot,N_anc,N_D,N_Dbot,N_Y
-31.04932240450574,782957.2240442917,69181.54034695045,16024.795667832675,7851.951295799323,53.215785097568535,27592.739804670007
-26.80950456325564,806862.0118432016,69057.18663259274,15688.630615879616,6817.366012198377,61.10322531819277,27937.60932972392
-37.526790545188405,772791.2097823581,581379.7336955438,16678.966217443533,4766.443819950932,3986.957523729313,27805.902551102798
-31.148994636657108,762775.4531704633,67323.07218425455,16447.43512608112,6276.667961806622,39.2040016946758,27551.294756784428
-23.09863778697181,759726.1847123791,69487.64508140665,16263.119615434074,8310.504859969877,58.56532438366887,26439.981760595776
-24.806850705663585,791573.25567329,68762.23471442357,16286.90174506098,7132.080096730959,57.25629969791374,28220.548124231813
-29.305282293420927,839693.0775467188,69328.98304199161,15373.99255154925,7427.191791123035,63.25194480251948,29383.220005066774
-28.79620763318634,774281.5888980674,71326.4737824019,16536.607036811947,5732.866517714682,133.36704942447983,27930.58336510814
-33.871459264946296,732950.128254071,72635.71094901272,17115.636473543946,5270.2786190233965,234.80448684759904,27283.2386832272
-32.184670402185894,776485.2799544389,68845.12785503699,16362.965307922825,9999.999999989011,40.04504945159364,27568.492398812963
-29.693983514574462,774909.992263061,72944.18392473317,16591.397729379572,5436.500057088807,228.2637905252431,28114.0794268458
-23.034880130155724,763700.9650801969,70227.94480760011,16270.10543115183,5227.928388523105,128.46844649659477,27498.08776141054
-28.783401049338448,781724.5411797451,68626.89758454188,16279.910548497215,8724.409287555729,40.25272493328297,28644.520252125265
-35.72449380690135,780764.0094265719,68567.53916384588,16158.487786671309,9999.97516813098,38.414290711957776,27469.116793324956
-25.134304423044604,811967.1404413136,68096.78032052435,15604.572137075564,5935.592065771185,57.28866569535933,28715.838208363293
-25.345961359432543,764278.4100746689,68632.2965650411,16530.286877151255,9742.354330700628,36.47585467409055,28021.951439054512
