ll,T_DH,T_Dbot,N_anc,N_D,N_Dbot,N_Y
-30.571417824280736,784519.6710452623,67653.64828120453,16420.18479803307,8846.79571379096,32.50490915338631,28403.309796923084
-21.298091934918236,789036.0597497242,67603.12526762861,16230.481487749636,9161.598088059618,28.787228671690357,27948.45284577136
-38.66486368343048,838938.3921412709,68243.14952922087,15736.047996638164,7603.25796676815,47.23053683771341,29711.21377399328
-24.2714668298826,855428.9284409777,68965.24198599427,15162.472504122325,9529.221302748378,45.32207613346784,29098.391618037425
-20.749342449916647,771469.3691747438,68246.30073319677,16321.687022885932,7829.993853526344,42.32282570744982,27342.484741825483
-21.91827874951719,799700.8707086361,67817.28904898219,15996.95806481456,6869.563643032848,45.93808536507913,28889.501477059563
-25.9670385120649,792829.9713303489,68338.54338227013,16052.077510168132,7437.948899027546,46.10865240628586,27925.25101743399
-15.534552528728756,802053.0271112133,68502.76055412488,16045.536004046864,7683.216833411744,46.06014751565437,28413.588705794384
-25.05122428058724,785149.8854657898,71176.5947577901,16291.825550385232,5815.40326261355,149.44877274251996,27831.12029900933
-24.87648674721003,811441.5050101276,613864.0542667339,15741.816955309372,9065.137304026408,3407.595990838737,27291.34057490817
-32.72428233697147,804898.1060136628,68622.77316792111,16321.84374738728,7224.201030286384,53.550545392507054,29030.68230337563
-16.28109765903486,832984.8208358818,67592.35509472538,15441.229925708556,9977.286478756436,28.401837533402137,29160.874132917164
-31.292849266171583,784193.90238918,67925.52783345041,16335.434084028757,8853.310543218839,31.23394366067784,28226.77046291464
-16.422711433577064,789676.2905837236,68591.56336644627,16859.54427307035,7075.163242725348,53.9662673542024,28498.51644997557
-15.738759660974678,782798.0950137525,67849.05994101388,16090.870601145769,5078.534583678743,71.37949245227438,27632.15614349541
-19.598758861313776,823014.3915467713,68635.53658896728,15420.382931318269,8027.752147476336,49.48512669118757,28250.71839754421
-19.10922584112925,802136.78985995,69853.1306278637,15932.204211879463,5432.65213723535,141.81742500350356,28235.90828996476
-22.37037289932601,845223.564893291,71718.9109036529,15253.029460329082,5173.452136340422,233.9322870429459,28978.428365475746
-12.51512893114809,785526.6547950412,70362.51168187938,16142.614717313749,5444.355987772478,136.57436044246134,27672.30674337456
-19.68978804398608,800028.6312325292,68241.82845949118,16007.347442305843,8116.336243669893,43.90932284201135,26884.650013061397
-16.174552408340578,792347.6210568834,67591.63906667203,16218.64144061232,6222.337002810295,47.504721308805415,27893.97496091276
-20.65135401078936,743895.3389398729,69461.97639829988,16776.743779282657,5895.74949542033,87.73722426926744,26655.01031714035
-17.97771087188179,781900.3513567469,68755.68529601522,16321.62457680806,7373.46277826811,51.90622570243973,26531.90562884378
-20.593044738430272,827608.1026640245,68157.75231241957,15648.96982531322,7087.560534345493,47.302863169742565,27762.202051460536
-18.171687383020483,784294.0615737515,67565.87147168556,15905.32455888033,7439.905724138719,33.61397131558412,27712.33928724019
-15.35861155515638,753774.0224187904,68200.12327770866,16723.01015934208,5429.348225610846,78.50057174482869,26727.276740827867
-12.858027944689816,766074.0732366057,66971.88159216692,16574.438115051762,6976.617537905694,27.56538326317689,26429.73719123254
-16.739453072914056,813575.8577230829,69733.9882233696,15396.86417837853,9461.905187095015,55.31696712694496,28095.0509126203
-21.915514147547224,776509.581117178,67857.29545061603,16515.728607721667,6976.597589921709,43.64347092849484,27656.29941998586
-15.241562640312443,777319.2935363329,67778.07347019901,16242.070177072655,7880.754379859701,36.18087359968644,27789.62992359848
-35.01989251573842,791263.1316012198,601475.1079235958,16488.922994729826,5121.4331868473055,3681.093061324488,28582.48861833152
-17.975246093507806,805586.1478142464,67698.90276730314,15738.557976125983,8258.551220718324,30.6463550435012,28703.81166049891
-16.708194634331015,827676.8367015027,70618.09267608987,15741.02756482443,6349.189719559799,114.51371962332088,28913.536020649768
-24.686751825704988,802122.4594609152,68183.95790028373,16048.981203600866,7218.233658428178,45.64677699716531,27912.921510406184
-28.42723530113507,767945.8334902851,68430.11309059673,16614.056897810253,9999.999999988126,33.963938832663366,27473.457483705984
-19.542256799385072,865378.2408829143,67186.38098165402,15249.397265815329,6217.037660410999,46.45156266324862,29439.807204268454
-21.3031330273933,838680.8383164683,69181.20985984478,15163.562386937743,8194.64470065847,53.20461244677866,28400.351783437367
-13.813775587982246,813342.3779321532,68432.32152296083,15882.734103189605,7342.582987825634,46.04789480410504,29017.379347827115
