ll,T_DH,N_anc,N_D,N_Y
-44.56662397558316,763366.6137818141,16833.536334057764,3919.023601788049,27864.914533985306
-45.40608098382002,739969.8863518917,16904.487682329527,3895.170763516154,28281.69416069577
-42.12767355582783,764622.9719835963,16379.027781262164,3855.3714278314183,28642.68349411204
-28.114624547968223,766843.1380932707,16284.462277682249,3915.199181695085,27957.09877255991
-41.59203768411874,775020.0904677298,16124.629495377265,3773.305728822509,27410.3941931112
-43.08537116392309,754793.9589623909,16751.090776272387,3890.53767418296,27262.699961032547
-40.69587537825035,773976.0466327495,16439.233157980303,4063.157293261698,27483.84002050026
-33.66779938888808,721708.9371362112,16847.50101246505,3802.081012784757,27262.662101926664
-34.00413454416465,738988.2353943947,16636.63562753117,4023.4985896280864,27481.404025578024
-33.73577284702488,787231.8984895678,16059.1626445266,3800.0532056970487,27775.04197162492
-43.54399016224375,722854.4950826154,17255.046849356306,3981.4384550774334,27883.98647896764
-27.43849782617296,722655.6770619281,16597.656597287307,3698.3407768926577,25929.86367506641
-31.524371481176797,759120.0855158733,16571.218888074673,4107.264812601908,25933.73654406104
-40.65925292494919,783593.2433159035,16611.413224790413,3691.783005868312,27053.0461270208
-44.50279326435256,783847.6784054075,16261.269150091275,3989.6451107035537,26528.19501951732
-43.792525922265824,745101.2716098512,16875.60376012992,3918.843212825184,27837.899399347967
-35.213803530663,750422.0388463786,16472.46177330912,3814.313238777893,27632.46007230281
-28.378229970040447,794339.276985993,15914.078420701757,4003.901325286989,28565.14714250758
-46.24974911732398,720898.3148883014,17047.19258133002,3787.1782758801246,26461.667620380656
-36.63090957852788,785059.0568560932,16080.410113363823,3760.003940256799,27817.49129794386
-40.53112305481433,750577.3243663731,16559.782183754844,3776.9963453597834,27525.742406277637
-27.0361394924742,789502.877806567,15740.594528485752,3833.378199120179,27728.138842050197
-40.42319516220958,778544.3226156557,16485.633596619402,3781.0978968232894,28868.40508963004
-35.54263033974728,749867.0112476834,16364.370691967311,3719.736007724288,26494.63926578725
-38.187931916546376,770251.1645057079,16441.23447737294,3802.864860016506,28437.558394517066
-40.97149001042871,759455.7220543448,16704.202341822187,3963.238052935755,27523.886984524823
