sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
283,-613.9697642934573,812694.6209424296,750101.1954738888,129038.75323264526,70994.02345387418,48110.13632447525,662527.785708668,16993.251016561146,2501.4362398903245,2813.4761248545424,3302.536569803095,620.3520140712308,706.0722701514755,1475.0007534328586,36468.73306779489,6957.7594883043275,674.2420786725617,6.316057490725173e-06,0.0002334036380854581,0.4250677283893376,0.0445766007139743
284,-534.7255453106533,805162.5604482035,736433.1763063098,120295.09163748786,61471.12680893275,49383.394023084635,584773.5972518201,17007.87542639692,1768.6627531847175,3464.0603531179395,3283.7838199389466,274.01124523614754,329.0238149784899,1138.3730054809382,30976.516475255623,13379.591210693556,868.2441858175262,5.989682208977672e-06,0.0001612028034367664,0.46479068903516635,0.017555756705633377
285,-478.6603471497749,837942.8160676911,710600.1342824849,118125.51257597981,63725.89290705793,58821.447321927124,543459.6974741749,15936.863667078882,5763.185052433627,2864.015757657875,3137.0181220157474,110.62413868426842,377.57657926143173,841.7685743321207,30468.699058506736,13166.616767043983,1054.6972810770756,6.632868257827609e-06,0.00011974935369197528,0.2839486957579749,0.02633053104390453
286,-407.148669577663,797946.7036526182,749602.4355047782,117748.3521507356,62755.3555211706,48000.000000051565,495080.2159113613,16739.535501913215,1808.1723351665614,3437.396766384666,3207.6538827246445,120.18562237175966,281.25813350799416,1044.8969684187703,33062.75616302825,7917.896202512859,708.4021968217919,4.6533272298059675e-06,0.00018897328384533024,0.2417365666266911,0.01714389301946314
287,-532.0699587451198,820084.7275122659,751518.4938340182,124807.83399983171,62491.08383134611,48000.000000114145,629133.116709862,16328.322790496451,3091.1491345240397,3063.6912972119276,3295.462998399783,432.46430488302315,317.1573428682055,977.6441993834478,38006.06464983594,5994.449260771114,636.451859099803,6.58613974614519e-06,0.00024950661422345013,0.31378969909026483,0.04122260382740216
288,-520.535699373865,817528.6947796484,785138.7263202401,121488.02625185056,59505.359892585126,58054.002802573596,414702.36038817844,16489.227064760213,1442.644903648105,3365.655689077358,3297.2511672943933,304.57284622251404,182.3106773549078,911.4227330972205,36215.7747163077,7933.79702787982,789.5256500659873,4.352760530359113e-06,0.00019229729562480515,0.12802715848362045,0.04230012198416848
289,-582.3596860390238,820853.7706826297,747129.7879619915,129748.11273467785,72809.6403844062,53936.309203655466,561796.1373922998,16844.51864354094,3116.326293202478,3017.474802170162,3102.3676610051084,632.2584711633817,957.1480904354879,1660.548819910676,37032.22509025059,7901.006931942329,736.0066425303289,6.42996080115393e-06,0.00020055433260268414,0.30049632013786315,0.028532090633029507
290,-509.59652978511565,816456.8260430886,685328.8622312709,119526.55727560596,65542.48795191346,48000.00000052683,629208.2775929084,16384.344148319746,2817.5668624544724,3101.4890315105954,3199.777144656266,179.56375777180875,533.4209000415702,1075.588024328448,34357.17209493293,7008.816541385907,757.5869199897372,6.1041165928256985e-06,0.00020773549029762348,0.5399023935006053,0.02543415977829351
291,-427.5810757376309,811702.126870303,780906.2778420489,116969.18455571281,61811.45223179493,48038.712004344976,432964.5348314601,16822.02952990263,1408.6247302371498,3314.0419698806536,3014.9429090486387,67.21035654734608,343.51937611708274,812.4693571819226,32569.646348686012,8836.56186725303,763.0079935121312,6.199619853964861e-06,0.0001767036154266122,0.20689285786503317,0.031182853544540617
292,-437.46247256197165,809391.4284444506,750303.27433739,119003.50663377352,63031.98470519828,48000.000000201035,310596.2661719498,16670.800729941668,3144.7889398633392,3257.0805293064263,3013.1153237536664,157.16649286981936,410.9723945786001,1053.5420743135585,35591.196804218045,6172.036118454277,615.8693314469444,5.1716948533804896e-06,0.00027154622229857934,0.08758667667524336,0.059880755186886486
293,-617.3187423189577,827520.3573375586,762470.4600680945,126640.1908227166,73118.24621294042,49846.705156140815,558049.0027665398,16740.78349321672,3630.02301992112,2959.854367667309,3023.8669639692785,547.5508729983846,789.2062634290193,1491.209390316184,34237.41999357696,7962.642271985011,730.293362362869,7.98409411975129e-06,0.0001768630379453,0.28447104624184566,0.033082150575670266
294,-619.2051944879572,741058.9511667374,638883.3914149449,117549.39849611654,65998.23073330279,48000.000000014814,338839.3602081447,17469.585156794867,4905.521657047322,3155.463084540834,2855.6134359716843,95.7397053977583,497.78455903180566,1064.7564780364353,36439.34347176042,5128.150353919222,580.3044039788347,5.094012735013161e-06,0.0002544804689186849,0.11845483212299679,0.04319312443848353
295,-663.7709294671354,774800.5508734658,741521.4681731064,123809.76333465951,71211.25068110552,48000.00000039228,306694.6642394332,16793.68325272885,1814.5256391734479,3308.542661824275,2965.9459648821694,362.3037801941237,859.4633842263715,1616.7953735380902,37802.89105468694,5618.482277971249,595.3480073001193,4.3487792934059625e-06,0.0002629350747110554,0.0771181961947839,0.03008602059895436
296,-505.18167965215935,809299.5372859029,765262.4768589135,121270.712279394,60678.019728356645,52227.138547387265,585716.6144006117,16920.89455179752,1476.1928407486114,3023.6966554160545,3220.655009448345,287.8191754476021,270.3485070953402,802.3045355869848,35693.95297786439,7404.092696344756,729.3576610364728,7.117936396556785e-06,0.00019962253618330942,0.42801261304156873,0.03360200581717197
297,-586.5290209486354,850522.9546465569,725307.4956006419,123231.07717856576,66385.195121113,92128.2305302253,631474.899385854,15999.995838715964,4968.441070225365,3206.177653609721,3307.0441696854023,432.8140008196167,518.8796352930847,1239.8019764753146,33120.570324538,15817.522862037034,1490.9293263171674,6.1139736980158475e-06,9.364092575299847e-05,0.3625676317061106,0.01684814387068494
298,-695.6399273322901,767537.121603511,745096.3144954963,122558.15178647684,68740.67027094118,51979.2085384248,406946.6253515634,17492.908113035537,926.7213245554437,3586.7227113877857,3071.2406021009288,310.10795028923377,569.8612363603945,1336.52487448049,30506.2067319022,11173.182432506756,890.9580864245387,4.341533596459745e-06,0.0001529382946766505,0.15082975019507802,0.03772492394922186
299,-521.464119353432,792808.8149995038,720925.080277423,125512.87721336448,63500.47507322053,54236.03460947073,658577.7969432876,16717.742444577074,2005.9064904183333,3185.1661809286993,3176.5715841257365,417.63241034218004,412.9088468763685,1125.6203789165613,34058.225967287566,8964.125990061139,785.818913788986,6.528196089332086e-06,0.0001817737435360237,0.5196916422187755,0.03621050020554404
300,-536.6671025271294,785636.1499416592,752008.5482106254,119237.50335596455,61262.908710445205,48000.000000726264,212721.45619991355,17242.683872598325,1715.536143836065,3447.440654416879,3124.340626469632,195.81647429220587,283.00580923703785,994.7578516407067,33057.776613216476,6937.049602589141,693.6334401919413,3.794709856250721e-06,0.00023921805949394568,0.04650608236161143,0.05804652349527881
301,-630.6563342192776,814807.7351826311,760345.3914104081,120114.3235569898,61030.6666149501,55674.74727327691,412226.52107005776,16529.861403876086,2349.6924797644524,3527.483025346682,3235.663389812984,234.34457697391116,230.7483564674156,852.4679117369636,36893.22197912856,9415.074100391945,766.6927723836153,4.124784820547011e-06,0.0002025395912744162,0.11617629079547576,0.04595323602662289
302,-509.59168500168767,806083.5426980559,763970.7564607977,119829.10349560274,63064.35764861615,48141.54306130692,510385.9320572435,16846.46515894157,2113.4901748376096,3079.3367781457455,3179.9494717698994,213.91869041811205,462.61012087824884,995.6031128288406,30897.73127691177,12415.879461215092,838.3819266231616,5.922866035140836e-06,0.0001265674268452171,0.229593967290763,0.030526439851604862
303,-478.2764831856086,807783.7396346224,751747.0788836287,122373.55004339502,64458.63747737449,48000.000000004926,649969.4346369625,16651.245035250595,1038.644196259579,3199.9680276411627,3262.092484685059,334.491022149036,506.9607110347927,1251.225021278622,33481.624841727964,6629.462573727469,714.9155449621999,6.266757847066958e-06,0.0002057369209868133,0.6147918716749796,0.022246224052258387
304,-661.6895934981658,770309.4933313567,667360.1610044654,120580.1519380116,67220.98222974886,48000.00000026558,230156.16082621523,17316.262379803138,4797.810002382937,3476.7261444754863,2750.9633695278603,216.510186894515,850.5988834644808,1282.107350872487,37028.795211934994,4822.638464008244,606.016620877678,3.491156063290739e-06,0.00030393143822778177,0.06955759629067244,0.061342874491213485
305,-465.21984974954347,871369.6611825434,749711.0208820648,125230.06096101977,69855.98683157912,54570.704241608895,628690.9328649566,15932.358478787866,5223.012200463694,2783.5276469883256,3211.467797953461,394.0320501861537,719.495453708208,1345.652161517605,30549.889114032467,16815.010610263602,1054.339519226725,7.115997516948918e-06,8.564525059230419e-05,0.3555795511621732,0.036350584066317186
306,-496.8103517708361,813409.8205541801,727943.899907036,119686.54762396489,60645.8536229246,48245.94732258358,514425.97014421324,16896.62503664607,3599.894045479476,3110.0390116522517,3214.134343029887,188.21526773633883,260.07448031578406,987.2478578210985,32497.977988938797,11479.661075522894,811.8921026387703,5.635279891505574e-06,0.00014270525636186305,0.2638135329763223,0.025127877934554507
