sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
44,-493.8011832716875,782884.9955704204,752723.1510272786,116621.49790976607,62463.74581097731,52670.25949361768,17268.941677382383,1932.1057037617268,3177.8872931316346,2282.8837944503666,112.36855414624496,342.95286231654626,817.4646931369412,32360.042499650048,11000.843839702562,862.6479324101977,6.228812155547957e-06,0.00015462535573147087,0.09802218597221828,0.01655851261137283,0.027900757747269498
45,-467.09066525911385,706767.5777943174,634609.7582422179,123286.30948582338,63453.600713819134,49344.227837532235,18269.080233147175,2620.220263017781,3749.9714094757023,2681.265987653546,458.35873076701995,462.02453182212537,878.224423224,28381.11368213529,12411.982830394034,825.7578391450551,1.0000000016020697e-08,0.000154666632303603,0.09035786865040543,0.011832290813825606,0.020115225869550328
46,-590.6540918774881,763706.5859345782,716091.9957738445,118077.21013049255,59492.05408877954,65784.68585451269,17479.014365597246,2296.8625488920243,3389.9246202490735,2660.889526714011,150.8302054966024,192.07948783075543,772.9621292603681,33748.067407270755,9485.094807065867,941.788630928807,3.7086719069930992e-06,0.0001707733004683211,0.07558621972918064,0.014165755304949252,0.03648527078167334
47,-575.1528709877625,782801.9728071764,736572.0309169838,119154.7270240654,66028.02726341652,51577.24183327492,17106.70132131555,2159.017788706126,3344.425392033308,2291.9679582105,224.05783511632205,587.6901408516552,1159.5477711465476,32821.776420907896,10661.757573098006,815.0755524890495,3.98125994106245e-06,0.0001576136141786211,0.10332455678351406,0.012585682988098673,0.03637496348717377
48,-477.68808124116254,773405.3783179456,716158.1540418724,118357.61915478736,63780.24758689561,60468.50316350823,16951.319142162716,2701.722344435604,3390.995261636668,2538.8961733354017,177.12092216620832,370.6883328707132,1014.730950950738,33155.901529879295,10838.059361181484,981.3799792598259,4.054634610558527e-06,0.0001451877365905871,0.08670213910927023,0.011810155549822962,0.029512575065178268
49,-531.4020789691042,756378.3150831674,708553.6240896434,120257.5740490459,63796.56619469062,58887.671017424575,17153.42305840085,2631.7005417010596,3202.618154000032,2474.9266643282617,244.12936653415156,515.7353312100781,959.7111113330283,31724.932737517855,10606.407886408106,854.9849335980537,4.888515756120312e-06,0.00016371818547590398,0.0693676834272704,0.015689796356046906,0.03553399028251775
50,-473.2187371636874,715846.868348812,688673.923235418,117350.85966820404,61260.161398928794,52181.653820792475,18086.726045117477,1257.7829846689783,3730.0988458643797,2411.1347611194333,102.54714238229442,284.58084692425797,1033.8611263450418,29762.49524288678,10011.11443066229,823.9422094073725,3.1847524955109537e-06,0.00017343759088529588,0.10836606866798745,0.009507288448706977,0.038561491609206036
51,-438.4518608439955,711796.2962399619,695664.3600388966,117848.52281985454,65423.664622614284,58803.27155454278,18131.214817173313,722.1853122412269,3630.6280190080247,2557.7838411096814,145.92949215568908,617.3858239570912,1278.2224357622654,32814.90265277381,9293.504119863926,822.7982021391584,3.066328225331171e-06,0.00018730502836968797,0.10208947494281399,0.008767019356342607,0.03621848535447994
52,-411.154088508746,736056.1531682739,706901.6799580695,118526.59499226941,60226.28456467242,48599.69568463978,17999.186900432356,1572.9668120314875,3468.6724295754116,2589.417596993834,168.82922410756728,273.6023110070551,877.9633953964145,30852.061096857036,9869.288978295037,805.1098607824359,4.518971991728565e-06,0.00017913839360058422,0.07670701557680833,0.010992165026952199,0.030674666462835933
53,-507.70568822595135,799863.7421419125,783861.5589407578,117881.82715179013,61938.14856744408,48375.533375599734,16764.258276158977,1498.7271105753991,2973.832991727375,2341.340839050373,109.07570276076004,382.1182328377259,968.1389962426113,31508.722679756305,14418.925413206282,869.0162894907496,7.46269379436448e-06,0.00013725120625509893,0.06633279407354818,0.014370942757529724,0.02010245084994997
54,-466.68980864914556,786316.8222145076,742528.9447683865,118027.24582024971,62703.52696704392,48000.0000005027,16950.204976791287,2134.7165840197613,3260.7773026047794,2346.875829708288,125.562543145037,351.8912183116105,1050.7029892279024,33142.04563224431,7859.20150652398,725.2375920270368,4.473301740489285e-06,0.0002097379549296736,0.09929740635880192,0.01365370919896771,0.03488972156041875
55,-491.0417777112912,733065.6311590244,683451.0662283236,117705.21351219453,64255.37648460933,53124.9373897381,17912.096073449695,2528.362915476183,3403.6263588536012,2268.934403982186,172.9542070787465,608.947929343115,1250.2814507713222,32254.246473289484,8956.91149392569,797.2311526525015,4.239102477237378e-06,0.00020401038060456451,0.10646800781045211,0.015291155736186697,0.03404674814663918
56,-435.4803232204023,783591.061472025,765030.5039847826,120155.52086678597,62606.347444764324,62845.43400387173,17043.572973568993,1045.1403144275291,3320.926527423777,2645.1501966469027,265.86574567424435,422.5456712529719,1047.8413506598013,36378.96218279839,8576.131177609175,808.5853177434695,4.611226596026433e-06,0.00019752372586608592,0.0769921077783968,0.008675682590024063,0.03560388088658782
57,-586.9460941930861,773696.2015139925,735651.2593829362,119420.1328516377,64637.56944506491,60000.66098174633,16933.536748724917,1808.6539672084377,3386.7994319582203,2585.9656703993,216.40922950188124,464.4416561965334,1013.6669334350246,33050.0129032561,10913.614637907684,884.9878433885171,3.972563821908134e-06,0.00016125744768450288,0.08900065980540739,0.005602482335169438,0.03501723443151107
58,-590.7518534500294,761986.7062387149,729652.6115431809,119397.96669861187,62557.43877920694,52444.2325780752,17266.827190134994,1828.5130192713095,3156.0044507318303,2585.696415929519,205.32825358385142,401.8190197851041,981.4919039626037,30579.75427144535,14386.981760974906,857.0534165630064,4.825278602959211e-06,0.00014183286664298187,0.07431647161394558,0.011362084725334447,0.030234835394148497
59,-551.9228544107773,778625.1258239308,721069.4574543033,118412.4449386032,57800.640638716424,58631.61473462667,17255.932038595423,3297.712171794337,3065.77824934204,2676.977362230684,160.6645410564275,126.63435829954184,808.1036811623718,35948.562191390345,8797.262682343886,805.2865944623285,4.950539880839978e-06,0.00020136073812928915,0.06185090584193148,0.01098672222068794,0.03905791567331309
60,-561.3204436471709,727909.2043270261,711339.8294796495,119353.64006636481,60907.083771214064,53455.235848069075,17405.006217965743,955.0168777584032,3059.610516133837,2577.3430670244197,258.2336571979657,253.12547000929436,777.4119755672632,30168.228035001102,16936.084925174302,871.7085820342056,4.950463587557811e-06,0.00012896991793372135,0.06466871268144443,0.011645960609520145,0.03378566143684582
61,-515.3120319857854,763859.6690397548,723787.1470468275,117575.47351253059,61712.603545666425,84715.45604547484,17630.37791417673,2190.7986654677416,3291.345951272552,2515.014519158394,101.61693433401803,299.19205732524347,1051.5816121750968,35778.44798402871,10190.699244513775,1215.5488599066364,5.111666849337835e-06,0.0001650531879177819,0.09174148418376513,0.009694305816317639,0.038686673281758635
