sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
35,-506.2734649592187,762641.2395354412,740477.4935014059,118460.87392284686,70031.10808582116,58120.916243020634,17293.689187339398,990.9007552344046,3624.0078597511388,2679.239347121243,155.42925251359418,1036.2824892242597,1496.869208990434,35098.872551768276,7130.787169188131,749.0958776011151,3.5464680859085072e-06,0.00021849765665692074,0.09422293681047483,0.039359889700210114
36,-644.0848285580472,747884.7989733418,728493.2012644217,119543.31896920178,69918.74299222455,70644.80532409731,17589.87954873296,1032.4897131085286,3368.6175509088234,2520.555743165464,184.6188205813041,1069.2532369946928,1495.10663972082,36658.10363558181,8466.231105175788,875.6537365248362,5.060188734814846e-06,0.00020764766513312665,0.09442144771975143,0.04755036020315857
37,-598.4204158454454,796376.9499811678,769841.348982175,118799.38754278827,77763.14635695155,55714.7448801374,16813.654722474887,1897.7402082409521,3195.4319327835847,2415.310610581566,149.65420843192686,1174.1996011812537,2300.7533323087778,41899.5267776925,5432.90668149266,656.5148087470111,6.642336760797015e-06,0.00028722797161806756,0.09738951535660541,0.05823406465972174
38,-596.2338436713234,760640.6574802165,716507.6628152366,118428.78393792997,73281.42037849483,63132.082255806585,17743.53056086013,2539.1228286251967,3309.5760413213584,2470.4093165228264,108.32728665861632,1013.9632917354485,1290.8542797131192,34600.40965771513,9290.079832845695,867.6324520339767,5.167334752739253e-06,0.0001909698197843616,0.10934278795375248,0.041935138175027135
39,-524.1495395275739,735722.420546426,690420.6204011119,119019.46218213142,76265.41679994584,48418.2030689463,17372.309718318946,1996.316907891474,3379.787086543112,2548.9477654466923,177.9984949259752,968.7425352995755,1662.3135534318224,30245.484293287183,8108.301947759876,749.4939772855221,3.6375267316918857e-06,0.00018253580898066913,0.09804919214314545,0.04379748257144023
40,-638.5867532084881,748334.1517171005,667481.9753959883,118492.0470418162,63160.958609527,48000.0000000062,17971.673108396197,4229.492701812488,3187.383523397321,3018.310512212581,121.5165064387747,419.17379324614063,1115.040392155655,38717.10680508788,4988.9421005794065,533.642398931521,3.985278799155732e-06,0.00034310612875542264,0.05673131795624922,0.07228941731454938
41,-517.842983560339,775108.8714510011,718884.880155788,120140.04093705723,69929.55720615371,54634.84389549313,16934.355566226528,3509.656574859674,3247.2214425653756,2735.8536256471934,171.47084518086945,920.3149599009276,1542.31358033555,37418.60765905634,6945.476678916693,705.3405553062776,5.564923303870669e-06,0.000272401876267171,0.06153533579066272,0.04624168211840556
42,-656.5126238496957,774798.2772049732,709394.0290142557,121967.38286366676,74422.74857276329,61204.03716159839,17331.308280246216,3829.024148983144,3310.48788192851,2673.1074549955865,322.64661743491473,1310.7072379014585,2002.3565575713988,41780.900881996706,5343.335547782687,698.2252321380985,5.334101108768373e-06,0.00028069353315861355,0.07490902475570214,0.05792384121641633
43,-624.8279652915492,746477.4020599325,715018.8826119435,118406.78805161722,74988.09967486901,48000.00000031247,17588.434168472617,1419.962555769693,3432.900642614331,2679.6325270408875,126.21492761652452,1070.4872659940659,1528.5119728560423,34470.208415590794,6741.694229701474,623.2724729248537,3.2126533080804294e-06,0.00022735463313426312,0.09448642105527455,0.0320055065322489
44,-618.5123797630237,776431.2356234081,751178.2180435592,119960.43871522207,74739.42817031253,48000.00000001234,17407.86243772348,1690.1686502788127,3175.874460436596,2467.4857419818986,245.83479960652616,1115.6952697381073,1484.9254126555218,38677.477864916684,5435.194768043342,590.6053458580673,6.624803345671064e-06,0.0002898600515880123,0.09518447368931886,0.05251928332868882
