sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
272,-639.9562356482363,753946.8190130137,725948.4446329498,119538.866824353,62947.70023267244,54493.926027795154,280413.0512694353,17570.326035073515,1792.3705224870537,3228.9457104485346,2545.811087641267,232.43961945404163,432.04665524760634,1004.1274990267978,29668.507393789037,16497.361688890844,997.850119261239,6.325895429675575e-06,0.00011027182794223039,0.07904111245658407,0.012777656513463324,0.029620018334281586
273,-513.2016328898219,749370.0592369407,720921.3199183712,121971.34558525655,61487.55057236919,69120.85072894253,370617.0244722337,17352.340651273294,1578.5098834501869,3127.1175815188244,2542.1817310918573,374.606661116418,316.27934217539786,682.5438334182717,35537.79231987858,10248.020430259485,923.5293362899132,5.894410745339952e-06,0.0001750189878890898,0.1575906650582827,0.013980233992012377,0.01676950944398388
274,-475.0824648627084,790976.5016175648,748705.3200321045,119905.74558419052,63041.56782468919,49969.29015054877,425246.2059727986,17074.81285795771,2553.949516605724,3069.5304741119676,2650.7377092084234,214.04638544063135,334.4753765380947,945.5434413162076,30736.915881529105,12436.922097994651,919.9897806550024,7.185804689398615e-06,0.00013897065362983627,0.19346516695171181,0.011939579481925415,0.03163981373154572
275,-460.19073732613464,777092.2406285016,758122.136014534,122098.94370727349,64422.51305863682,56101.791982336326,302119.2519110064,17386.01519209401,1197.982610487665,3100.110637512237,2504.892125996185,440.97230693210844,517.4671384694832,1489.773324354986,33907.54339493518,8669.577898644211,817.9883659173597,6.580043778045035e-06,0.00018340208383003836,0.10484698358401705,0.008961200198960474,0.041254200298483035
276,-463.46090937047893,751281.8199894973,712909.8603109402,121882.86378709527,66628.7084472822,79577.91765085544,412356.3825943074,17576.59319945523,1769.861601729524,3313.7696895183753,2739.309553709616,355.5164476868819,576.6631867133315,1015.5224316779826,35095.46147215947,9138.164192337343,1089.7993348918815,5.868601645797798e-06,0.00016696040602877258,0.19699713774318262,0.00907789615843016,0.02821918332561923
277,-572.4901949981991,782829.922930513,728261.5854270672,119918.68153584066,61691.094625283,59395.68961456173,317448.04547866166,16965.331587931534,2500.8301507727283,3369.4755860775963,2639.871438854012,280.5699886700407,366.5336440168448,943.3903436174229,30627.66802880865,13726.367527634718,1081.896139993174,4.274574741156442e-06,0.00012567515788290275,0.13342930468184072,0.009855096410511823,0.013999826118939499
278,-474.1092651864185,767052.1289635617,734156.1518888372,117666.88474085508,60131.57483159762,50418.64742597932,412314.1431529201,17348.86900539405,1733.1951506792866,3174.1593983567427,2844.021766014548,168.50409250249078,224.78105199971287,749.0286207581426,32019.06764643141,10258.526518891482,761.3593421520686,5.875759954348707e-06,0.000181218072563356,0.15965320176662476,0.011604801224206908,0.031184968355831826
279,-518.239374204054,748361.53199308,712942.4160074985,118084.49865603459,58525.039507757756,48000.000000899694,274154.72512529447,17931.31411412798,1889.3936281816975,3322.84710999151,2642.6396616725633,142.73299034903593,174.39793899126605,736.7188082499814,32195.237768165967,8186.113938995079,726.7665381817372,4.868611989455286e-06,0.00016995640406238915,0.07850545801886048,0.01168378539649144,0.035666462828220453
280,-420.4750736748042,748383.872020044,705549.7761124005,117866.28133901501,61044.585218062624,58046.61369257338,308548.7194540862,17547.78904664556,3150.711360530563,3017.924199929072,2305.4898192203063,158.9674726652381,333.16232903433786,876.6218395341696,30169.540534833068,12519.30687344968,932.1665412729192,7.945293691243497e-06,0.00014522147665780872,0.11246341460879215,0.01818775384324061,0.0295285868853494
281,-516.4098503003186,794198.1479447996,733819.471955927,116758.733664868,61607.90769256101,63960.874282902616,527100.249956233,17197.281941744284,3848.890195355758,2875.3560561662607,2840.812165446278,79.95316297869385,280.6309077588735,892.401452312935,38540.070946245134,7874.501886165042,883.2976016101095,8.309789676254347e-06,0.00019554115738881672,0.3202453592225259,0.011231979169641986,0.017771013803714163
282,-358.163289426716,776309.5660258228,743243.069371689,119648.36518942403,59070.84106550119,101235.19858639207,455037.0399190251,17075.462537509462,1825.0852673924703,2899.189333997727,2628.1071746172797,190.275150508317,161.7278743181254,805.2163782872344,39687.59254152212,9862.227736282102,1201.9908834069913,7.400580408089828e-06,0.00016159457445015784,0.23734214435584275,0.016581562929254383,0.020195425150375847
283,-432.46103649858867,743522.9242000193,702332.003713419,117264.33366823303,63080.5248830368,49771.84515448807,549790.5591291719,17672.9357675597,2027.445610925902,2963.3866370876567,2836.7769918466734,107.68127103587967,389.54343830468764,922.0799409625581,30986.63328334434,11527.239751186422,827.9246197327902,7.1602006418761605e-06,0.00018162469272557907,0.3249586776951318,0.008114783898784377,0.03712760172034085
284,-482.7774281789244,761277.7348583394,729244.5230554893,117860.9662681033,61450.716686942804,53242.468871995094,283166.5103065078,17160.382829863087,1838.7842878983984,3134.9834466591165,2536.4723245013315,158.24838866294704,364.5914666201384,1001.3089873792783,31882.540607239,9139.069446765076,854.8978330306821,5.594660240933392e-06,0.0001762603961257008,0.0971149923965463,0.010094429606401082,0.026233596569943635
285,-541.4896355790213,812265.071316938,782682.6680881884,116434.9246209123,60802.17114335297,61035.52581651525,350375.84146552254,16389.191598603273,1690.2996791379423,3076.553299219061,2577.9433207300535,57.70017419478701,291.5838782819644,876.9068560520337,35883.64530095844,9047.25597860727,884.5800987958522,6.989532677944357e-06,0.00018176944885262583,0.16941384255234873,0.009087162936683824,0.02366776596534018
286,-534.8321689213957,748296.1265311695,720358.2410294123,118539.68746457539,67494.61838000065,52410.802990254284,263180.86785200285,17981.482691977417,1648.1045535971093,3313.2085937908755,2587.5669893141667,157.97698453918395,631.1829441228034,1404.1079424952477,33590.06712363176,9137.615583183537,805.1565036461078,5.732575234923841e-06,0.0001914750458898413,0.07984370175565765,0.00751782265155489,0.024221505092314705
287,-489.2513175238656,767905.53483817,721860.7208551323,117308.76841193286,65891.03683602753,59831.10974124626,383279.76108309854,17292.83362166171,3001.4741960591364,2925.368179043953,2480.335784211014,127.8246587578363,527.3752420988578,944.018131847661,34326.51641382995,9411.882554358344,870.9877496292123,7.806248644690145e-06,0.00018777028879428848,0.183286031325103,0.015526878904020344,0.01549463051964862
288,-466.89970057509385,769709.1827667685,747224.2065299964,118357.3723727767,59041.50280566791,60417.27245320865,366677.85299402406,17339.08044378758,1208.7898540682343,2995.7811311055707,2674.1892225220527,187.32396847004463,208.56474135639436,776.3368982619708,33899.843483447155,9157.13230848811,873.9064626013221,5.627715952685351e-06,0.00017979508920285274,0.12215509523207246,0.015593063126254227,0.04054712407288572
289,-552.1867133163548,775011.7920147815,732752.4618113452,120885.65784095832,62101.65164363716,48073.11725886596,279229.10023758427,17014.54166896115,2266.4974105682845,3214.1014913677714,2507.4970212034114,429.0783835436421,353.5071337104899,989.0390737834763,31463.83049108634,10920.198392363865,784.7374913631487,5.070287509703474e-06,0.00016675447077819187,0.08887634720966425,0.013429209126618573,0.030828786225337263
290,-538.7643152883406,764648.4334721294,752508.3957517842,118745.84161478661,58713.7392421356,53885.006464006845,331337.94665898976,17327.089695526498,571.686090003802,3246.5248814948395,2710.480512597202,175.23125457006645,176.20329480739036,785.0972804498964,35308.60080842143,7572.58958267487,730.3788745371057,4.7556229154027015e-06,0.00022418272360878096,0.1399784113359834,0.00842081498891612,0.03281247103132612
291,-525.5581338781745,771298.071318802,746948.7699228162,119379.22684849564,60499.611670956256,54439.18781709782,347700.2005422714,17354.966634127493,1600.4362797318995,3144.605857532647,2426.3640427383953,212.4520209849028,270.09670731843966,800.1298499451059,30962.534830102046,11361.874006375787,893.3157169040945,7.072214912134352e-06,0.0001505807854402203,0.14409033398978552,0.017659621506332115,0.02039295521917261
292,-449.88027931623066,717992.2239599797,701845.3720583515,120075.96724502639,60217.22940922182,53084.34932532678,280723.2792537584,18103.288398569406,905.8152005267823,3194.248589288307,2429.4564276254237,311.3268267117822,239.52993083161252,906.9055583075326,31265.409566917042,10508.33371049591,796.3712681599651,5.021999377765005e-06,0.00016858357920055528,0.10480539061671638,0.013167770989452257,0.026812412290853616
293,-509.9643872385403,755678.8226684534,733416.0238934091,118015.406468151,59869.75879181266,60802.84511207026,349276.3792113207,17393.85972260035,2554.4796574417737,2821.929121928635,2535.110448721079,154.64078560908112,201.09170633114297,1009.2615087134152,32382.187931849912,10524.789175574888,912.0094481932497,8.508274064208353e-06,0.00015515638860757555,0.0943032564451201,0.014351511836274363,0.029631377680540135
294,-555.620379822971,734768.1826202212,696692.0955435409,118140.29308342555,60495.769608494884,49941.272588547516,287300.66682406387,17740.443012833486,1853.7871220691957,3338.6110401637156,2509.010566869358,153.9685370882415,270.0304352371117,898.5393082487594,30393.86165652429,10695.851961528824,807.338250364289,4.995691537523222e-06,0.0001764935258466445,0.10236511761500997,0.016208527461790936,0.029717308133421806
295,-584.1547381929938,822599.0307752239,808627.5345748585,118401.22893506558,60830.15721065951,48238.547854049706,397648.1927671219,16571.994104530357,1081.72594564991,3079.4258920028433,2764.294951079715,151.74192892787286,289.92366182445517,880.9293746442363,33046.15371650503,9661.61278130721,777.6499232026441,7.371862550241449e-06,0.00017113367756490632,0.15523384576272012,0.008503183124866967,0.03021573160082985
296,-475.1517765476603,743299.1274406435,724147.6949474311,121751.9928528785,62790.44458383812,74908.30698170452,422488.59032453457,17866.514628782657,966.4316474064069,3072.3613037584228,2580.3779457348983,385.6534808370248,384.871539030486,935.1369719895699,36438.87840813059,9399.688414751558,954.9614243945531,6.560855144128926e-06,0.00017483477561914323,0.23127764358568675,0.014370337277028869,0.028374638756752894
297,-644.5993144353037,767888.9865662317,747586.3145564646,116052.83764788895,60794.04794470624,50664.77631009113,245405.99199979389,17163.22370526134,1589.5329321213005,3084.717643071233,2654.228194844763,46.07783207545242,297.8907798650423,1075.0599919828253,31110.51379691959,11175.854109590831,820.7282534570467,6.606614164714315e-06,0.00017168477900681632,0.05802100508201988,0.008864954789851803,0.038940486342946036
