sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
420,-410.01806140466226,819888.5909100032,783874.8710845166,125013.40391954279,62784.720932894146,51990.033227221626,321417.23639816797,16490.648001068315,2102.93494228408,3172.754976132208,2764.767834231737,457.7514168388749,324.0281203717984,1024.2894999661257,29922.796771196266,16705.763654096165,1020.1077471620797,5.273508421796342e-06,9.514613956449566e-05,0.07302764513780965,0.012277267168662698,0.03192850432260592
421,-511.7706668196738,768455.2882116631,728159.1064799608,122109.4661113302,63243.65617093091,48000.00000039953,592250.1185191841,17301.75825080448,1502.1843751965785,2650.2030593354766,2904.917947159245,337.95624611363155,410.530013013377,874.9165810348251,29107.9259166306,14883.936714294383,912.7281906386328,7.740360590940323e-06,9.118199852728362e-05,0.4420050352921546,0.008592627230952393,0.02606883600133262
422,-514.5451583939148,772902.350169345,748189.5026471108,121283.39094889743,58121.201388407426,56977.6901497848,441262.01057611714,17434.23316254306,1202.025162670737,3112.2503081134714,2814.601783382925,330.11476983709923,120.70604845410126,632.6864774555582,32325.433700459187,9920.01128651144,943.0720881397218,6.222950506768525e-06,0.00016171819032708708,0.19450917917938676,0.009168738728030288,0.023204577640782736
423,-574.7240703147584,825904.3714442673,784767.4665816867,121401.75037938239,64776.58626160529,49998.24998437071,308934.6852454974,16582.781870611023,2305.141837473095,3357.4554883061187,2677.125788045075,338.9019185365595,472.1366811992373,997.1005074234206,29789.257534530523,26035.862354335197,1067.5576780942672,5.542090292084362e-06,5.934705667983644e-05,0.1073792711169011,0.009710633988517887,0.02327683922809834
424,-612.5749183470793,769956.7021941826,726154.6111413023,124253.47343974772,60733.57532584783,72207.13213220892,367103.0472837802,17546.34773580825,1886.556886651137,3532.607513924362,2845.030386089276,574.0952273919931,245.84673732102317,951.3660303423899,29950.50733407927,13161.766007642,1259.5632611327849,4.6416781818112775e-06,0.00011337877234304118,0.14297750673033394,0.009405335558352644,0.033512704407719224
425,-560.8299785525803,781497.0384558777,725894.4390043701,117348.8624520429,63189.5245367056,57230.411274844235,418472.75395543134,17199.799219879416,5179.931865448193,2655.74823150981,2400.699516882605,101.62507465863914,371.29424962438037,954.3583517987427,28386.53457680603,22835.72104163869,1233.33114386394,9.973165861759717e-06,7.38157579246331e-05,0.2292498580591841,0.014201345951847067,0.02578660508416622
426,-528.5885446764802,789149.6089019862,766817.3767001496,118609.21625869839,57733.87436687801,54728.12710762554,392250.69372311083,17052.99535276804,1311.191826847693,3157.969232512758,2712.724863062046,170.66664044370174,114.79285375154046,620.7788261550767,27820.71533685742,32050.721868939876,1216.8524809111705,6.578870221240109e-06,5.587049714307991e-05,0.14722117595617937,0.0121451565191464,0.014052199310474902
427,-522.6133802883071,798784.7992755855,729612.7774606516,122638.45342808859,60769.39586615627,56274.20268090804,683258.4779294424,16952.603809692526,2397.349262054601,2974.536573665171,2928.763938664167,413.01148957935965,227.79557128453152,928.6304167769282,32112.460744490283,11659.752822671375,913.0620432302645,7.460360067903441e-06,0.00014553299770051633,0.5524991811937566,0.011410924451152113,0.029869969091829478
428,-302.04511205709593,837793.3739556967,826701.1540750957,120841.99641030056,60338.944619070266,48115.81564425366,567363.4583578714,16322.815260893156,635.9621635382255,3052.6093573020817,2922.7522941190155,302.7476163255591,269.27102286109,837.5374015294257,33219.72956193188,10724.398538884618,754.2280775372138,8.450588522051038e-06,0.00018826667068825342,0.3406920431301876,0.007094689401800187,0.023454538856881736
429,-485.95869158317,787251.1773323998,751924.3035212689,120710.12258741063,59226.58712805204,48000.00000196125,480158.8696958421,16999.146737300638,1809.3757273678016,2873.9688396993947,2660.803398813521,290.1474815714029,162.5644526199425,786.615860903508,27306.8904807111,27375.024938493574,991.6418100706088,7.1468252151965095e-06,5.466485524195432e-05,0.23222011029634432,0.01671623990723135,0.0158788281131288
430,-529.3352110368079,795302.0175821962,738784.9300181646,116718.66198639521,58485.43941636266,48012.280909735375,407500.51835497795,17231.161031279225,2862.372678101272,3219.2215185536184,2752.313273770711,85.58850718129086,156.90353263270578,689.6775035732333,29497.554157155384,15151.276901726555,950.6854247236372,6.141407416302201e-06,0.00010559366250569628,0.1699584354867449,0.014089158121497388,0.02871902275976274
431,-532.5405861887282,799817.7274551231,742626.6115835266,120485.29467854068,60480.55277044721,50771.32602102537,344697.4361693612,17021.040566454303,2979.4327485405734,3117.5310737390955,2742.5391078174935,245.55713032942023,288.0257268684997,976.6496115303892,29695.509322685022,19425.22393413695,967.6897726251945,5.7416970773458045e-06,0.00010203566412309417,0.11950460688988523,0.00865673114951582,0.03262392426279165
432,-355.9474703175247,782931.954832502,620351.6940187511,122452.56815330315,62738.388198762084,55130.02562860743,545606.7710634184,16982.424065992243,5358.37157604538,3249.8618227753796,2914.042405023439,474.355357257726,421.0394275370333,1034.5518090192109,33463.33553771937,11085.163183650191,847.4642247847743,5.786845107384832e-06,0.0001657815613567655,0.328183909287403,0.009869704906378422,0.014520987172759353
433,-517.6630857700095,817771.8030033103,765612.8367614191,125646.38384582015,60856.83503280067,61673.54437623371,490399.52769939887,16352.343299172742,2916.866220539458,3048.0702219819236,2748.5697336783714,481.96645898233106,226.08541515477364,832.654166852503,30514.71080933673,14232.559406251128,1149.4092508805015,7.493554658805037e-06,9.960446161452094e-05,0.24968815579115672,0.013745797867029518,0.024430907819650773
434,-397.34419231483093,774790.8685794983,765215.8463844787,120954.92986831862,62987.2817953317,69109.68446584193,354094.91037703626,17037.979339907917,496.7205940866928,3203.0059173712284,2711.785006973128,324.58953918929217,341.8884644962438,980.4034539497084,30115.525716954027,16047.720359580877,1211.4697720914946,5.168267902539222e-06,0.0001223415071570237,0.1423518285660737,0.010279051036774829,0.02543879289613769
435,-479.67104438041315,828534.9193397157,776288.8565025649,127462.60628589318,63886.4163418683,54827.99054780001,592901.1775119018,16240.29366544157,2648.7827969405726,2725.9372531770287,2872.4324670420046,601.5934454440006,483.195496628526,1140.2262452240268,30854.407302806565,18406.061480045915,1022.039474914065,8.005836837711679e-06,0.00011382297141756468,0.3245141859131792,0.00845267050162832,0.022680527391560613
436,-497.47108783854344,793639.0644365207,768822.3571569198,122143.65161059615,59890.48099859584,48000.0000013377,293520.4985246593,17130.92645667416,1007.7269623189927,3543.5673881570997,2679.890170383375,284.80906498122204,219.1753586783868,974.6012648508172,29222.631056051305,17177.76460065567,897.0794124567157,3.992240924104576e-06,0.00011681525806569796,0.11368596243709192,0.007792962233826195,0.023361144861183458
437,-445.9972332732335,821183.1837836724,782084.704377146,121684.5210120772,59087.256754132766,48000.00000320501,289936.0396289456,16436.152056819057,1806.9293677981098,3229.7784976422804,2724.735074079721,266.8419681259533,167.646505889599,704.3587718921946,27925.11687502329,48591.751311569606,1077.0639706625284,3.972245178793642e-06,4.2023222074878974e-05,0.0971581920538186,0.012978018201407681,0.021741239905588256
438,-553.104147191233,792322.1755380486,709977.43142492,131921.72658483536,60819.309099513885,53456.56820887403,555622.7040479365,16940.058314825386,3597.043886240967,3033.728181008792,2875.6702104248952,930.0024943841257,247.05970311104514,937.5687240544765,29695.798264868085,20979.01453102707,986.6801071016642,6.4739857057281115e-06,9.732921904229406e-05,0.2765390330752896,0.011583639706777983,0.02433640300186774
439,-481.9925703621726,773155.1446826018,697694.0486026512,119167.6586478109,60872.60647678875,52232.10338752616,567180.9061635528,17513.60200963753,4105.502583657807,2823.816855365138,2885.753465621014,167.56065997277778,303.14554614350345,1094.2286020993827,30464.552992236288,9562.417333280946,835.1427279831449,7.813626541977486e-06,0.0001722129480656409,0.2991754546383547,0.008087266910241624,0.039369388721471714
440,-579.4882634445205,784618.3720799796,718035.1249440572,118197.92939119066,58760.99495965908,52552.16683642613,399252.7324612312,16892.820535810035,4145.567767495006,2899.2067263334225,2605.0305392764976,141.47928642821603,157.61703573344604,731.4497404556238,28980.40808663385,18950.978839156007,1030.4771419719964,7.148440820618106e-06,9.516918622462292e-05,0.13925568086126447,0.013331642417219982,0.023457534529692167
441,-521.3206274650951,786414.7680893647,751884.2980484423,117507.84727549297,60602.78800821092,59253.01656307395,283753.1433582256,17164.623604292952,2142.90104038905,3192.3579492517424,2624.801924857528,126.73193111676731,249.2292461733836,1006.7916996099182,34603.809845116266,9489.227383726658,905.9138159898853,6.052355491425231e-06,0.00018539409477311188,0.08911961108634914,0.008980590842247218,0.03541780152642074
442,-506.4580713827126,779865.459545129,749309.4531767152,121527.42887634077,60703.56406983588,52721.19245787433,478825.55728633783,17409.170858090027,1485.693329124142,3174.4937772993703,2925.4141121881044,299.897370098105,255.05284547949304,848.3086563082294,34269.793445215626,7690.161643095867,839.76084770717,6.668372893948949e-06,0.0001818911773665844,0.23343618251693946,0.007576652638465402,0.026638722163887324
443,-494.63610182352056,788801.996509808,613562.6361256309,117883.97533675334,63184.98349568335,48715.60234105444,338659.17466847115,17295.047373835278,6440.117042517178,3505.7787377594086,2753.571378577712,195.56974389071618,452.02688817934404,1085.7047762404256,30946.818924631152,16690.494110535463,865.6451002703411,3.0275073316400086e-06,0.00011845262897796898,0.1321874874624931,0.010526312514954703,0.026134612280660136
444,-404.78723376529973,766604.164364772,682160.833241375,119913.50521752621,58461.42148696527,48000.000000569125,584593.9266743942,17396.786915676475,3479.1471579988233,2856.5045391280382,2738.452408916399,249.7693285697285,178.4030717155192,697.8442948797095,28514.77732449812,16068.346178670232,910.5865128151191,7.935850776709105e-06,9.635238512279549e-05,0.40151514569933405,0.011895152988206618,0.035151584609849705
445,-487.238676486234,786692.9239081449,772891.153302511,120836.46773842195,59754.09715041124,48814.765920239355,436835.3392550057,16784.88696811896,827.5314732882096,3204.7506450675446,2899.2884408775813,269.52494416923923,210.09143266412698,771.8659255070924,29699.701285366296,14664.6243427467,858.7820880616467,6.475048383550137e-06,0.00011385125746418455,0.17332402930348656,0.006185614674597998,0.02569340315114593
446,-510.0945122654633,789314.4881282656,761968.4439137016,122024.92017302023,61485.723822702304,49352.478757948644,375665.3507891627,16914.11808951476,1634.2515876262153,3113.404073391515,2596.1858170124333,400.60440674448233,282.45902437078973,895.662210084041,29294.226028591125,21354.23593774033,964.9386551197157,6.849295580275778e-06,9.199003805476557e-05,0.13901516038848427,0.014096408169287724,0.03117788845454922
447,-463.709984262885,747131.7163638036,705759.1233095007,122717.22937573899,61996.37401553437,60152.705913322934,473159.2214554221,17402.995500537865,1591.2718341526818,3332.41741531546,2948.7906110284357,420.17435607746177,333.1923251802316,1012.2182080418224,33988.12400790112,9089.448215336417,884.8957171362888,4.034738875422728e-06,0.00018657083681984782,0.19171263702548677,0.011815254198502767,0.03511112827880273
448,-499.17285899172526,800224.3981776852,736723.4066374773,123607.50591736777,60276.52550581573,48000.00000086977,315170.2068592247,16698.47283330725,2710.580408784924,3443.43090224537,2690.3953191883184,628.6655071432706,224.0728347673477,765.5940532586412,28534.460972867735,29191.42371718377,1092.3685847280499,3.4305267345442075e-06,4.552906000321787e-05,0.11126113492147902,0.016555739581156175,0.019633487580551837
449,-527.6410377524566,800769.0245159138,754523.1929042845,123057.43962212851,59266.92001085928,48000.00000054772,598779.8549620269,17141.44593394785,1823.722033847438,3019.54282254327,2901.0813450774212,467.90866723723366,166.46281377153477,823.7467580819076,29261.36929132388,20521.786777883797,933.4687190939142,7.297538214982612e-06,9.271589371847509e-05,0.4005760923793434,0.013752983204721896,0.02919640905205995
