sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_H_N,p_H_WN,m_ND
79,-376.0320431028531,674458.5217205989,664583.2846266185,119267.4698708586,62415.32243455967,18613.404170096233,26926.341802569772,512.9562741599743,3676.468520471994,2685.9243797861427,253.6284078629133,370.1106218840754,921.8537391870852,0.07018119255080939,0.009380405916618538,3.6847129040175127e-06
80,-321.7702439254913,726864.4360604163,682028.797999219,120124.73957989365,62693.7947673546,17677.630969609934,26941.964144978352,2500.2786502543813,3015.401759458437,2330.032421276866,280.62133341828763,553.0860973522955,915.6838462201947,0.08430926506790196,0.016964635452926192,4.834139583338948e-06
81,-441.22234668637407,732208.9873062732,685371.6185809514,116050.47996003508,63515.5363681701,17628.868046993208,27995.294740497473,2643.7435962980635,3255.0148847785827,2476.61522424799,49.570738512804276,502.7891948752585,1191.6109647991188,0.07751120546331088,0.01353427881934948,5.219187443851525e-06
82,-300.8583840242892,753501.1858775661,746344.4957848336,119628.69390867294,63499.132210356256,17445.68498384642,28568.617052981463,325.23985084326796,3419.6648115285316,2749.724822861219,225.15033150420956,381.5513474257083,880.4007298847987,0.07441450914693025,0.011720531691640243,2.98133099295976e-06
83,-268.8296538488321,715042.3751677719,691839.4348241922,129305.8131569436,64622.39565671737,17959.428550820754,27264.831655351227,1186.731502670723,3462.9984723014572,2560.9013193560804,745.3206609847709,451.8606642168293,1066.4185189892319,0.07073557330167163,0.014998487523150713,3.4254156064987897e-06
84,-376.03407174376207,723741.8722115721,705549.7496121698,124553.1344385653,61045.546289424994,17839.492205430863,26825.468667934863,1019.0437995122362,3177.8272991707113,2680.1103335363405,572.5218789668033,278.6961714636113,841.4985376544693,0.05823776312141157,0.013068162899928475,4.284159718251158e-06
85,-417.26109170722714,708954.5453906129,635277.677021951,116936.61456530087,63418.092792824114,17976.966579375596,26833.348183943457,3469.7990123704144,3079.07778721186,2310.786043367877,79.6303336492219,355.61444611664814,907.6768441442388,0.10594475280274739,0.01375063945479585,3.7951696949996607e-06
86,-220.112994153285,704581.5600006303,678738.329302295,126969.2712152239,69019.67499999538,18086.528018466743,26826.58726688385,1042.931852038522,3656.025533470235,2559.7672808125426,796.9920353009276,744.1774059132924,1274.1428318843316,0.08282453851917952,0.011148176429624172,1.9466252503878463e-06
87,-337.5383401658293,703910.5132554963,696370.5054968043,127257.14109367579,62305.40000255721,18589.82670900269,27140.68667019069,292.71610646759706,3648.797603043709,2726.3225551574847,756.4566680537316,341.0651296916099,893.6801031683235,0.07457350408897966,0.015642166464571866,1.1688807704505091e-06
88,-373.5616302845464,691212.322619931,658861.8010002824,129577.28368106954,62473.50590757114,18411.940823422152,26782.29556355294,1174.6264061367897,3797.961323479219,2574.1617402989523,1276.2692859413228,428.98597514912626,984.0124197960121,0.08300736247701614,0.017210921583755947,2.3130939839896574e-07
89,-389.7459181659367,681085.186236271,652366.2973123145,128196.90268434766,66141.29797262153,18313.430266371575,26538.152835360816,1145.9035438106619,3471.825797959931,2569.9053841018363,977.9074048242339,547.7195547089294,1116.0450861890201,0.08867012585260178,0.015981690134610028,1.2320382581139353e-06
90,-345.96271346877427,711575.0998098761,695840.6074117855,118123.6816188373,63199.256925681315,18149.123245290517,27070.997300469997,833.8556590548917,3459.681055282026,2547.0822059246725,131.52138738378662,416.04695097114035,783.8279290843973,0.08640350458190292,0.012892358039164624,3.891656989672532e-06
91,-316.5797152252274,688114.8496046184,650981.2818318133,118138.72740124009,63873.14698132404,18560.18734536867,24850.563046027506,1669.5775624682865,3613.0008200531047,2450.0162085323486,151.51114320742906,399.00629265934754,941.312231401777,0.10298586198945348,0.012539880487453135,2.8349243639050125e-06
92,-340.8594972045741,750514.7469935361,697518.4499693555,116136.9753133293,61498.66935846223,17656.052861018372,28316.248744483142,2939.4898781042184,3148.6407741475105,2454.251348919766,54.35822536393325,295.1474388961042,796.8314208580118,0.08987354908399946,0.011672485592485082,4.770797608801996e-06
93,-393.1956262332892,707871.6631414368,660303.345246632,116951.76614558857,66536.57741430792,18423.742317915458,26124.66631264557,2303.1527696573244,3490.520578880215,2440.681600260301,69.81193903875362,641.6699344538366,1411.7214049705744,0.11211993493811896,0.007530189813765797,3.683880176564105e-06
94,-431.62473104506387,692450.7741099042,669141.9818602285,140726.36025663794,64759.046831510925,18222.900027399184,26453.942576150217,886.9503398672364,3849.438068987521,2659.208206849821,2433.092403289182,419.7774419191647,967.8760580201318,0.06756296332147475,0.019539244007766503,1.0000000214560017e-08
95,-261.95502268240864,714503.0001180778,599539.734871573,124643.67894682995,66137.378873683,17586.8566014782,28630.60799946915,4787.563815826913,3521.140324244168,2496.3526301580177,547.8980770998809,531.093803429762,1044.671750230836,0.0818105733560757,0.015081964657268033,1.6505347327210388e-06
