sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,m_ND
233,-650.8919737157862,784028.9405428732,691446.2789614518,123949.47058247658,63440.173965615206,16666.003462476147,29400.061100470364,8464.748065828357,2853.6642089137927,3200.824472510997,374.9057442032676,411.18797115003514,1052.7248696359482,7.851534504724511e-06
234,-550.9232179881357,753326.7096892111,689984.7324468842,122155.42444838955,63404.35723841988,16973.104393385715,27717.306776792444,6683.792271849798,2807.922709115307,3165.557406991706,377.8240624039592,453.4745936150633,892.0990837226395,7.786125358018675e-06
235,-824.208981325927,820314.430539598,688167.3003714646,120794.55923862854,63506.88081147343,16178.461352112354,29922.161874798498,19092.977463179566,2842.6399945818307,2960.9596576740664,290.060127449012,458.6182535408308,1447.624560310851,9.934601549636961e-06
236,-653.4709256679228,787077.5004156807,718460.5958749503,126148.04236353059,64123.77951161322,16702.585244445287,29298.419822417545,9623.759723371173,2795.845127479144,3097.0190313170438,522.3553175950605,502.6132281697166,891.1372376418269,9.103251526428035e-06
237,-723.1959329236302,798797.9936482047,698562.0842464135,123529.23632484593,65383.14366415995,16702.508395994722,30160.501162020355,11975.099418686856,2650.668279001269,3082.7356226967345,375.9240391193375,526.5587957263849,1301.36709836111,8.272674346259192e-06
238,-640.576851913811,801176.6023680049,683851.7363617666,123564.27983496459,62174.83476016353,16196.285007234641,29587.624213698866,10177.731603321068,2752.2293969877196,3247.9726573640005,332.57740232234886,303.29921760947565,803.7209509585324,6.543774914750349e-06
239,-689.6758653416899,779652.3082083794,709902.4499945744,121929.17886057925,61124.75417531936,16944.494936945546,28589.53967355966,11494.471155756211,2549.937542745032,3035.650007309564,225.52088480343474,244.7803363586479,1003.5182787990424,9.644245858576834e-06
240,-675.3261953751385,848074.7028472362,613167.9669395442,123581.8808429383,62732.21252775063,15796.168828580785,30483.152841042644,17913.22779020137,2719.0956936589955,3154.070883673734,450.0799144233059,356.74058044856935,912.2936577241786,7.490457849960124e-06
241,-635.9643515607985,782083.845214782,672159.7155661321,118172.82652017742,62893.82695172025,16659.24283936585,29846.599515455877,11871.152523544713,2697.862225788684,3095.184303318742,129.88349823328016,376.1939906542042,894.9712785815319,8.476741984427157e-06
242,-528.4927454935688,765644.9812097913,680124.0103629793,124275.42111390979,65503.25651130668,17208.720766129303,29310.740202162295,7593.312236868581,2924.6868570149986,3219.2180568069152,434.7539542186253,660.3225441465538,1044.8164982153019,7.385375595218428e-06
243,-693.0139234343409,811852.0177608818,625749.7313054869,121147.31254845334,62736.438321639616,16235.76558754536,29942.218149415716,13757.474816680418,2859.4558964036737,3213.644672018524,270.9818124284356,386.473257509953,820.2202591443988,6.961866286738467e-06
244,-535.7414857706689,765307.8351301248,725768.9560858723,124131.13959114104,65050.01752366269,16997.744053545066,28101.828546020322,4299.154011763346,2772.885861708217,3164.044776874704,402.0597486668045,483.923751852606,1288.7750738422646,7.445505229609514e-06
245,-642.940895713685,812024.4103526924,626209.1633939306,119384.41865827092,63688.58911389499,15790.410074228475,29678.866614594626,16697.524794211546,2564.506396892775,3067.295677393366,166.52025902642063,426.39637021300166,1092.0062834578955,7.67060612672485e-06
246,-489.897437442797,807967.710602019,674999.4563681105,123755.87895775634,63018.29861956214,16536.67151106184,28973.706612356476,18901.751750801268,2581.0548092150707,2990.395895057334,325.004849191312,411.58850349807943,1176.9138420219294,9.337891809979496e-06
247,-454.40012448784057,809984.0103106429,691667.5033217418,126240.83725210246,64343.84411199701,15928.925934232386,30183.73826602958,9142.21102322517,2826.6249151948145,3184.3086353699855,479.88246483830926,419.11912647819065,985.6169357927758,6.813020784775494e-06
248,-517.787210630428,786864.7139803183,718087.2465192814,129001.57944875961,66672.36706274842,16400.94988725472,29485.860778366456,9856.768601580652,2639.386387065062,3035.6245523002904,557.1123368331083,501.7019297001006,1295.0735909969637,8.620920769059625e-06
249,-570.7994723170136,795730.367587764,793398.8218672809,131970.4650542756,68935.373076248,16380.297121728778,29644.893819604225,397.59244339623973,2730.5851936708273,3154.4771618492005,725.6431953886184,641.5272719169195,1368.1464334294233,8.417361632161675e-06
250,-697.7988686162043,784665.6375984211,664559.8286316665,122948.06510745801,61087.16461166647,16744.740899905042,27760.44426405127,13947.516887677368,2891.834421449002,3133.9518780936946,308.44604724401916,285.02218343602556,857.3230463716036,8.523690636992917e-06
251,-761.6145052292284,791499.5826586203,702149.3095586207,127984.89307534107,72913.74544758833,16624.388149144477,29199.909655953645,8689.748574210606,2711.492486623582,3147.7166776814533,546.7900050647473,912.1532181919266,1756.3484827995405,7.516912467514363e-06
252,-613.5057832934026,807250.8628258619,697258.5937264104,119453.76204333523,66373.32666666144,16162.474065600794,29361.983527162727,15551.521998554908,2404.6973228173706,3112.8096768322353,195.21393361795887,600.4604916425513,1223.3918301311369,8.934346628113748e-06
253,-501.0131635668531,752102.3571114378,669497.8797648456,125914.8965426317,69194.92603922097,17270.949762391007,29025.727042792325,7600.3038627276355,2688.414279496104,3205.10248901905,465.72734440287456,586.2322088738985,1363.22064370379,7.928227549586462e-06
254,-706.2095255410743,760286.8301878468,666538.7821962638,120604.90764248499,64119.6662125812,17134.348392765733,28035.905176662796,9005.939398738637,2831.306764059826,3131.1493569534578,227.22182430091365,563.1754313967555,1137.4243844048274,8.043591483515875e-06
255,-832.8075672039548,804885.0898973404,711705.5598741515,119912.81730233777,60709.06636681097,16193.44300362722,29847.264570307245,11504.563562392115,2728.39928237549,3228.743231658145,179.31073867186973,234.64474142973458,883.1327763944154,8.645979849585792e-06
256,-690.3054565312775,830107.3737674603,686868.8349716756,123594.05089118623,64621.56942249355,16018.861637912994,30347.783528629214,15284.854003816317,2721.550065851953,3059.611759717227,347.62345587616426,546.3589163791189,1017.8271222961042,8.56312128470832e-06
