sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
51,-440.6293769197484,687663.6439111297,645002.7880872631,118222.01403653971,68918.52126990826,17716.783412938017,29441.593966794782,6576.214298734891,2535.6370206964953,2902.3976110218114,133.29276283087373,868.9875417298977,1492.4150339315722,0.03664767968933848,1.1244654886082427e-05
52,-427.8239615425284,724932.2953620701,616596.9546158591,119881.17051029968,65855.55301677038,17546.53313409758,29225.581958415463,10909.718449040576,2701.3149150078675,2960.8103604154962,190.61610943595926,645.2723576378824,1235.8363100191675,0.029043881638591205,9.638467103304047e-06
53,-498.1217799853608,736703.5869387242,703450.8022972678,120518.05599845319,65994.80234846116,17125.732247363707,29738.033257907573,5761.627414454197,2567.4357523419535,2945.806586455605,175.51495087577155,688.2846064028814,1247.224028874024,0.025796794035580748,1.034469113553019e-05
54,-486.03012588308195,736347.2676163234,701087.6027918954,124127.88862286226,69889.23755181498,16841.460592788346,29550.526283523017,4608.889356303186,2509.9068122407475,3000.110844797114,323.7612039787061,779.7087801020689,1459.8513374035572,0.03997988477467806,1.0134678186667172e-05
55,-524.1955660041872,648375.5112241284,582208.8792892752,120989.6696413833,70361.43266411309,18401.82833045821,27466.7428119812,6214.267280141635,2583.478663181451,2871.7302186255147,271.4150762950628,1153.1285081464168,1657.3861089751792,0.03735007313038438,9.757258698945571e-06
56,-418.02180472616897,713186.1701319444,680715.0481960791,121061.66481288977,66140.63666335118,17504.77133933693,29023.96508324106,4788.403279650708,2546.2629159758853,3024.605383490686,258.90384192816083,671.5129350201752,1225.040503744774,0.026560219230821285,9.931401473800009e-06
57,-482.0576923259314,736136.8154704563,698502.6577078487,120808.60032538301,65602.01661401156,16774.64785138806,30351.22869200249,5091.738148989529,2543.2029638480685,3010.859117689508,254.42237046589028,521.4500169504244,1011.9681388924025,0.033282434959027524,1.0079641201399772e-05
58,-571.7151084523969,718389.4943714846,671485.1755303837,121055.31688809038,68155.46908335798,17335.87123688575,29503.2653543102,6031.930954842238,2497.509474342289,3029.3625032836535,228.64983740920167,770.8787083365448,1289.0142839743737,0.028933017226553757,9.906535419002821e-06
59,-540.4475996562678,724405.9691353866,682838.5486096276,121570.44778769779,63140.599098027706,17537.011875741697,29823.236494990768,3775.0496394381576,2631.737595661792,3212.088487084217,267.5060487228463,429.16838338478163,1112.6514834626353,0.024469950623239357,8.17793842015415e-06
60,-498.7880674564137,693243.9028057994,689617.1823158438,122016.33698379846,66776.64261426147,17419.673957797833,29547.743785634026,445.2696407680215,2490.992119199519,3028.5462027896347,312.71556499962605,558.52232926387,1089.685575314702,0.02126726867348191,9.320861943826012e-06
61,-473.047926054029,684104.6787230317,593398.2933933857,120828.21452630879,69387.93530440106,18178.432659617403,28242.930307899278,9963.089025521807,2479.384393774418,2849.45761559018,205.50609313315604,718.4269181211451,1466.176043139225,0.029606395977309713,1.0818705848888141e-05
