sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
10,-635.23958840442,822420.4961396719,756090.1716869817,117677.33644701932,58040.892203123556,67052.70552468543,16626.25559692106,2813.6849589794683,3564.0485214981177,2428.868705455625,154.23679285794924,110.5662479021451,654.1699272963705,27919.333257086913,29028.79877816338,1463.3401110773307,2.9039740393523187e-06,5.5309671288581974e-05,0.09377820214921485,0.01432699168256392,0.018565349594639135
11,-474.61068485204066,787127.1790219918,729866.2396352679,119484.15254030618,58041.95549803815,57905.20744433026,16838.881700787133,2454.986180566494,3526.248896395127,2588.1687451211797,280.1853749063167,125.87977202057876,661.2570363046153,29384.37345715273,15100.660582118453,1116.1579299710556,3.4278885178686314e-06,9.02361693176761e-05,0.08859176350731798,0.011016951035406708,0.022501214510778494
12,-537.2585197762124,785518.116938539,719136.089745487,117906.57965557383,57293.829376871516,56497.50922169037,17438.074759808926,2537.1158563489676,3687.8104879203524,2583.8411965015375,137.75384006176864,86.17389674172117,664.9095536374919,29752.13267026932,14293.33178452771,986.1295154124188,2.631489780449046e-06,0.00011896840468972024,0.09590460355711547,0.010457671728673148,0.032490718554021344
13,-576.0590464997106,762409.4636346471,688413.3278545922,117875.05340267674,66291.8498441082,49095.004685951644,17522.708939619493,2848.8970198817133,3760.6272614729014,2329.478871686967,163.22378642056708,607.3854640651098,1257.535206509202,27154.57620431931,41139.498750345316,1054.4631931290871,3.1193318635834803e-06,5.754958762454356e-05,0.11302642661254343,0.012144127235419244,0.025443746050718183
14,-453.0616654415039,792447.3272868312,722689.9665394541,120544.52484210368,58855.9615107503,48000.00000142604,16867.52997347182,2893.2007520630286,3605.7729048538417,2581.3314096512036,237.928184357445,145.45547926765673,670.9808750795246,28150.119103407727,20856.35505820367,948.3040681215335,3.131724888478802e-06,6.0867245471951446e-05,0.08951790618180272,0.00840844511939983,0.022775104617250075
15,-469.829246943705,787274.0983142053,709419.0123402507,116688.21720045204,61918.134530997086,48394.406927931224,16947.965433325986,2882.922174008296,3627.0610383186795,2500.919959688007,85.87534297155382,219.4400173111453,858.4405035817348,27493.31298431257,58827.67045380075,1017.115720636624,1.4468293206115312e-06,5.856232125500249e-05,0.10778086108242861,0.01124618788542813,0.01144413795969195
16,-625.1433509762435,722548.7755218301,688885.3256255266,116805.96541949766,64202.6840510766,54254.43088481086,18357.619638802127,1344.7019641480372,3508.2761375927007,2478.8603213213105,69.08227579306832,419.1413655537848,1000.8008730844508,24856.591223454623,35424.50884366225,1289.2039927451926,2.4421795618767235e-06,1.921097551258016e-05,0.09633085364852076,0.01153602387919468,0.0196290564274375
17,-475.7872502223322,784336.7734089614,717565.318135744,119914.59397583395,61170.41639692102,48000.00000023275,17023.225678568106,2659.3134616381326,3395.7671452083323,2679.360963730864,230.18605942997615,261.6227484867541,764.039510336069,28410.37307608629,17617.008662546636,931.1809255485257,2.1399657094927994e-06,8.043512059992273e-05,0.07844217970947216,0.012733856273241605,0.024437526687502528
18,-413.63096514433266,771630.7796370119,669661.7023113166,118711.47671558199,63171.4551499348,66574.65526812564,17090.38523080386,3928.550814390566,3511.3408114390318,2482.0951322286796,220.18675618360862,350.16328691050114,964.0699160669424,28428.514089874217,22340.03846349264,1228.1117517785583,1.927466129723099e-06,8.813935325850902e-05,0.10491290894068017,0.011452898824564304,0.021485974531306986
19,-519.647732837813,758999.1787028221,720210.2297462849,117521.12142570307,60043.71391633383,48427.22308609464,17498.675584556346,2492.2995968838945,3127.7930087637983,2289.62363091098,114.08506349074676,193.07175598476562,929.0852858959959,30128.69512768404,14687.717964892621,818.4460320001241,5.999090062798576e-06,0.0001401184085584051,0.086617764361279,0.014668615238635134,0.028306262874545945
20,-441.9490542386873,789953.3744711034,718124.0345369031,128696.76076225452,64277.27203686587,48000.00000047269,17145.73875711937,2796.1115449526264,3619.718480988016,2461.663951443775,706.8722677697211,568.960905660589,1050.8025579839853,30887.256942920885,10717.05305750405,832.6272482970911,2.0839032238907636e-06,0.00014867560670435995,0.08678769519944635,0.015600023615891172,0.0319737862668608
21,-420.8332871709434,827066.2491975055,756044.2675717536,117676.5152190797,60578.97780790089,48510.5057550546,16324.22479844846,3764.8653500905416,3229.2339722297165,2436.8760873641277,113.38156784324573,237.49753351983335,794.8129499637668,31381.35589001648,12825.116606085083,860.244965647283,4.903892380494288e-06,0.00012285558902514564,0.09427758598849151,0.00914482313098749,0.022661735728732035
22,-524.4853113057482,771756.8310069282,715417.3032584088,117552.02951018524,60660.63529480176,48000.00000088213,17197.6719163403,2348.8169890873196,3587.5479590389723,2496.8258829330825,106.23765917907704,218.95636903379145,776.7301488133797,30743.48444425652,10368.907994012288,828.1412233877268,2.841821502720951e-06,0.00015666511766842403,0.10290087641732763,0.010176222963620822,0.033150150500167154
23,-628.8227444609237,841432.3667916027,765344.7979999931,118510.94131544423,61251.160719409825,48000.00000012822,16094.198206611656,2763.9224503641867,3716.388815365308,2740.042751238337,165.00732378226195,309.8512873867387,966.1695562860477,31218.237366171063,13663.84587400098,872.0684398760856,1.938626580910127e-06,0.00011796787553685571,0.08475503622688088,0.009537055884302125,0.03477802571482849
24,-401.2541080163321,782123.6591464187,750822.3439074346,120956.86545359205,65280.25036453168,53938.36701001722,17267.649167826985,1142.8684937351056,4042.7128493804184,2580.841333904149,379.5633076844906,470.24792957409466,1302.618383164936,30623.33967364087,14536.123714962821,960.7073094830234,1.6238102056498707e-06,0.00013270141841571485,0.09148043689912219,0.012332552884111943,0.029930079061919482
25,-564.6172967720213,788891.8667912756,694228.239245278,118845.27976072468,62114.08077868983,48000.0000004101,16892.205044309096,3869.32477807247,3419.1723360924934,2429.534882094781,207.8371199809794,289.4640566459701,837.7453052014056,28164.485020521493,20581.6870883319,972.668712971572,2.7228093091388094e-06,8.835587389992424e-05,0.10380412647615027,0.01129895717319603,0.02513390026849334
26,-728.1660686327464,749751.0107761818,733588.6336198557,117233.2956206964,60492.705648280906,48000.00000086107,17950.40212180815,590.8595774202408,3822.2776040684025,2475.514889981896,132.35631337814476,205.1117186930745,752.9818479907352,25873.791043547408,32185.81438306614,1076.121298129063,2.1469951863449174e-06,3.9720910877335593e-05,0.10859362440148322,0.014268367986170016,0.026184380261444564
27,-445.07421223453025,774170.1831436423,707880.9503001212,120149.16667541582,58566.51917334724,50299.821465485715,17229.35870027042,2690.163770360526,3841.1155079455907,2677.127425711774,311.3335002517091,139.68929730213253,660.2042391455512,27327.516668718163,19514.63037961276,1010.3229636890317,1.9551557674176055e-06,7.431420900748856e-05,0.07907046349218938,0.015484362139223358,0.02906666405068543
28,-525.8820574716585,735412.8713786809,710359.8939424552,118113.53073054992,58062.0032258624,48000.00000036986,17532.531853419547,2148.287833439647,2911.13980877417,2352.753254663691,170.15175652504175,122.0604880025962,774.4623105796757,27408.839994208873,15661.62584926067,991.2977258633024,7.3216032465795734e-06,8.148193833743006e-05,0.06006918238709504,0.01912729617943176,0.01510083137210157
