sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_V_L
23,-631.5176849293321,739183.3562942866,656830.8610746766,120153.7076969459,67408.2417553151,48000.00000030889,17687.955605526768,10704.465590476255,2772.6980594060433,2971.406581294889,197.87911641158058,767.5574877894331,1363.1991740455153,45349.941025804765,3645.2138920642496,475.25498119429847,1.0155663114583651e-05,0.00042302832432511786,0.08634841769591321
24,-772.149290890472,755049.8670960872,738669.3949204016,117908.7189291256,60169.64024750382,48316.35138784741,17457.88007564441,5789.0981353660445,2402.103331687944,2980.2661499614333,106.5131077520305,310.95804889400404,1042.4557715338156,37677.08214345398,4768.064187780376,582.2191780821335,1.0882930206911513e-05,0.0003328525178912633,0.0666031862878532
25,-608.7907544153081,827937.5641283463,667522.3357076979,119101.7483957173,62054.80155001747,48000.00000003323,16661.859442821908,23129.107146634135,2514.026502881766,2918.974642502917,164.10543576124732,385.39991863622623,1234.489544709659,55317.514178991056,3207.8359998789942,429.23414277385695,1.1055325645711394e-05,0.00044818926283190044,0.10681587854492247
26,-681.3528653860506,757020.9050930026,756447.7723012264,118940.06475791261,67164.82011820454,48000.0000000814,17073.880093279917,100.38584807218004,2587.572918968687,3075.5981111004803,132.8871877208695,682.671318510516,1135.7687476368899,45468.996023187756,3808.802296216139,471.4599050991307,9.071646080347716e-06,0.00036553327531274,0.06932407521588335
27,-529.9332105102947,772593.2259774186,601207.7919885356,118865.58392822587,69410.56395911594,48000.00000000552,17243.44097962469,18045.702266912383,2588.5223943362903,2838.2361166335586,156.1476904333072,995.75024904795,1783.5896115509781,48005.014659615714,3786.411172951028,481.46014640318566,1.0615037793172806e-05,0.00040685078486844774,0.08988284890527203
28,-468.60743805913455,805939.4948429057,805390.60572364,121631.55866252379,60712.71552619982,48000.00000009607,16903.638629343626,100.5407377793472,2892.5468253713634,3223.5669262123097,297.1251379052249,262.6983936568994,846.5934131002209,55832.74255465525,3460.452298821049,440.4133723083738,9.263510966199359e-06,0.0003912772979120984,0.08081124655827489
29,-613.0044203162258,784254.1578462131,667662.0286147099,118114.01238749371,60725.83189657402,48000.00000000876,17071.531853031258,16830.797767507836,2489.9284501601737,2982.26607675355,106.24586625127924,329.8596418346975,881.7759374977687,59116.52994549249,3221.1465757723086,400.3451463528864,1.0109829953529778e-05,0.00043383472105607305,0.08844098096382588
30,-607.3035094051952,741789.3597924548,677639.8134506206,121593.68947326258,65479.856772174804,48000.00000010775,17848.616162006347,8935.17392366791,2908.3379876665495,3070.0198047732424,256.5691812325842,627.7771657231855,1246.7608832797264,43986.3369315654,4296.057408502244,477.6307595495481,9.759548098285695e-06,0.0003849209384682164,0.06413472880506986
31,-804.7679723244269,760670.7671544169,691169.2017201444,119923.10126794175,64002.20538635794,48000.00000000083,17643.096611779234,8502.919401541376,2627.2649610875833,3049.721244763103,197.58598014544305,647.0678987492206,1070.3105746067515,50071.810986100936,3607.5708196336786,453.5447278159356,9.48030276382853e-06,0.000411599659057643,0.09582835133852483
32,-709.174386310099,826574.326407833,719119.8224577603,121996.28988299162,72145.31183983365,48000.00000013828,16478.70140302722,15300.592551860762,2699.614445025268,2973.4205061475022,265.624403885788,1028.005745889188,1624.9566694850853,58796.40256739875,3149.2928599654356,450.3194729973478,9.304869449472158e-06,0.0004246590972288508,0.08183458560805033
33,-641.1236493297504,764906.3422742864,649801.0092454246,119651.99096515261,61816.51626095012,48000.000000127875,16925.27197098125,8000.510213107268,2884.4381684133186,3258.671949779864,189.2977263707521,360.9645658031396,882.1118318032202,50643.322092587834,3989.233462032633,442.1261748354711,6.032984552079576e-06,0.00040153712615623703,0.06490274839209932
34,-574.1923107911753,764842.1678993899,670420.7887966789,120687.15299516566,61431.76671727925,48000.00000007825,17697.99897535083,9412.50264949223,2943.931096064716,3133.8227764688613,241.71834272241927,400.79079925906484,1284.5014750548082,56312.491214009824,3246.616470763658,436.82231671974324,9.295355690345724e-06,0.00045932067592497234,0.083216104800931
35,-599.1686257340218,780403.5256267575,688521.2493794133,119080.91535484036,65344.89567438466,48000.00000033285,17097.11777322055,13175.312821381352,2681.142044638067,2985.046479939778,173.51994202227468,735.4854973499578,1273.375688094126,47268.75153546171,3643.6942050830057,456.6401049783957,1.0135240823074734e-05,0.00039710673202061664,0.08362881585443911
36,-710.2152664910587,785176.7049374015,721138.3599955898,122033.86380712256,62873.180674106916,48000.00000072422,17115.452829050842,9838.671465165939,2723.2509984162984,3033.8885284921544,280.95833426404005,568.2770782075817,1139.2745942248816,45688.56981345462,4216.305618414921,481.5667169165995,9.959844695574636e-06,0.00039273748538988686,0.09209514288268045
37,-647.3802397742585,805756.340419481,705823.8799178929,125354.56589698544,81382.92770574069,48000.00000010016,16793.003640296054,99999.9999974538,2474.3799559271024,2670.124584522647,392.0497544354972,1417.9079345983118,2727.4448234795327,53882.1323637984,3358.132430332691,450.7078266206739,1.2551591387181775e-05,0.0004382275207519627,0.10344464455319502
38,-693.2541864756181,773365.3524765079,773189.4939294393,119821.85458401607,63563.8220975483,48000.000000101616,17635.34007467607,107.7540873858708,2629.938522126264,3075.0101327240786,147.92857659880443,479.12348437526975,887.0254895599912,48679.18934836471,3805.4133846559744,461.7786499069023,1.0873101265420786e-05,0.0004061590390590989,0.09481049676874885
39,-597.7142506877283,767774.6225569154,643114.6665534807,118870.4613350916,66530.06447794488,48000.00000020555,17000.823629180864,11154.009876598651,2668.8957514488266,3059.993768195792,162.09736610269644,532.9417124499898,1218.6353307045063,47087.35571420682,3320.860831123939,465.43287164641345,8.76086330234581e-06,0.00039900633872798,0.09797599381365017
40,-662.638633807806,815707.1309613213,720801.6247854942,118990.50413103962,62485.013891141534,48000.00000004099,16989.675701552074,15390.458889581672,2558.070476427796,3101.8757037482646,133.90242996791065,387.86447120217787,1113.0409751943205,48950.59584470913,3853.522393059024,457.3547305076045,9.639882225703323e-06,0.00042034599891570073,0.09850076617575015
