sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
67,-426.5252476088859,754510.8966476729,658677.7621749565,119614.70557263815,60796.33473872345,16823.477905358053,29532.017491188322,7500.580385907086,2698.9177748202037,3214.9407860376346,205.5445060492917,235.11073261039786,862.4768354124953,0.03231554584039224,7.992209596924446e-06
68,-559.7723108096459,815026.6986001969,625746.5412895378,121728.11283227558,65321.65351875118,15941.890824330658,30358.762970272965,10494.52797681693,2833.014789541177,3436.5847321527863,311.99285178893547,430.0036633068676,1291.5649632225623,0.02817634752102818,5.48342591675818e-06
69,-471.4641580531229,756177.095433881,606639.1385467965,126367.5893440662,72214.99173422753,16556.17483724463,29385.056131325808,10366.20324518959,2744.6514194440656,3091.2334919240793,495.45324191164985,848.1714850496426,1398.133935645288,0.03543740800488415,7.366644206264847e-06
70,-526.4222334040232,730403.82720054,634793.0260225923,123158.22222213031,67247.5920886376,17195.553869056817,29224.996643346767,6149.362413070221,2742.764972229865,3273.344615022837,365.27012336247833,629.827449076757,1061.6172757997442,0.027915986082061077,6.548360539604553e-06
71,-446.2581558326284,764477.9675027332,654074.14680945,125529.58026530265,65873.29679930271,16677.338601918877,28779.293122941137,13380.234896644344,2582.133971469782,2960.677931943375,420.72297806529775,530.4370616657005,1135.917408760382,0.03041821557871202,9.864882424839617e-06
72,-488.92515697802037,766519.7795465299,683441.5760207906,125544.55654322542,62815.111228877555,17127.44024650314,29322.906292840125,5618.536716006297,2874.38308710385,3431.6613029729197,419.102754332316,314.2812837836771,931.8693328716001,0.02937727121457903,6.919258420657265e-06
73,-457.40922812313084,774063.2633173062,679154.709923263,130835.58737767229,79855.95696922841,16259.077854859814,31261.01652744603,7969.869008271419,2567.764507059813,3064.399619496443,624.2754689687151,1080.9815658668867,1692.0512969733013,0.03061099846784277,7.994693487591959e-06
74,-405.1606355954039,774127.7316184042,677006.0525804599,125724.30067141501,66059.77088730027,16211.937067027291,30563.31577926169,7628.691911128578,2712.466243996235,3172.6556908627213,487.3769704140812,485.76304887242355,1146.4771895458089,0.0385047393003609,7.953186931930342e-06
75,-393.67993853987747,799809.7940605619,729050.6749078815,128321.38389471067,69484.1348163877,16125.454880736204,30778.555249146386,5911.513916427586,2900.3573954648086,3238.112721929555,562.5277258823584,716.8717784992699,1617.5732333997446,0.03033216082002486,7.322837903254762e-06
76,-511.44444251227435,772227.256685986,668591.6107637832,131236.00460627352,73686.16629771463,16541.252326322392,30208.065107431506,7583.432059265002,2786.9460513283575,3232.7367773512456,674.4478962213568,776.4680641723342,1906.0585715278744,0.021360162964597074,6.9085212613119715e-06
