sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,m_ND
362,-755.5832794857222,706175.7187323113,702322.3646902546,118439.52887788022,62508.461850735985,17819.793917888834,27810.800972286055,859.2855583226723,2599.3556316364657,3060.9564141636492,133.38654578680405,448.53630499843706,868.8253027298106,9.507014844356846e-06
363,-483.1096836496251,703989.4226059186,691716.9270511821,119801.39400700148,64914.334313220876,17727.236527034118,27214.156448140457,2224.6478161039554,2796.974101367384,2955.109464766515,193.14030006693736,586.441106231465,1157.320849363641,1.0168546899945036e-05
364,-643.6558061894257,732301.3356708242,731908.3936792712,120311.53561729833,67168.0188288228,17714.502108687557,27836.630439063963,251.31973496294296,2551.484788101521,2991.540530899865,214.5367731139402,688.6053047411923,1261.9126472545738,1.0803687418483095e-05
365,-780.5848547803087,719540.4098883776,708181.132454253,125522.17033056698,73602.52334383072,17438.617531348675,28536.99896311125,1364.1058087068275,2736.3687366409895,3045.9610033817985,473.9577834486115,1140.3697015503067,1643.3865141885108,8.439501445320808e-06
366,-660.2902474393059,713485.9952076495,706954.3086058217,122115.49867919384,67514.27044910597,17797.983883060115,27293.37499828499,1350.7517706877454,2704.2039216163635,3016.7659564753144,340.29508647549335,822.629097268688,1325.2996938373776,1.0175227265895349e-05
367,-574.8784035695146,723984.055965186,718271.0861866055,119055.97233407942,62102.56583490647,17404.24390527369,28687.29042629378,811.2411825634781,2685.579784772036,3116.643757487869,146.91703815290435,380.39084091741034,1053.0947149895867,9.630445340344086e-06
368,-700.2368376497935,709882.6082124229,701256.5633915472,118203.28631573249,64325.63048567296,17836.156511046265,27777.443863349003,1354.2748275894521,2595.4383401731466,3049.7727964666733,119.45010725237971,546.3611272127864,1034.8938187728281,9.28573075497885e-06
369,-691.7032482155367,745063.8264112215,609156.009037795,121358.17124489947,73507.72006921463,17321.52495930976,27882.334916020136,44447.44694013952,2427.0719637558545,2660.6721336561513,255.8816340973985,1287.59709607773,1823.5287934510711,1.3117427806651664e-05
370,-538.4787793213072,691167.7157914384,686519.9615302419,122993.0172472097,70475.10502252822,18076.18624811978,27089.942174458054,1425.8266085464095,2676.6639085213433,2910.5786999115817,289.74006232054467,785.2209452580356,1791.4487771584863,1.1429103482283633e-05
371,-803.6002383294991,723774.1983916969,717559.4192309815,116904.51689948673,61533.52633331912,17575.45087807703,28202.881678786234,1078.11335537209,2575.2532945385956,3078.5574700833727,70.0496659805278,325.4918408220238,882.696798694387,9.670194090794569e-06
372,-509.16290795580545,727551.3452690473,714793.9434140275,127527.9644078362,73129.15623135286,17292.763935306742,28990.49303474147,2212.645724921927,2700.878740803535,2939.2369294751716,493.63236959651306,832.4536486249061,1539.887536378429,9.628820507656483e-06
373,-715.5237348542271,712421.8607184199,699063.6598253135,118554.68521497647,64203.99517317472,17755.476799769418,27639.617332670492,1846.4602578065103,2683.9514417532723,3139.576637740598,125.98697281552246,573.748304660336,927.7715584268186,9.123275655726222e-06
374,-790.6232492540421,693728.9288677183,685611.3150080346,120927.93182138611,62946.11554224084,18376.4837945619,28676.675921780035,1235.8751058584112,2642.757107289822,3034.0380494976384,224.93892759249474,437.79153301265126,960.8716168030355,9.673548843690912e-06
375,-644.1179358522112,700323.14741885,699469.4683611281,126125.03481528215,80259.01623948288,17770.837227632812,27100.20461814408,1107.579519449149,2488.9866524369654,2783.541279916826,445.74381832283774,2191.037222689529,1816.0122192729957,1.1850248637999289e-05
376,-684.5568135563165,741917.0829147786,736089.6580555331,131370.65876553414,83115.50271251416,16949.02387026017,28572.53358286238,1307.370764653137,2655.417241704778,2873.5120885578954,732.6809475582838,1596.10272762858,2205.5906533912334,9.949394764363941e-06
377,-585.7225456592988,685794.1663797047,683432.0068718906,122172.87381444739,77660.08801545754,18249.20076145363,26585.65938527215,1386.0977118787753,2610.534547574402,2740.6958861241,242.10067984385722,1662.8975208679028,1745.0262185561253,1.2155247565005291e-05
378,-524.8911776618207,703471.4431888278,689438.765761101,119686.4263196495,60138.873400092314,17719.01414261435,27548.078490811473,6136.235612241908,2528.91914941746,2927.37697423408,184.48463355867122,228.77890731133792,691.3597685905165,1.1624022825593104e-05
379,-778.0154933964262,709605.0495142477,692954.7031667858,121781.60104125594,64300.9276376752,17952.48666522855,28630.119451991748,1800.0335606336484,2841.710118601806,3181.942368616865,332.4627057245767,603.0612087361942,1312.3186048093664,8.36323622213051e-06
380,-782.4831997286342,717538.7384211179,714235.5500245993,119583.34090219773,68813.9308579772,17512.236099043956,27964.615032021804,1284.2240086997963,2554.8792579825686,2969.6961761115085,163.4383797797227,667.286843038114,1137.6157653092707,9.992818881361747e-06
381,-849.0881517056017,706028.3845420659,697654.2230885555,120166.51917656483,67002.5890871194,17856.981504345087,29398.10757599276,1356.7033018356499,2690.378998429515,3087.218197937311,250.33643529414752,727.5086004817479,1235.1649262590179,9.563533897106194e-06
382,-862.8931191870145,684828.5620996295,673465.0353136878,119793.96503644263,64038.74473368219,18148.606994407623,26449.040827807592,2461.512504669978,2561.976333722203,2922.7422651867537,191.58695901871573,660.2723625525268,1406.8109807545159,1.0294313291402274e-05
383,-650.7787402828413,721277.8846687205,715156.2634072596,124735.96046774928,72384.85782145444,17706.68125767613,28451.317696824368,1272.5068104805798,2850.600120942247,2987.2260760136196,344.6004768613578,1155.6538917062448,1424.007281444403,1.0406279871737756e-05
384,-597.9344448851177,705573.9014617839,593586.3631325625,126220.17148819099,82646.82706625955,17841.23401340061,28530.045458277484,19091.986819764228,2269.47917121063,2615.7053832839924,436.60862617768515,1443.7147739694296,2155.6627138397034,1.1535110252255397e-05
385,-621.0241463585818,698693.3063381924,694440.6275445233,124029.94784720796,73902.08565690841,17916.39263463682,26943.00175656486,1442.6100051990438,2424.4305074663903,2818.3766909536853,415.1203765102471,1153.901796088344,1564.8787985666027,1.108674109120398e-05
386,-706.0611878977746,714940.4216679654,712747.2555550375,123583.38220935564,73054.8138864671,17656.304294328693,28394.96535182624,1117.8223969142102,2464.0845441160286,2803.513315071209,352.9257977761382,1013.6868971600298,1591.8935362439227,1.136619074504771e-05
387,-726.6404057689745,719089.1929922594,710787.9889074655,125029.78453935705,73085.07616334067,17637.424081008823,27807.198087029745,840.3426358082154,2952.1659644677184,3212.4952446439015,437.7966203652055,903.7610948183641,1366.5639340080452,7.526484650590475e-06
388,-476.6045466552561,711723.20487318,707546.13279204,120935.70630135004,62013.756021364265,18025.613442840313,26552.239587220454,1497.056075538669,2467.5480778150013,3000.978420375586,218.89412905476723,338.60609134761705,958.4388924951909,1.087457914555232e-05
389,-676.892265630668,739341.624695791,736897.7064360582,122394.81667481216,68162.01688972596,17109.72619811883,27520.479188105997,1183.2218659182047,2441.3136698700523,2913.995162054964,286.3856873025517,773.9081420694763,1179.072098567486,1.081511328397613e-05
390,-676.5150294124779,712947.223849207,711438.6972229071,131158.50166616787,80969.194572697,17789.481319710092,28218.665233468553,1693.6603417562346,2526.8151272489276,2653.328498315931,538.1196291544243,1822.5522536872677,2268.0841531966025,1.2234399830006943e-05
391,-631.541134958617,704728.2272748449,697029.3931943466,121045.80376389564,69220.3586803689,17812.329031998393,28713.587384303486,984.9357213494671,2684.905641159472,3059.9412842703196,266.00478115900125,832.0314252456357,1252.7132370233996,8.494193760538146e-06
392,-598.8612533577451,701756.6112789314,701746.9119862156,120246.12157641193,71631.86123622395,17870.83650033119,27404.87258767841,100.09863545900399,2499.7664744425206,2822.5618493329775,197.23844900273016,898.7100251656741,1421.3453048080235,1.2201885459782174e-05
393,-511.96099219518965,696559.2753726892,686582.5307194836,120207.93315777113,66864.87445973988,17946.105005970265,27887.024880424335,1454.7731510946269,2630.471410558558,3065.6853369775563,198.15673869788364,705.8389088079284,1267.6020166074495,9.440855044455689e-06
394,-617.2762708725948,722740.7952622788,637163.6516597751,120078.49995089803,64311.91572340062,17641.26780875728,27812.742148064466,20630.952140989775,2430.375958764948,2863.4674840441735,185.6766366883274,546.5509072022388,1356.5745290866212,1.1418859922758834e-05
395,-700.358729341026,710077.3053124945,708729.619520882,121506.95468941738,70748.94702757052,18099.074913436125,28385.23765370816,879.2793226546371,2665.4444006702925,2908.3872248126045,262.1303512253079,903.2413808872735,1376.4818683288452,1.114272348020163e-05
396,-601.8876667041748,733316.6466049019,729325.5486405941,122142.26936678035,62700.453848639154,17332.795866193333,29147.951915065827,829.7411758443019,2615.525730727259,3028.456721135618,292.733541890662,443.14118329789113,947.9527937423866,1.0253810373088214e-05
397,-613.0768532601594,716783.4246594703,716631.7114921808,130342.93406714244,77815.64421701457,17585.254334888483,28522.126295585316,123.05728151544028,2704.0463189005923,2712.1093239465786,706.1726286225501,1304.4247217085647,2157.1076678667278,1.1885291817530617e-05
398,-707.8377791584694,707536.946802649,702286.0914921263,120608.3698927267,67422.31673455257,17422.059005391293,27603.075439232318,1886.9253169760632,2506.0041233622137,2922.315059483421,209.03091820829187,678.6703558172607,1164.5923823371666,1.0818918652821598e-05
399,-568.0014640849455,693383.8279351351,691660.8852020007,119045.80307104818,66747.89230250147,18034.031613549563,27617.444932146056,1210.899430006689,2337.703689052093,2777.295970714481,125.45720320056249,634.3191218445829,1018.4916484212732,1.2008354935845168e-05
400,-533.0437704465976,716128.4363268274,713872.1645662135,118081.95235013595,62353.52418870326,17652.6554171538,28251.526511312608,965.6414192108841,2386.6041047517574,3010.5082498281827,123.75583214142654,410.49925992945964,938.0461215088858,1.101284516786985e-05
401,-692.1242284429658,671748.7943298584,666918.9157213434,121939.98050047086,67130.42920492328,18710.129925319678,27446.507919176503,1070.3268548537721,2584.035678426953,2870.1894119669287,318.47629721487834,739.7690291961776,1175.191856961565,1.0929628373344438e-05
402,-633.3677144190149,739695.9987584478,732635.6122908872,120527.38363673864,64857.292377786136,17595.12988065968,28988.256753484387,2360.91886323668,2561.2240901201376,2999.0348296279058,229.861609120554,623.8236607827072,1204.1069288910803,1.039183848552736e-05
403,-579.6314780111767,700156.8464437802,689528.5747659669,120565.52945378689,62886.98157924038,17962.406773172715,28062.938169516387,1990.1710565689446,2692.36198482633,3089.850438528998,260.4275678684369,443.53696948093847,1023.504086894077,9.953358110070153e-06
404,-418.25094563248126,738926.4099789744,734481.4530590888,120257.43137802348,70102.11543878481,17194.71190191795,28296.439946903076,1395.9209872916306,2658.6607333052784,2949.963611681986,239.67893662071566,926.3765390700926,1333.853836848861,9.980512384610231e-06
405,-563.8800120007165,707770.2339563655,705356.1191785,124674.09811273128,72946.56811280006,17724.342344046756,27154.337283392993,2261.0349408406923,2523.0702623779443,2781.6830663764144,422.8811958131248,1032.4598836231194,1481.752815003858,1.1780830353717692e-05
406,-588.6267682428503,742549.3197087892,737073.6701018944,119132.46270564567,60463.95018103683,17239.88229166416,28117.17469560567,1030.861653733729,2725.1564657418876,3203.2532596641768,136.71688706883185,269.16406265252607,919.4755027807503,9.078432770820226e-06
407,-815.6906741469717,711818.9148539436,675408.7442297427,123135.54114179022,67833.79687194481,17601.080711304985,28058.93568189171,11528.333223208443,2324.9469504941876,2903.530757836129,298.40155211705877,668.8536065764331,1218.84378062003,1.15510555955598e-05
408,-487.12172025239136,718021.5134504328,698001.9027052686,120847.01773639144,62910.41754053387,17691.720966244677,28583.068028312973,2551.1983336300777,2742.6314081162063,3105.614675815282,207.0301404742898,437.7926769091322,1018.0033109147175,9.27257320350443e-06
409,-707.340712930177,706914.5720267433,702327.6859134156,129502.68732059313,74204.87995417572,17855.878223507254,28846.491065635073,1124.2523598028688,2616.9118340441028,2863.8329191201697,557.8767484240776,1056.5955876236364,1819.7272101526157,1.0744427642382934e-05
410,-816.6469337064302,684194.5639053016,679516.2087373136,123241.56216289532,70808.33204738327,18283.432395741544,27590.082241063254,1264.8846136517348,2387.316504174669,2808.7891746213236,350.41796456821635,980.8091288730162,1491.2460983861345,1.102146841028432e-05
411,-704.7300921312864,725051.6418926206,653904.1890432173,121470.28843834494,62548.678229214216,17421.559748869193,27582.146706220406,9141.650064555482,2603.4157638621814,3049.017199529468,279.78332225152485,374.4091388054356,1183.3425258953532,8.960078922500124e-06
412,-662.7744669298431,708202.5923900696,706893.5890572101,124342.09644119283,78659.6390283583,17979.094840189566,28387.955537032074,732.6346983844679,2492.1037088869134,2787.225531333,423.8076102121196,1459.1357478691577,1908.3655279189966,1.1246211803305618e-05
413,-529.6661658012805,736942.4008181648,734962.4110874787,123578.5157062361,72837.4837897201,17352.074354228094,28423.08881216037,1341.2888712965998,2567.5770088531003,2867.1248956307036,355.42080862234906,841.1048298252596,1582.3781049208335,1.1104292927246841e-05
414,-573.3099001810567,680716.5544447345,673934.0801205771,120929.1190996529,70412.12453545387,18267.275240359733,27597.179860383665,1780.2388793541224,2512.0661435987286,2883.0139385415273,269.2320859413452,917.4981284226054,1387.3039447400934,1.0877661280643245e-05
415,-630.5923750278175,692891.4509152202,678876.1824389864,124322.58402360503,76257.9043825675,18076.35288039046,27938.943502390583,2598.191157473166,2574.725563969059,2904.9995631680426,461.72727095450125,1054.9396744442454,1842.9017253926418,1.0367625046207693e-05
416,-603.960164596957,710375.9919478883,702333.8117236211,121906.07377275379,62473.511960551186,17566.41583049682,27415.90899386637,986.3695602155009,2645.699072591488,3166.303062526352,259.53300499388087,353.22457026870734,813.6486288864917,8.304526092291921e-06
417,-722.6083890783871,753634.813477643,747921.114587829,121606.979896427,70931.00785237744,17183.077673815988,29888.178927179437,1518.037737637059,2714.8858551028134,2939.5673542167824,317.7499481703796,826.4864249145337,1542.673115669652,1.0098436161019657e-05
418,-533.8047376137085,708892.8866483353,707314.1672398113,125198.67871220842,74191.19216943762,17783.728054688792,27822.2742034121,446.3385747725169,2425.726308352441,2846.466335769877,488.4553765574908,1113.491422162326,1896.689909479307,1.047453703728986e-05
419,-557.7995629703942,722879.1554504123,722263.3067744414,125839.32912818296,73108.54212968973,17517.275362086628,28893.171405758945,646.5762793436552,2322.1574273567803,2863.5392230072557,482.73303457888863,1220.4014341267673,1561.6732579784825,1.148065973037187e-05
420,-524.9943547789442,734525.1078123938,731302.4038026262,121171.34723006687,65106.350622936436,17105.372156688867,28690.535530892128,1177.7568582548881,2492.028234678097,2897.3242872701717,215.02247712122772,529.5665926922348,1031.812090654479,1.0728334675661826e-05
421,-747.8570556550706,694366.3103748444,681797.4866274406,121829.22264614556,66541.66886359401,18005.815373607187,27816.916139553476,1921.6221034434623,2652.4537264682754,2977.0309446213173,247.9682033757688,729.6367597117041,1289.4686827304638,1.0558557119095943e-05
422,-647.0389114771921,715605.640667414,710467.8535339793,119766.55704850703,69298.8313950792,17924.420618538537,27963.434311648878,1408.3079409918812,2574.3907169439112,2894.2910322439097,219.28369117033637,787.8530486156592,1371.448196131153,1.0975628005236295e-05
423,-603.4298599576294,697699.0476555761,694509.8756090152,123047.36862912426,70998.7074432856,17825.654392731634,29064.429497432964,926.2351921613676,2754.4763762132316,2866.2203690615374,344.9274361190933,1100.3326615693459,1687.6152257103042,1.1243992086773752e-05
424,-663.7271351871885,715343.8070796679,704347.9945614103,121450.4262101386,68006.7863713088,17901.55505083151,27556.559917642546,1475.6248916756915,2789.460507995688,3098.89546680182,263.46881281547513,597.8177553626325,1303.0034313965161,9.565820974037542e-06
425,-579.279806183677,695027.4397367405,689305.6208230958,127727.9798636335,71056.78598230491,17988.755643657594,27956.751364478976,1101.8566762104213,2482.324408022779,2888.2284295614627,563.016154774285,1099.3329626677169,1692.9875967092548,1.0124983420681138e-05
