sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_H_N,p_H_WN,m_ND
208,-436.53549147913003,777016.2138120605,708115.7205442067,123410.58014327027,69686.62167205464,17025.35496406401,28799.85113679068,3037.5096463388213,3620.041239631771,2481.858324804291,441.74313724749874,737.4789587437436,1470.4070608901825,0.10336451699263555,0.006061422241181421,3.3018066896205155e-06
209,-330.7521745840452,732351.6440304329,664834.1042275154,121070.95890979443,60514.02544015065,18024.188280231734,26257.971783774123,2630.985943417542,3605.0432592614493,2547.180471951145,265.67718231248244,197.89827995288866,882.1531004578925,0.09539637683315386,0.013170972122332373,1.5551792554162078e-06
210,-471.7860307269,756393.074614806,697081.1588991347,119066.69121138628,61381.553262973626,17407.771085595952,27590.355146270645,2330.022847852605,3576.9931828665635,2634.053465621818,180.08900002781814,349.8753725484005,953.3946531656328,0.08886599406022032,0.0066027608670370455,2.2006725746551937e-06
211,-481.46997062415886,740716.5114660404,701605.8325942244,124521.59299898999,63314.671724739936,17821.413268746102,26281.440427137815,1432.2694887390185,4100.7984089558395,2824.3419490297415,662.74456607325,334.96568586260736,1037.8392273708496,0.08791810802983699,0.00994930071071752,1.730697900886711e-07
212,-338.21896090073614,776117.1958165976,733598.0718464964,121463.61700358798,67229.45649372137,17355.845401546154,28208.931159504504,1768.0090025251206,3527.9554075474243,2667.692665228894,320.47150665528426,466.4281359120619,1317.8624774626708,0.08899081539834985,0.009515893109415186,2.2697053665943353e-06
213,-457.1887846475578,811220.4748306939,696424.3513044774,131170.10983471276,63800.07570363709,16472.095015774335,28671.95904299739,3994.565927142674,3839.568027990787,2824.776321404177,987.1073471286421,315.4559081451427,955.2828820517512,0.07406727068294645,0.010374168928661482,2.858197708585862e-07
214,-300.9752178856502,804604.3367045013,643205.4982555981,117372.26123724673,67675.13449533925,16773.28030606201,28553.781063493403,6839.776637546197,3439.604013379045,2353.9784926036837,90.14004942216306,616.4687853912524,1179.1216849546433,0.1110563382287862,0.008230981611027607,3.620246534509422e-06
215,-445.93363313329917,786254.5758003562,726970.7469315543,116478.98332922596,59146.46137691743,17249.228864379027,29165.639225729567,3399.88407742965,2967.304429709783,2437.769511806624,56.965197563129834,172.62877443958968,1064.550480270797,0.09050027157546212,0.01013511560252489,5.57194336390886e-06
216,-468.43828745229166,778287.0460388205,760870.9698639353,120960.07472943034,61578.61304556461,16947.13795611063,28213.017470183437,635.5946682662722,3881.617699282763,2912.1115581119893,285.4700670482597,251.1095066594645,857.749255555447,0.08722217896436983,0.007228538480837658,1.2670644430499197e-06
217,-343.3694460755568,760708.2771074595,743598.9479396439,121096.06907630443,62310.42057793358,17319.19635788322,27630.19402717063,626.9745470693495,3670.1309402233796,2799.2172947501667,342.5403103599029,279.07858406178485,1001.0406969748205,0.07730111838126309,0.012895029863536333,1.1730869970395808e-06
218,-301.35685981272354,744575.5980038045,718746.3774953918,128960.47127142407,61952.40395847619,17559.93518175255,27761.467392677005,877.4839303191543,4219.210370298804,2917.4005759390816,932.8482136954691,325.36336968120986,817.8467810597448,0.07412710904708075,0.01118755038510431,1.1199773486851383e-07
