sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
159,-556.4814159518492,739523.6347361609,723096.2245411602,116912.14955639986,62190.04735983554,48000.00000035937,18134.693296974852,595.2074849020701,3863.1108375126323,2864.741395424773,66.87230150848146,381.28229979879256,1109.0442648637395,36833.23131367327,5584.004875225566,603.1926691119539,1.1924840048874896e-06,0.00026678729867698483,0.09680718578185808,0.043377558862409564
160,-693.3203028080371,775936.0806580741,647811.380399881,118053.91890633403,67657.23643772736,48000.00000050526,16849.90714343759,5748.72798874586,3367.6625186546185,2689.6806437354803,117.93846769860681,555.9608984991953,1223.8998064184098,32826.69727694228,8099.1791428391325,741.5657912401068,2.5941074887840136e-06,0.00019352696517550583,0.0936348629129472,0.023742195316813538
161,-586.2431321026753,784090.9836529434,692429.0418322994,117650.4727054804,64665.966187402606,48000.000000444124,17163.967426124796,3167.328578806553,3867.460520006892,2940.8272302006976,116.96917567433378,366.4306814004569,1058.2506750526109,32288.630847382854,8216.363961456564,741.2547035031541,7.389009191555946e-07,0.0001851097888569737,0.09123631272168288,0.028368176523367903
162,-741.3041336820199,784888.2607284251,715803.4293745825,117775.31251977646,66629.21621605025,48000.00000044506,16834.270881163273,2222.9882147516682,3983.366312502541,2801.6064391950817,119.38089584860829,568.0928679655437,1391.0142474505085,30633.011750254496,16593.66314666692,855.2667399113095,2.2548320696558809e-07,0.0001262091099030348,0.10140831479418498,0.026630965746893435
163,-610.6220190120237,779353.2647328279,746349.8993140794,119142.50737601555,71064.48139999942,48068.89984944043,16935.79035534829,1744.0988731716877,3238.350248793765,2806.2631295025512,189.60136225777197,607.8952498549168,1195.934038743554,29156.760179358942,15617.282412905548,821.1445085536334,4.0930629281868724e-06,8.884526683704358e-05,0.0724898689297597,0.02249325867340813
164,-690.9008010453017,775514.5463843137,730112.0203829989,117341.24556170288,62515.92978586659,50272.32244760163,17281.700939528626,1507.359948056651,4071.5902688752917,2961.7017783105516,77.46914690250104,359.71282376635156,824.0848813096615,30839.83915500924,10419.973733116614,849.3643949465677,5.445542781823117e-07,0.00013148271111228845,0.09935061530667566,0.031178153307327303
165,-660.1742239175638,762511.3685503507,709922.2096803547,117712.79697899478,61276.004404130865,59643.01937625597,17239.264798761647,1921.922785031327,3535.1779038778695,3006.91487054252,123.51381205810803,299.44862277454604,1009.4220416999307,35931.545406789395,9768.128745613736,863.041645515141,1.8710300087077197e-06,0.0001774600625008803,0.0772080378478042,0.03027558111403148
166,-607.8288932201503,777149.2246969859,704924.3824655688,118666.21387876768,70585.6487124579,49904.64999622878,17522.591872583766,2685.4639414674357,3619.0574993556074,2514.131137602407,148.12133206298665,934.7847176152274,1384.489949593559,33255.96758172394,8526.928362584822,735.6148002015087,1.7939093087695629e-06,0.00019418201033324052,0.12267130610741037,0.03356365799267937
167,-398.130767144783,768523.2292171244,705404.5818607844,118089.28523195894,67146.86264742742,48000.00000067852,17049.155525597038,2572.1787834515508,3707.1679683239977,2856.9426268588436,120.51741924820922,687.2366282698553,1378.151921894197,32684.32716025545,8354.683476869275,729.9134058793959,2.713381962185271e-06,0.0002015767654566742,0.080844672438228,0.025721630828858304
168,-536.5774147111749,798333.0663816422,777795.0159799358,118083.36187627146,60917.191451011124,55469.82911574187,16714.045670947376,782.7744056755682,3748.5951461631157,2960.5142568991264,126.32134916588124,268.6230937615202,877.8843019488932,33852.70730773025,9848.48776255889,850.2826207694208,2.5272440922582184e-06,0.0001679496494937854,0.07746595368048013,0.04304432726381012
169,-652.3913205793579,794583.2459413874,735732.2153530045,117918.71354399923,63827.89217578431,50782.08536421985,16833.675784561186,2713.965473200861,3576.942988365841,2738.271167378521,109.26158647733315,479.5323923464454,1191.5310453400277,31066.285788773595,10834.85178236228,852.4016957616265,3.437939799710706e-06,0.00017279125210031495,0.08761718188056275,0.0359034776151679
170,-515.6605828886595,763276.6068360797,715108.4197572853,117773.88177971145,62932.20781856555,48000.00000071168,17247.494153268468,1443.8299481591414,3930.0688954184284,2843.682119347971,107.88856257042677,399.51779765620694,913.3071781419686,32852.299053324416,9020.670614038192,688.0698553060038,3.409253932014284e-08,0.00019702692950519842,0.10259807705466928,0.029072547272157554
171,-506.8793330032292,757530.6054164512,710175.4797026993,118893.45144591217,64732.74724546482,48000.00000004636,17161.989336615632,1942.173003666114,3734.286085539106,2949.1337491048303,194.14334259458084,626.2473956823767,1229.8361284471887,35161.46214331527,7327.642103670593,633.8996159919924,2.6592311196474133e-06,0.00024413363337990335,0.07486537050605166,0.026686396903836073
172,-531.9972208658412,796294.1964580007,725361.1960848591,116803.1697629302,66014.66401175706,48000.000000249034,16725.329821862764,2499.8066532484854,3641.0202248261307,2828.149673041449,62.79931599918069,542.7744735321178,1032.2554500091576,34860.458064107275,6683.884645525234,664.1359966226851,1.1591418682960428e-06,0.00023160533165289201,0.10149456869712807,0.042224038931526924
173,-818.2363407989452,732511.0596164144,676100.7341115205,119410.40507900307,62975.16017450853,48000.00000053698,17991.509277105517,2311.2537247547994,3762.475914190522,2976.81491514386,170.92099522846036,347.9465132591115,843.7802058699925,33841.613056254726,6416.74725798294,704.1201697052586,1.6076010978120623e-06,0.00020192242769713159,0.07937670667616456,0.03271925053924876
174,-536.0870489934389,804977.6171075854,776667.1561407524,119322.83141937359,64105.78809147419,48000.00000051967,16402.94547902871,1304.6975164532294,3461.7604313002607,3002.242524752483,188.900028732082,450.41161652867453,939.1236707219397,34601.82866644558,6661.062526433488,633.611453124539,3.6634237236921633e-06,0.00024806671941353907,0.06623748691897051,0.056367354908720045
175,-648.1476804322207,774088.5465522768,709297.6887162884,119068.49355809993,60774.69845330076,48000.00000030318,17012.986435238483,2663.0758764529387,3684.0356629085404,3303.868582398074,164.54807712935255,219.11823575136793,742.8981466890174,34658.18420635317,7019.1865886216265,630.976275749582,1.3955949223435807e-06,0.00024066017153535226,0.05827850911613124,0.040987093196475935
176,-537.9817556092215,735626.8564749454,686757.350064402,117985.84196160537,64881.727327024986,48000.00000032927,18019.466508428246,1809.6858157274296,3754.519889682393,3075.306626304423,121.05316627813447,382.3369380600951,1171.6982912755027,34188.107015718946,5872.384182566413,649.4361325934744,1.2769786183884158e-06,0.0002558943968536894,0.0757834739527081,0.0546935089445407
177,-682.861316801926,785218.0252325494,752049.8531181094,117978.38478125226,65603.56765998522,54739.98409542,16548.392345083044,1495.2139757332093,3516.3476782726602,2741.156185922018,117.39293534042893,507.6707041444306,1071.062940856565,33504.882678801754,8453.695335037168,808.7375198408799,3.903892985110094e-06,0.00016462581744916728,0.0829848195892376,0.029023963281343105
178,-669.2646455535913,789625.8746895228,739025.235362406,117639.46297152953,65897.13649145715,48000.000000013024,16800.02424121224,2006.339652803707,3781.1070402730925,2787.7908941038463,95.69539049699216,490.8519937860441,1182.3388166935306,32953.17120615536,9779.438304724104,721.9702788789343,2.248112304980325e-06,0.0001963022160308726,0.08614560735597224,0.037477219325815436
179,-417.716010468879,769941.587338577,706365.8394921491,117208.9339832737,66865.905838547,48000.00000000134,17484.657657250544,2589.626758650511,3749.3809391821483,2633.8424928797826,86.49431466730358,612.313396738924,1257.1334996286287,36204.56562824276,5933.061463641534,601.470209081452,2.9905125134393564e-06,0.00026937603699679397,0.09805057023939637,0.04007818618469829
180,-615.3777979208837,790651.7374167293,713092.5852269697,117684.92721921824,62065.456872719595,48500.1018364085,16630.744729375634,2771.748889421909,3945.889415523635,2895.3078668180938,120.56075983576153,306.13778459860464,873.854525040959,30033.922374870595,12777.502167158895,873.4738988051502,9.329501386880339e-07,0.00012949318976834937,0.09175978488564683,0.03381146949334007
181,-634.1463725633464,774635.2324119807,716538.9366605721,117827.67319234819,65621.01812122141,48000.000000314605,17336.20633474507,2253.024675815973,3432.852116402513,2967.1293725755586,99.08924442937996,550.0399058135768,1116.4557857563768,34988.16721427641,6444.056530510633,664.2230013756649,2.2021522461220617e-06,0.00026614777123456417,0.07745688422838044,0.041165631319133165
182,-610.3350426612853,768157.7714508744,712586.0275185852,119920.34252737559,63055.611536352364,48000.00000011602,17316.321576073326,2572.1022401323985,3373.9931441793456,2986.94058515892,207.0714991982236,334.2382431508612,921.144044423989,31967.93750743533,9464.214749006213,707.73775447913,2.788364596718479e-06,0.00018877067576787517,0.0718457115758492,0.028076331278955542
183,-833.1394766095633,786728.7978761327,680906.9504201469,120972.3960171158,74118.66887617034,48000.000000099055,16676.417351203367,4983.346198427016,3248.639517651748,2690.169891644915,275.0177923835429,1094.4099025739993,1658.5485064241286,33382.38149155525,8054.538094896115,766.2590896673466,3.7859918935974754e-06,0.0001696807569121261,0.0787656610900939,0.034362967066138186
184,-694.723268867092,842260.113571628,802890.5786413269,119828.27278858838,66194.90978843623,54263.28977512138,16227.812853624338,1731.9262754641472,3501.1861951504775,2922.0338225827213,205.53638350522195,600.3287397556095,1202.6185168891905,37521.54274054075,8465.780167468833,783.8088236959967,3.281148179297751e-06,0.0001979136741391485,0.0804098563358773,0.03695508166590125
185,-632.2995834069695,746541.1686292423,659029.8073413916,120847.54070868088,66092.09673104313,48000.00000000041,17593.884196831263,3531.3799594187276,3560.7910766275672,2933.668539390483,240.65442406554158,559.0376759952007,1116.5300774350983,38399.59440674117,5084.180963583908,583.5713084561897,2.2656119533081087e-06,0.0002845762144503813,0.07197623853234521,0.06906966687378373
186,-630.0464874474211,816178.4388477154,773139.6155237855,119953.93250560464,65580.17468907166,59074.390876707475,16411.19947623249,1988.1639833804231,3503.800062625897,2961.668462828221,192.2415647512726,523.5534624459893,1212.2071217665946,32487.980823308906,10456.613765882643,964.5032055259987,3.6544240350774215e-06,0.00014391677270580972,0.06389434521320166,0.04086010020711283
187,-559.7937728393583,820974.5665906414,747267.6076385751,119141.84854272673,71198.46124486368,48209.79476887756,16425.463901972136,3331.577225767491,3479.9008348317016,2519.7013339198743,149.83818260153797,687.8372789914337,1582.4268957313466,31526.28903006451,10906.077926899039,820.1225962917858,4.237103935494629e-06,0.00015859583592033497,0.1043748726064786,0.03396245552440817
188,-531.813903873209,799869.5833519245,703263.9222825204,117537.20297290296,63431.22749975771,48000.00000026114,16985.951274190582,3274.9293897861826,3784.4243814786014,3024.0638349099427,109.77229506195151,365.5178895402332,947.3129967956769,34377.96192059424,7211.671373881999,698.3329842722878,4.479231664990563e-07,0.00019420246520368664,0.08493221599526944,0.037103858052360675
189,-485.0261993530959,788344.1311794354,725308.2435226858,119019.90189713736,62993.58688821695,48000.00000016923,17041.09369206349,2506.6981145426407,3820.3186542507133,2997.4517376753247,153.94548743599373,317.0955291757211,1079.329785234469,32576.51925110654,11046.005865748532,763.6248934495609,1.7931933720883552e-06,0.00016830357150141338,0.07538163210071337,0.026409748548848568
190,-713.1638869275978,757644.327561255,707480.1265415289,117326.85354203879,64517.40697791574,48000.000000345215,17316.238998677127,1676.6788250191646,4066.9087906456007,2953.337583253504,89.58605473397809,474.9736685491115,1029.6544065100688,32186.914975786247,8410.744279440598,691.3957278040152,5.302178100595783e-07,0.00018917265383564896,0.09046993982876446,0.03781426349500127
191,-487.4025911301239,799291.8754148509,752385.3857899571,117989.5550476672,65243.17586926072,48000.00000008499,16823.36220777302,1960.5925881297226,3836.5135917334114,2738.1957309652325,124.68101994142025,535.0757786429784,1121.3970872999519,32572.222675137422,9579.672535209504,793.7430544711865,3.0962522652524614e-06,0.00016895980995327336,0.09559201975724485,0.03177820693365997
192,-651.2351446143255,770226.2111571362,731542.3127078268,117981.01460950826,69645.61131179256,51916.490090222534,17440.18303779445,1582.011230150723,3608.224809282172,2753.0311079273815,119.43205971566434,1003.1518235001035,1246.072123155606,33128.40863786998,8104.1621690308775,790.206515942522,2.8296152614162e-06,0.00020277655026568406,0.09685032494729556,0.03402701354074137
193,-602.7131670408817,775725.3088650377,702510.2885813174,118690.60088514107,79423.16918483918,50146.6835399526,17203.938384057466,3048.4711812954924,3441.1006357442157,2521.877406418025,127.7553102707757,1438.1791582640894,2066.2871612396384,31334.393280134886,11243.318436904434,791.6219650098847,3.5608003462621538e-06,0.00018027852168526004,0.09603920097804476,0.0382734494265058
194,-702.7358390797126,799858.3917935773,761404.0911992056,118970.32046662766,64631.805787538884,60096.899785193964,16424.12184860271,1485.6766499227201,3733.496581395113,2980.3878284057705,177.07621705587317,498.69137357024516,1110.7223636652013,30717.519295161805,14422.761910919673,1008.0253781909774,1.7273153850686467e-06,0.00011148131454019143,0.08074021652344686,0.02944118573391672
195,-593.5191312741094,746387.2995056456,692688.5352095749,116423.78139509859,61889.04141208208,48000.00000008456,17352.080349096093,2029.9196372014567,3443.726238235276,2823.8461040722773,51.265206092640696,259.04724069685784,784.193228803129,32119.82642125692,9725.405664363816,745.5310869738527,9.687396288417685e-07,0.00019000943712071396,0.09554990975457663,0.023764454145747044
196,-716.2488382182139,817241.6173232079,719628.7876009619,119232.66282634342,60597.15189034774,48000.00000000041,17049.401784464717,3478.147883574936,3722.1769071479143,3000.21385075987,190.49385176313842,296.085970141887,971.9523701480082,36078.39788458835,6509.672685434388,658.1171908421835,1.6923110859119165e-06,0.0002536608090984472,0.08492213426706663,0.05120757376584219
197,-497.85211058947453,781448.3829565202,725108.6427867896,117109.7840631766,71952.78334077401,48000.000000336775,16973.215543385802,1963.2196309923536,3777.4185750851293,2608.8886549889503,85.47349495587613,808.058310069583,1558.0801597526765,31478.672117987615,9642.741821578215,830.4306665295202,1.7709196177771754e-06,0.00016135121007950564,0.11073293184880845,0.03653075795612373
198,-518.1967744023775,792411.1235977256,749892.5945573109,119109.40833825541,63629.41777447321,48000.000000647655,16726.89522563977,1589.1160851101479,3773.8046528344858,2983.9590463296263,214.9162117776724,370.5174053172125,1011.0457791381989,33812.54293042697,8038.716127220087,692.2803269492637,1.5321955695102357e-06,0.00019952421818209074,0.0815961187350224,0.0454485726066342
199,-545.0523998300212,817908.4909071166,750044.652732688,117374.7755377385,67811.30482984333,48000.00000078101,16725.487332422967,2265.924700525815,3844.5350683449315,2722.255792515343,105.53189555200086,820.2082902170503,1364.337800907707,32782.3507052509,10399.023497670994,741.5669201124782,1.642916063868297e-06,0.00018793406205188585,0.10840207249947063,0.041121358947832
200,-553.537942016458,805200.4742382724,760708.8066358194,125300.32418934883,65033.608858752195,48000.000000759435,16726.299356396226,2309.457767110508,3469.243175344095,3081.075173756518,481.73507071131155,634.6686193061516,1305.0335451115318,37178.08133023285,5857.868498677745,612.8276438767706,4.033793124985233e-06,0.00024217970390121458,0.049047362369834833,0.04480505978402967
201,-659.5513774451413,759934.9332688221,703734.4262084824,120722.11544174,64248.49577225158,48010.23566975812,17468.924392205274,2023.3065640568807,3712.98615884924,3054.30159721674,251.56464934204686,465.6358346301958,1115.6176624594234,33190.31501671134,7636.864324978565,746.1861663514906,9.457643367042469e-07,0.00019225758789640198,0.0758003263587256,0.02586379434208848
202,-590.2807848506372,788966.4105017215,745492.503500722,118420.93253942243,69223.32534358492,48000.000000456996,17026.369541819062,2306.4225598457388,3454.883698937607,2588.6321026754053,135.63533425785897,783.9829553656712,1399.771099386367,35533.32975978164,6483.137771028533,661.6585644172893,4.970852254779563e-06,0.00023624407997481376,0.08736668464369601,0.04527588151938519
203,-446.5456629353987,805954.8929599522,705507.6274675748,118245.31062082619,64113.029497512434,48000.000001406595,16664.45703586692,4210.943328196638,3400.318606996194,2809.0786100908144,138.29124691317628,448.7341526649227,909.3116112437042,31538.475816647075,10368.593438965643,858.0781469582206,2.9199805010336546e-06,0.00015284956427680864,0.09178359523244442,0.0284740779260515
204,-469.9625150397619,732195.2509681911,679117.5745174896,117532.79976797494,63092.225166012475,48000.00000018884,17826.50931963982,2191.992283786656,3692.8378440247557,2871.2970210031317,103.36408745048388,417.8670862190925,905.1091229780412,31808.92158663832,7222.299785544312,696.2567956717357,2.3219981209220457e-06,0.0002197823503722922,0.08424333350142077,0.0403032142935351
205,-558.4421285868228,784660.6127260604,746097.7249977754,117848.02354284374,68224.79647684818,48000.00000005105,17011.663911269658,2050.3711993651605,3365.4617619552832,2674.908490049701,90.04483888736937,569.8673407737265,1150.2649170564184,37587.194518926015,5326.810869039723,622.3521154851271,4.4693170788482375e-06,0.00025656050055501657,0.08713405248176487,0.04832142175661285
206,-517.479420701585,766911.6911136917,750364.917120075,121109.96740260378,64924.762702891276,48000.00000000032,17394.776278657366,685.9891568952303,3538.955446287917,2866.0781556762417,267.8970574040925,497.6466652075565,1136.5035796621378,34501.72957587063,6397.361516168926,663.4795578319157,3.140813092597947e-06,0.00024168111827830503,0.07627610216316677,0.0592206873846651
207,-617.8483217736347,820961.1765327641,740170.4296536873,118436.24360604603,67081.8692532364,51083.71522983978,16403.644202886262,3190.3259808025136,3563.0096262534194,2620.6906981782463,142.56675709091564,501.7359967630751,1383.0202094236388,29013.62536170777,24370.646288524116,956.4690848867237,2.3871709214762194e-06,8.789056815165356e-05,0.10456962295815948,0.030326211398124442
208,-525.4254996921092,815562.0263553817,758075.2975639005,121193.71358168994,71341.07935010595,51310.42413662125,16434.930177825525,3121.1207739979445,3426.7242806095733,2570.728584612962,279.06909327450785,879.941817859633,1613.9191181829199,34055.784202015304,9764.617681340607,832.5768959831672,5.116082083887975e-06,0.00017915094085331024,0.09301937415169852,0.040554341064014766
209,-590.203984420315,761841.8462370093,692095.2749992963,117807.51756264451,60002.30956926546,48000.00000023838,17619.17479565496,2989.91036161528,3528.2744566129745,2984.4931500618995,94.54272867712297,202.46007747129642,875.2617989013605,40113.13638776086,4150.99424198841,562.3605616191772,2.7513162404789703e-06,0.00031402990480193223,0.07314261097399527,0.06367391442152863
210,-652.0486897239316,757249.1757807275,704392.4608972168,118477.56133590727,61605.27024364223,48514.196457829195,17479.86342725209,1868.6651078731027,3840.279992681773,2900.8595818215827,136.35648708374256,396.1712363612137,1039.845405812634,30933.537589237392,9441.027191624486,744.9480770223031,1.1136944280444476e-06,0.0001868256008738015,0.08703517278361686,0.039933450758680086
