sample,ll,T_NDH,T_OOA,T_LS,T_L_S,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,p_H_N,p_N_OOA,p_L_S
264,-133.10900255413418,820582.8004534317,54564.32264363413,54184.398756232236,14652.265842527104,16467.05873591401,2469.919628376409,30227.99021597391,16133.530670345594,25.38018354551453,3331.0865918628892,19999.99999980071,1531.8936130295945,1.5680841752596186e-05,7.167749967578378e-05,0.11700139506504591,0.023455882501570817,0.40892525136486585
265,-156.41916906086755,813714.1280924609,50855.0005856145,49798.266739572886,23767.497316848712,17080.588479462207,2488.2695824020598,26936.95828422512,41675.75246571547,80.5512192410462,4987.291192726251,972.9008292019118,1603.3986275911118,1.0000000125026586e-08,2.3888581219982295e-05,0.13052945071877423,0.01641463138502261,0.3727683694102789
266,-131.58295884662218,815853.0705508738,56702.9044620271,55298.71512592387,27190.024602657184,16550.017724532816,2339.9246130627853,31726.765633618117,13957.456223288877,92.31438106249432,5244.478749347391,5738.607155890634,1281.5536475304234,2.097844415579961e-05,8.640269912088131e-05,0.1379497087317717,0.023536341999053256,0.5120135980884876
267,-141.70685417303474,804418.0323504554,54160.23658436297,52687.882956909605,23694.196337191548,16919.43026838894,2590.276404787523,30510.625774241755,15961.786261307614,95.6999621945711,4374.787708642314,19999.999999992167,1422.6901939620013,4.051826896127606e-05,6.963077399741375e-05,0.10511062003385677,0.02252506793290156,0.5129581867163354
268,-228.7297882446403,795374.5086701626,54021.63131536011,53046.451224931625,31606.231940756723,17131.55375668827,2247.417961464145,28636.43063205405,35586.94315892492,75.11741470883851,8271.536293743671,2199.9344548157082,1491.0863688575214,1.0000000015404479e-08,5.653239688031853e-05,0.1479535207752898,0.026465550529863026,0.6907798539239289
269,-230.5745476653437,720167.822513899,50419.478276115566,47999.99999999998,9200.247659733479,17352.51606032164,2317.1053338107204,26041.35502557589,32717.484564122635,162.0522773159656,4656.540092062412,894.3918630959472,1470.3217556156333,1.0000000146375767e-08,4.614650690497794e-05,0.11107057363645864,0.0191585424478555,0.27714754615888404
270,-114.86842637955297,820964.6429803991,54465.447132149086,53453.46733170865,24182.12743745609,16666.011107695096,2393.8570882598083,30857.710317947367,16551.568566204416,76.57503893068711,5151.86683755454,2564.8574477371844,1522.3359416600174,1.573811606265533e-05,5.904966250348493e-05,0.13082833596549862,0.01266664361656322,0.5015030021115024
271,-170.04170765546945,779094.8269105301,53816.32742257181,52763.33056213838,16320.520922305588,17015.27527363902,2359.419582130914,27810.11345407898,21461.202248668298,79.88382417790274,3838.7795637692484,19999.999999853753,1374.559567846962,1.0000000018648248e-08,6.57127041043842e-05,0.1309158878414969,0.018863757815267203,0.37616496562789015
272,-119.89800453035005,825773.2791133715,52248.31081962793,48773.19016396529,16271.73007913299,16812.88930713708,2449.7418640435976,29810.231531929334,24779.918778686544,222.35887829100398,4212.490438771383,1508.2082490648845,1532.5060983636595,2.530965183174701e-05,4.692805749554694e-05,0.12406454661140755,0.025706938887031006,0.35131345607815645
273,-161.55576282202105,757310.9616758,55042.378578651515,53782.60249627948,14307.489295767055,17186.142564941118,2512.5128164403272,28773.258198313673,30897.995603757005,84.50318038297448,3915.8549103509904,19999.999999117455,1405.8338560831323,7.039112013284714e-06,6.477094182662302e-05,0.08284273216550816,0.018330294692232157,0.355621365847243
