sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_V_L
420,-540.0905862628301,843915.2436690116,726333.6476410697,126504.85454717287,69282.42572404411,48000.00000008814,16138.276139430514,11566.582290508095,2776.2291380077663,3165.205894118401,408.66733276436855,689.7664283256581,1524.49744381953,42039.53303475701,4510.0035993980555,566.7593153452099,7.922986385174038e-06,0.000316709743753279,0.07394616730599625
421,-682.6813141738489,793998.9153258775,737301.9316987881,124549.40896716078,66780.71568183783,48000.00000030446,16885.008810329935,5478.51735156595,2568.4767707765236,3222.1114042829295,385.8679423080603,682.6905405838195,1173.1862738822158,54036.44833515984,3171.051922497136,452.0837650343132,8.334258200260104e-06,0.0003994648881688629,0.09091070378998599
422,-647.5341569600689,798095.008524601,663321.0822607086,122911.44032826302,59352.92321836602,48000.00000020913,17089.902545939534,9915.908275240203,2845.1440548677456,3226.457504521438,342.64794421522333,189.74776816109798,765.0703049189563,56264.08953422768,3119.083085606909,447.9204606355727,7.343563166908878e-06,0.0004461449809869274,0.08407352136953244
423,-753.8049662699098,839304.0690271129,662930.435039885,124585.92378227913,72234.62225313895,48000.00000020657,16369.580852894027,23580.274275067542,2666.4299630133705,2923.5871490204127,402.10756787975544,969.881901344874,1513.8497816448719,46943.2288786097,4146.36547019424,530.4053614883173,1.005625024427736e-05,0.00034002067953491555,0.07211578668949375
424,-759.3408941957316,777189.9185840241,597316.5264112155,125985.69946495745,64038.61955329399,48000.000000672546,17511.78798823779,11347.833090633114,2970.8433298512837,3194.1553006271897,539.0011427217696,444.1937339259434,1302.5170463762977,45135.27195060001,3481.721899625583,496.75111973183004,6.774675389566909e-06,0.00038874416689182995,0.09643968105418561
425,-788.8131868648184,838460.675672157,681487.5915323767,122429.21757045342,70870.48460163783,48000.00000003681,16368.87547521793,37715.12743479603,2476.526432703793,2794.2738605705235,259.7345351720039,868.1330506675175,1588.8212330069207,57378.18329519013,3086.7714375306477,454.0208354782404,1.1610814190003248e-05,0.0004530032309314543,0.1131985223557745
426,-720.0686029036287,787776.6214619675,650306.5882045912,120302.81323063701,58517.76504758184,48000.0000002296,17119.24292278652,10186.42003777889,2930.148879950056,3250.7470612150437,201.82791743165555,170.99980134633958,724.3277239569856,52096.66354763106,3303.323040119627,454.70983446941375,7.239612343130183e-06,0.0004314528296546971,0.08028731973467901
427,-650.873518377884,790412.290975677,782586.0373366898,125545.69180467965,70139.92974405189,48000.000000000575,17025.973030647365,976.302710954032,2885.250590200834,3153.4634146650046,442.49279508637744,717.9107527420701,1670.4106240346064,45723.60595092583,3994.1911970117785,493.6952277793812,8.25899330314008e-06,0.00036118620663628593,0.07624402159792501
428,-453.715585718929,837311.8595456145,746706.7270537777,121731.09006491178,62126.06481453141,48000.000000000065,16334.384170690904,11592.597852341145,2873.0801718297985,3157.961734786156,297.918880609116,407.2025589355727,1027.2872709644848,57916.8685598633,3265.7110063903974,417.47137231288656,9.367944757289926e-06,0.0004615565357224796,0.09158348555450344
429,-765.8974252658595,799464.0649226654,683462.0802172001,122889.59914688181,62462.45259889498,48000.00000018176,16851.103847707,8444.746037867155,2795.059992092818,3266.528348520437,293.0225461375949,351.16212917869245,1121.9815499197107,58190.06134892549,2850.273609095402,398.3647755810083,7.328309128241478e-06,0.00045625498314258743,0.09831593468976096
430,-703.8091142927983,795088.1240014394,613591.0263620582,118104.00260392763,60090.852854781384,48000.000000000065,17358.123010113766,11396.892148992014,2964.9306076242283,3316.1964437122656,118.12883727103103,272.21156831729314,854.6898621730652,53585.7399686811,3007.5754094106596,447.77531649881377,6.455164500477663e-06,0.0004489866341448634,0.10987754022383547
431,-655.5421631830543,825793.6084383859,623847.7776774026,122964.01171890122,63490.80758382752,48000.000000132226,16678.56869445654,15104.957081115812,2695.5258072596384,3102.9414942017193,304.1450585557853,515.6574512060998,1299.9114666790415,46811.7264867799,3982.916835052836,499.1913685378274,7.877415900010761e-06,0.0003720952504841303,0.09045542248240095
432,-540.8498962619772,751555.0982055749,616641.1943936992,123569.62619566327,67547.16870794239,48000.00000011074,17453.219227900518,8126.467922700104,3074.2169340765854,3176.3794661826764,420.6221162076335,814.4066489422917,1449.0521711942442,58275.91584173255,3250.437308666777,410.68840783047096,6.607522824571884e-06,0.0004451562147162803,0.07648957359486401
433,-740.3266438906721,813057.3647401261,619233.7034009893,131604.15006314404,69251.84656973399,48000.00000013691,16446.08913055563,13322.489724764851,2919.027205525345,3171.1825857708104,610.5205160621844,670.2393190637897,1486.026161682535,54679.612046594535,2994.166373821613,443.3650324400299,6.870003675028719e-06,0.0004272093804917069,0.09859703658500726
434,-558.2536366155625,830292.9848128303,603236.2118076838,123151.00253923667,67015.23326425735,48000.000000135464,16229.662800439231,17404.79035387535,2687.409359579171,3078.260440070664,354.04860244068703,587.3111738521817,1327.4226354325756,49653.561816819274,3745.5947160615992,476.40622937676164,7.349354889136973e-06,0.00041911708721740034,0.08879577276132718
435,-640.109305284484,829924.7871458061,694386.9097693545,130506.7682829304,72699.02691881241,48000.00000003366,16173.026624069851,13347.360207278618,2560.2654520717397,2971.6871258855285,623.8109745135388,1140.369403633828,1916.5853936489502,48061.40912965083,4042.8433930163465,494.2822169885553,9.013001231837649e-06,0.0003822274113804079,0.07544763141444433
