sample,ll,T_SA,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
41,-321.6468989739932,1993458.6118303612,742430.5041308972,736580.163457902,119785.29652236131,62244.03119541754,17124.772928304268,28837.099648048403,481.001726004033,2999.9731302383134,2661.621097021728,178.83093650044228,366.21910650441015,974.5884043993428,0.01030535721881856,0.04298962743645509,0.009743963172279721,7.0973038978071596e-06
42,-462.79367804576407,1000001.4254027108,724158.5130551495,666496.4177439046,119025.09273665171,61663.197441899574,18018.930261049085,26667.346085621957,2976.3391718547255,3350.019152565593,2486.384719027885,263.29095065000206,342.8863963816284,972.9171331830746,1.000044624409153e-08,0.0807306443873795,0.016374091753181788,4.128096816695986e-06
43,-376.42668537574224,2499999.9999970924,731883.9876721093,669300.9137013764,120822.15373353772,61291.20505266408,17654.1334906303,27806.618330813533,2751.7663730562535,3389.6676216400892,2754.8129754697916,312.43262268954595,266.13338116893215,735.1243196930847,0.004144508495695055,0.06612205767784046,0.016476884141635312,2.4871319003963872e-06
44,-359.36098599464776,2272548.371939248,704599.7380667576,687829.1937056421,119660.89609413329,62570.92091331057,18222.48163095513,27298.692139414587,1167.8321205451514,2983.803050724409,2376.8821696717405,346.61187008125734,338.2470455384973,795.1778367977314,0.0060805214205761305,0.07365261320899856,0.017446822816719772,6.866621025094649e-06
45,-281.7287762086285,1000000.0000033089,739586.3668475226,647601.084682567,136108.15885187237,65863.08153342998,17470.102447573616,28024.24160742448,3189.7869749628517,3682.8111663210443,2925.2749229301116,1393.6851192685947,588.0797693193799,977.1855846612364,0.04587025536308135,0.05964429639696002,0.013252191356989048,1.0228993934563178e-08
46,-380.82481085951315,2310844.0346264746,731599.874038696,707026.7056495697,119631.68524419093,61136.25317593947,17816.071860095908,27520.456009812093,1268.6477774683783,3267.631679325462,2593.1086367326975,246.1877541056867,256.070760553836,807.5027084223516,0.0010624783964498364,0.07222318954204356,0.01623794594511227,4.1737250640052955e-06
47,-361.64366948522974,2499999.9999884902,749263.8166831754,709158.7652913992,127600.23110345987,63571.338638918736,17188.11268630491,29679.57109754368,1746.0430120800333,3360.5730694651397,2790.8798175957168,747.6964474855358,421.4051784627238,978.538131326912,0.012473418952859723,0.05907999996982975,0.012257705314274262,3.1568420473368626e-06
48,-306.0872606996762,2499999.9999885038,745531.7693213526,717455.0290365969,118312.53498394933,62645.895174835765,17268.417045243732,28469.50808199833,1399.3921659089824,3331.5510801346027,2528.008882273264,192.0421869767945,304.61759629273905,870.8096547537505,0.001344588840275721,0.08060931040827825,0.01487972333999136,4.442562718654456e-06
49,-368.69138801582324,2054040.6211593163,733255.637374386,702502.6413357978,121464.74680857953,63261.22217216628,17279.1861080997,27923.35978114016,1959.017976963374,3041.998077363413,2512.8783354284337,321.9692759357351,454.4609127143346,862.8548879502619,0.00774650776423999,0.05158600654372882,0.018166397806728483,5.9973949199330824e-06
50,-352.38946511277453,2499999.999977708,704596.614004466,673084.5239415752,117924.49598765868,59357.199205672194,17881.672571959338,27261.70572628501,1875.7252766278907,3325.926729157234,2522.5934298611496,131.39413327260607,187.29595523177443,860.6872593711336,0.010754065550890458,0.07379136650491727,0.010971086512866365,5.4778760837876376e-06
51,-366.95355252261527,2499999.9999906085,684245.0094630475,645379.108530734,118156.41839001763,63859.57557619312,18336.162285365237,27338.267543974212,1823.5093608418629,3429.678578205425,2671.1886124809707,163.10028872642033,496.9536569453256,1135.4364844908303,0.005622176584323173,0.08518862743680297,0.009290969021599442,3.4193456843983432e-06
52,-322.04839563048495,2499999.999993855,726429.9379322828,707260.9171612217,118930.18396455697,60447.23814490974,18004.997743339765,27629.944380183613,1103.0059399564193,3388.3503043920605,2585.5470504205423,192.30411506356486,276.9965881264889,858.9087036491991,0.003609510836618542,0.07111691703937133,0.012143220737457636,5.116327663577394e-06
53,-359.56437713786727,2499999.9999940014,752726.2931680905,732620.8644821264,118653.82055567834,60740.45154830598,17289.6412949773,28824.27981940929,1913.5199271698284,2863.5600917785932,2395.0357734041836,144.40725038397335,301.1759453060025,868.8931167307059,0.003641080525053282,0.05296700054035714,0.015772477925839353,7.784730479597423e-06
54,-320.82786368757706,2499999.9999914393,752511.1639384715,701994.7366610303,135284.7413895601,65424.92012238091,17115.00446355561,28244.840519662826,2049.3795341949954,3489.155941968746,2653.0120192290383,1144.6492715232484,473.4680994080107,1128.6418660343984,0.008005928030103256,0.06268703377894036,0.01744018620012502,2.263867843389075e-06
55,-374.6912720483832,2499999.999982189,673584.8949512418,653689.6359534555,120739.0287241362,61667.657783563176,18541.892945467604,26606.26474736823,986.2468109233889,3373.7212410648267,2516.2606628689637,393.79827186377685,409.56782922477475,1011.3084164641579,0.008905271406086095,0.07791956197309388,0.01608613438187816,3.913248283885747e-06
56,-333.8775299215678,2057185.3138016567,704266.5871412385,675848.9312579664,125789.68586412286,63132.287549827495,18113.668293272087,27132.97998711779,1349.397713227033,3413.3351536770565,2748.025301790638,642.1161108136193,437.39977903026846,1017.4752185334086,0.0028593263817422126,0.06856557878815847,0.011005927021359914,2.8584758918209254e-06
57,-432.6124714025247,1940365.403766489,740817.9079500636,675252.9160297128,119657.4795959083,61178.27858075674,17135.35693809884,28898.63016186369,3415.2774600407815,3134.1668472770652,2728.475866119922,245.64669889082825,273.8389070354018,765.1284021427876,0.011118274566238151,0.06311527369541216,0.007935311041996641,4.711857595845142e-06
