sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_H_N,p_H_WN,p_N_OOA,p_L_S
150,-857.7962560894797,712045.1133019631,673937.8993162019,117915.4709159347,62984.85052222769,55272.18797565892,52890.39568064129,26027.12305061995,17904.26202492868,2068.069208290757,3228.4665627010227,2638.221245590661,386.14370280622785,946.7531768869114,146.5731552588949,25843.367611361,31775.312189788605,193.3672294536249,1682.2267392372214,5542.287851441841,6591.582802512487,4.472554116762728e-06,2.850338335180979e-05,0.07512410750986995,0.00745375582429352,0.017626974016388387,0.5363563511372599
151,-885.3868860981141,743075.6728744841,692644.0700270891,117019.72480138486,64252.45502596462,56709.36777606142,54478.66988813898,27980.283940737172,17342.251034645506,2409.630947049308,3440.448992629489,2507.1262286272727,486.1530111155495,960.7465907929299,100.62431768390358,27485.371701281365,26176.934886422867,182.75346180142452,1522.8556878515253,8990.404227433737,5360.650750680411,3.6493784413434666e-06,5.3816500290065764e-05,0.08581205700960384,0.014654037624225102,0.02187860988277842,0.5707754957611896
152,-871.1107595564054,739642.2786566281,681730.9977409092,130923.00087646868,64609.255093748645,55480.764809539134,54617.90215352295,28509.898665892877,17572.022194691777,2321.7743339346093,3611.2627116334493,2770.9259650650765,532.6577894804522,1023.3378088422045,823.705992738449,27418.843643889715,23239.78099716918,69.25423018520279,1315.0488724417257,8305.710311887866,99976.49567733846,1.3883907410346116e-06,6.982612533369711e-05,0.08250611861679907,0.008141706894550986,0.023543453729101826,0.6017102117252099
153,-911.1275578878449,749744.0970184283,704967.0183549285,117594.17596564429,63291.14826779602,55994.37191807455,53675.309076123645,29744.976229382595,17384.40629707235,2486.1587149502348,3380.8061131906325,2425.5915214679767,389.227509558129,1030.836965749624,121.92808632147492,26782.291726623993,32675.534377982738,190.0544993387318,1629.9782821538952,7455.924492424973,2865.4034753897463,4.775789905043699e-06,3.5745457703788543e-05,0.08830675997640679,0.01252277409389979,0.021446794575530854,0.6124002458147592
154,-876.6306204378503,752734.8891654724,701399.0543863755,117329.75119408737,64853.101873510604,58383.59460367927,56040.002561921756,20989.253256352105,17702.631122820705,2303.072549605071,3628.482368478613,2377.397861252129,487.65884162067675,1360.0262878462352,115.46781777598977,28506.56461172814,18295.68984432298,190.12493059727854,1633.289225959262,3430.7103051272743,1508.9310154277307,3.7418850575681253e-06,6.83017047324607e-05,0.1112623551689252,0.009917759864124258,0.007956572315223275,0.47243357366217825
155,-780.0900104797895,736683.2464762458,696138.9490498631,117138.97198580978,65183.22614834707,57429.28821309067,54579.04726542702,31025.687894551458,17905.72943553159,2091.556667144585,3361.1332000973875,2275.909775307784,506.6975517324023,1143.6843171337123,121.36212762949181,26338.951348452607,34497.944214564595,230.65229366616467,1724.373700784497,6668.729252495944,676.4594506053991,4.752778219852048e-06,3.5739300376946946e-05,0.10317389613514687,0.017659268899666358,0.021535489661401168,0.5844672232218695
156,-901.1957018112342,765544.6987238742,711289.3124927987,128747.16412979332,65308.68584837797,57011.24991659408,56320.82306109174,29703.91342167282,17269.28341170629,2534.9245328334455,3549.3682565831523,2562.260212913933,423.3804678747966,1321.244812576717,793.2698273403953,28713.94338355707,23342.779213182344,55.92590303099269,1466.5880545605764,5755.534586700946,1410.4336740156382,3.0476100405198278e-06,7.493235164355525e-05,0.07603510535890075,0.013876737073669147,0.022263484118462656,0.6120219288895085
157,-836.6834605734555,762781.9125532564,719608.1274229765,116794.93876450152,59741.5016709597,55884.46730772003,55033.145556241136,28403.799282090597,17250.941665175,1895.9459565013024,3741.792873415749,2627.083158621709,247.30073522956496,832.5778023820762,102.77054641023038,26942.78600844038,90609.85689280409,75.28079937599921,1852.200807340695,7133.192518629101,1483.3006371801564,2.634073204687426e-06,2.428606506727507e-05,0.09190854766151142,0.013165244485412255,0.017234111431670633,0.576284293345555
158,-907.3224697553298,727558.5366756824,684670.9460158668,117697.59870553667,62574.045500542736,52631.020028579725,49590.981566365284,24938.5626169596,17688.499314122524,2286.685848988213,3340.11953296054,2297.960503496568,413.65963666732114,930.4110786747426,124.03518912336249,26707.238696248514,22411.156396176248,215.57612289687725,1593.6092611082006,6091.502676053232,99999.59385620462,4.924942021434116e-06,5.1926960801492915e-05,0.09630539026321863,0.016605586944865434,0.016767055510309242,0.44398786515292665
159,-815.0334885180416,755041.6390872154,719010.0432768667,118310.0671384286,61239.36316758261,54327.485997040385,51565.69000223803,31423.830895825537,17096.60501191063,2251.717811058204,3216.1809633924267,2557.8558892511637,274.71345337596347,866.37369164455,153.70256779981244,27900.13511508782,27769.73218582746,198.81837921615866,1660.0426654620987,9888.577074213408,1120.6990200484738,5.576821713163533e-06,4.874116359191617e-05,0.07254678977711121,0.009801790538302206,0.01712193875193467,0.6132265171076933
