sample,ll,T_NDH,T_OOA,T_LS,T_L_S,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,p_H_N,p_N_OOA,p_L_S
53,-131.63433874049636,770025.1573937671,55634.599338639186,54877.363509471375,8459.550890549943,17730.55054211476,2323.936698034384,28956.92659141666,16829.390215545718,49.70314556614585,4241.307453907306,3492.600062762995,1357.50493736848,9.028492971908348e-06,9.613699232647586e-05,0.1484493886443512,0.021792294920152014,0.3740417466109553
54,-128.68393560623753,761604.7189312066,51667.21795146211,49576.481944693514,28941.857830706493,17773.108269473654,2189.332037729981,26697.47085255451,30557.708485130315,146.4254421084808,8760.600223405718,662.548193324649,1493.8570006069267,1.0000001638996575e-08,5.0167494579390235e-05,0.15065488196175228,0.024253160928131765,0.5315462109752144
55,-119.24490191457966,812713.1243234377,54042.34554379584,52039.92024787234,27711.14923785999,16838.68854450271,2293.3278498039285,30757.62636256684,16400.798347865435,117.5741201794691,6208.343464226609,13961.394420324203,1479.994044552657,5.684510428195987e-05,3.7630284086763415e-05,0.1413913944144445,0.028949492315759426,0.5238583000204611
56,-140.2201457003613,777891.8525718949,50354.62342148919,48909.48628110065,31349.645725240356,17444.731069451493,2234.298788808589,27785.81570619774,36131.84865939763,109.21108626242938,6356.846191828015,444.73918426039677,1576.9789334360103,1.0000000028368472e-08,3.636045589264207e-05,0.15451129162927063,0.01740730345326736,0.5541836425564143
57,-117.48595866061474,803178.200637961,53474.231986029954,48000.00000026319,28013.4092468227,17091.499675908733,2421.9217477025077,31285.181551137495,16105.099232004673,338.26651570678973,4039.365218544515,19999.99999999998,1404.1507174153694,5.720702567064438e-05,5.318655701322423e-05,0.12074988179367611,0.012950631027568563,0.5404844471965364
58,-90.0814431919795,800038.0211870839,54223.13850384663,50226.093730574954,21142.645014525744,16929.367565290115,2300.698154111351,29783.635751690625,16397.69506848966,229.40633868798471,3593.8444842915906,1317.5562280476347,1422.5830040987898,3.428202530490565e-05,7.777688323288156e-05,0.12845081565395589,0.02720541459168844,0.4316432933150974
59,-145.8811951703711,823346.5221149295,53578.785996124156,52062.91167599438,14719.364880189778,16556.106638594192,2424.1633894491224,28991.852759490666,17692.080349704,109.8761527324327,5173.344817792145,19999.999999779717,1480.7420279281964,1.0000000046996558e-08,5.818303197768358e-05,0.11410093981682089,0.02335105157971668,0.356900521128085
60,-112.72480497867276,816755.3192681081,55759.076678586614,54366.36516271853,28919.371413279732,16516.79098554494,2366.27306172742,29479.51207657844,18732.344756952665,99.59156748839122,6342.0110446266735,19999.999999801104,1436.940726879957,1.0000000116322224e-08,7.44521539527438e-05,0.11839136974879894,0.022151372947249386,0.5900486834940112
61,-110.82790762584571,851963.8871235832,57665.82708093677,56109.36155200327,8876.695383545555,16164.99725931396,2371.5281036744877,31782.160462147258,17072.716741015898,108.29506045829442,3463.9566393892856,19999.999999792683,1448.4964639779625,7.296766776299491e-07,9.440765653983456e-05,0.13038759003736203,0.01962980107890821,0.3573019505319031
62,-177.1432789170039,771933.3514263434,52519.69110643392,51685.613907655454,32824.510335213454,17550.05744297084,2258.833290695907,26870.68320406577,32298.04265698628,67.44475407596218,5893.164817414691,19999.99999988768,1572.4558215001944,1.0000000114801165e-08,4.2312240631601644e-05,0.14102602633673034,0.018423118126874395,0.6246634074596262
63,-145.2078897939773,812696.2470239496,56349.48129465419,54556.41431910255,24954.107900805982,16804.331424353342,2224.3661351738533,30187.977429935516,19528.604351576778,136.22491518265963,6099.393268479282,1236.4270866077504,1445.8552168992987,1.0000000096865504e-08,6.783199253941567e-05,0.152091260566545,0.02214095628175392,0.5373231238893575
64,-145.26198184705396,859623.885337974,55437.195424004545,54298.00584984506,26421.545307703807,16331.456211447048,2174.170158262977,29546.696940045287,22802.032003499764,95.52471836156458,6468.780034598907,4339.177861512308,1510.6682071403168,1.0000000053731722e-08,4.702109217227862e-05,0.1718652394937403,0.023211757533775527,0.5496921954341708
65,-102.70132153524361,772611.3264378201,52469.04859579648,50956.486925547004,11557.471615566059,17723.17671153202,2209.3558181024137,27732.079416593264,19833.975914078703,100.48188333652348,4158.766283563807,1205.6869851548709,1503.127193347255,1.0000000113031559e-08,7.478088559760123e-05,0.15508002239257224,0.024591228019211847,0.2866817224945597
