sample,ll,T_NDH,T_OOA,T_LS,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,m_LS,p_H_N,p_N_OOA
54,-172.14811497115997,761212.6269472132,51780.73156903513,48000.00000001532,17660.789322668716,2251.243812383024,26638.45044810609,38664.786640910585,268.84692406493315,6180.172153445861,581.6488450121318,1037.4604118858192,1.0000000137954875e-08,3.71235835948484e-05,0.0003414625743731975,0.14091881339959633,0.02345896960300527
55,-119.59715207386324,811804.821738935,51924.886284686465,50368.748547411175,16798.354443167114,2312.7190989694445,30246.46178175315,19609.33157365194,92.29955477042519,5076.992424163049,9999.999999996598,975.9566548221733,5.6066851482336775e-05,2.168707303244198e-05,0.00036262201289175504,0.14059314340134388,0.03179920147557866
56,-164.9633756226482,762536.654355185,51073.87649292606,48000.00000010715,17612.50450689498,2252.5465406235835,27400.32712152605,39117.01867226915,233.2687065579481,4748.081156468544,438.4078268770583,1108.8931940764787,1.0000000136256003e-08,3.1172061741280293e-05,0.0002993785770627602,0.1519167061210172,0.016329229509811135
57,-116.76437794973234,795661.072511386,50845.58796183894,48000.00000006785,17177.64007387093,2425.0743661387837,31125.096695533095,16011.126900970095,178.574705583418,3351.486526500974,9999.999999967768,909.1668434057094,5.3625891329631037e-05,5.3813320460486877e-05,0.000356984141898457,0.12030182260272797,0.014343829986694548
58,-88.36983095280334,790194.7503144954,53856.544503009274,49403.79558768911,17008.11980249177,2351.6249961263,28448.491444788644,23472.88393541739,278.7717568475355,3978.1080898600408,1060.0110275450609,992.3372486607021,1.90231305669066e-05,6.015977635181991e-05,0.0003499988093151556,0.11997420180840869,0.030327930781759733
59,-166.46621016245342,813578.6998940858,51698.0640069912,49884.741740405756,16633.233115504787,2459.1189635270593,28200.924296437704,21990.704720809546,135.89144206703833,5806.7577903452775,9999.99999996331,996.9917992514895,3.393718411982325e-06,3.561423015914735e-05,0.00036668546126911617,0.10780794932425465,0.026143654697797638
60,-133.4053719643988,804447.4762942389,53315.832920364504,51844.816667640865,16644.20375825069,2390.3860808902987,29066.848170680296,20109.222789928946,102.61684415717384,4689.358072267177,9999.999999901422,943.6497094874754,1.0000000001926477e-08,6.670924990508149e-05,0.00037729574155657503,0.11673193332481577,0.02262326134718369
61,-140.10089460121412,829171.4579126249,55643.296365675276,54315.303842266374,16492.266053982927,2349.9725026464043,30877.883907707448,17501.634270813534,96.6214596827803,3962.1277092945456,9999.999999949845,948.0526104268158,2.603414343932643e-05,6.774383861158364e-05,0.00039959138159533457,0.13299374760242083,0.022427662570707003
62,-197.4692101072659,774315.6124619002,50635.46143730068,49947.32794814314,17526.158255819944,2211.939295791622,27039.475594446118,31018.20645299546,52.90424099477682,4330.091777110986,9999.999999899663,1075.912716638539,1.000000007678141e-08,4.300699911699021e-05,0.00030886529560260226,0.15238042201875623,0.017952502816630227
63,-144.85050919326727,782930.1900593212,55702.03342345017,54408.54613637236,17126.898864172766,2302.451412236142,29612.194465385786,19905.916387701895,103.27392796161867,4639.02341892757,9999.999999948033,847.15720845657,1.0000000058770465e-08,6.51148504815565e-05,0.00045256719362566435,0.13780785807512563,0.02480319228199542
64,-177.2676694007995,846839.373389054,55616.132274588774,51558.69715636723,16415.034483458065,2222.179339486717,28935.372336391698,28821.290692829774,336.9910234629285,5099.578293199877,9999.999999986401,964.854850276276,1.0000000039295874e-08,3.023422348096136e-05,0.0003997421925619999,0.16343055966827905,0.023264972939490487
65,-118.79562462126327,763600.9904229105,51430.754146300285,49753.180370535156,17823.608229744827,2212.570606806144,26965.648400618553,24126.962071469472,116.65646460006135,4976.539037321647,858.9273094302096,1100.7548212931463,1.0000000020857325e-08,5.7633189929493616e-05,0.00028895944165323247,0.1525783071744023,0.02716289777821723
66,-176.111552031321,792224.1403658645,53487.97192429845,52302.58558363797,17137.419642199737,2214.8672261959114,27994.55376734498,18783.259648621668,96.66723864991202,4673.25629922316,9999.999999896589,984.8982514899064,1.0000000290903998e-08,4.497597801781503e-05,0.0003880768665701084,0.14208967674248102,0.023551213302507625
67,-159.48983820440162,819162.7551586152,51548.19452892901,47999.99999983038,16845.229604810662,2164.7623230339364,29968.889997383452,13799.227165409347,209.63292723023562,4664.0463676151685,584.4571258460504,1050.8120495971302,4.794626693188755e-05,3.58525482092969e-05,0.0003865593440687233,0.1649574617279278,0.02348800731980483
68,-171.04526161873275,824449.9820003151,53560.80572195706,52136.0135755945,16838.62635467534,2347.070849796807,28756.671056057254,18547.04375550347,108.14762393272822,4503.226673644083,9999.999999971462,1059.863239567045,1.0000000090290389e-08,6.231402950362052e-05,0.0003007357638698519,0.14944027130531226,0.03043814018744947
69,-122.30327467402893,795248.1031401724,55609.195028996415,53964.510945384565,17003.73809018291,2225.926663858177,27510.691152203806,24761.078468119525,136.69739175729777,3673.451878739838,2522.3049228951336,1077.818366368986,1.0000000591444653e-08,5.961856209532387e-05,0.00038790131537590547,0.1485013351067938,0.01992711112410401
70,-125.13291552926916,812821.0135200294,54234.374856081435,53125.49282081657,16587.081938246938,2499.083489124916,29400.198049841787,27070.5707165377,87.87767370818356,4208.758606369585,4151.430590212152,996.342227199854,1.0000000032111292e-08,4.354669019197126e-05,0.0003366668266383856,0.09742156791334952,0.017850368708238536
71,-181.66668284029168,801450.0990722906,54830.360954590695,51155.18672621914,17145.08936794697,2197.794977566751,28170.71073124548,15813.705409911438,258.0886657111366,5270.239985552935,576.9692425990119,1008.1496889988709,1.00000000172418e-08,5.7118569233216984e-05,0.0003611790056963041,0.15760292812207286,0.03376744654624251
