sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
11,-329.1332389268098,728068.6894478919,695930.637809387,119414.59445198438,59740.13305292736,17379.73789645653,28280.03177955419,1594.0616556875877,3395.5486236745696,2675.782151687405,217.50393022506458,207.83444729879554,831.3859079716406,0.01238267994439288,0.07611115347123004,0.010982072759977674,4.401082746546046e-06
12,-382.9355631212536,701123.7855016174,677530.5313773262,125476.95960426393,62921.341963243314,18230.512096659888,26669.57908552471,1104.463656361363,3411.1155108235494,2611.3621861707356,489.13012362946904,386.17209434456737,1114.8648920847331,0.015367370377416704,0.06817634955926981,0.01082759463385665,4.1570002825551184e-06
13,-407.4229942878902,702340.0456910317,599218.3200620728,128470.39065401675,61890.43873656438,17620.715715446524,26821.153079393775,4033.9072549306916,3656.5793692730977,2688.871628749702,855.4165722939891,342.86462902095343,705.7787873870249,0.010009193510511818,0.06956720635696505,0.014940315869835281,5.231919267545279e-07
14,-313.11987148921264,732248.631737042,680012.6299088277,120006.73239436482,62441.311018586355,17330.65419097993,27303.39463810653,2394.8747451891404,3379.571477059336,2759.8343368860274,238.71868529211696,332.76984489330937,859.0154061138115,0.01063732228192876,0.06823769850469659,0.009250160093843236,3.435723551592067e-06
15,-308.7822839673374,696843.80917084,632010.14323077,125718.46017354434,61160.28198155016,17891.800492158847,28396.68159773242,2476.9758482957363,3364.4862247005894,2792.8195648634364,621.5794906327039,254.96751585865144,872.7864445040705,0.019760561994132498,0.05372263747995853,0.016117661237346436,1.7180503754017517e-06
16,-283.24826351778984,732581.5236689538,708639.1597238054,122838.47412987829,62219.472962726315,17735.595846826327,27906.514182429037,1352.590830859981,3282.7128509770046,2644.1315699111083,338.51948576287737,313.31380485050107,899.0957645403794,0.011258485934730517,0.0593728824260411,0.012503546755060208,4.9534296905848074e-06
17,-308.99769564660903,739739.8962225607,720259.3950966011,126507.02446307821,64933.567357073356,17485.930090512295,26629.270870087174,954.123319461033,3304.9499167412296,2667.8835837394527,615.8122924502129,478.5664532480248,869.8367957621832,0.0036929249240910157,0.05947603495074901,0.011798006228946792,3.907998007580206e-06
18,-386.32800331583235,733920.996131556,708426.4132736763,116241.13195129069,60594.49958595273,17498.856914974112,28474.049652347043,2720.191379961893,2896.355878997309,2359.4539044747526,78.1107618217655,275.29937482036735,964.6129849851845,0.015561059578442324,0.042643181992815346,0.019261628357480614,8.897921233779548e-06
19,-399.5786200671497,688803.702109045,645626.5432058086,119648.41100747275,62401.19060708816,18209.38633561465,27234.34825062712,2006.3171144491566,3337.2666490161373,2725.0600795986693,229.52208579422913,295.56976778610766,955.3824755837497,0.013394374668632367,0.06294485382348258,0.014023059547787339,3.2668139577853375e-06
20,-226.43845361777312,707078.2316710469,682446.8256435081,123035.3269057318,61112.04245017914,17828.552254753868,26475.54441375801,1092.7867092651416,3515.7816062367197,2809.0670508082385,473.07922040069946,223.5360978814088,777.960269429562,0.007607450702718043,0.0644737253627306,0.011693300493742351,2.076749134155194e-06
21,-427.6525954562784,764702.0351317349,763989.7671081993,118893.33911787374,65498.25149879631,17056.040369574046,28033.094529345137,100.26378402837297,2859.486212217353,2368.2661286011594,192.42497114121548,490.4461270031225,1178.437574801184,4.946270216499464e-05,0.06763075846290663,0.009588224343927513,8.706164192859844e-06
22,-381.4210538088975,758371.7649421003,691036.61529612,116768.94382753444,62757.556836303054,16915.799720202205,28989.7362623805,4854.279954377032,3086.886271889646,2583.3141527975054,82.73047789441591,441.75208976641443,921.5159141120407,0.007777122267806237,0.059355559822205924,0.012002799145807475,6.9089741354325985e-06
23,-316.93494222630864,698518.074298926,656178.2649469135,122121.19791906624,62911.50959018466,18126.108983105405,26074.442053138024,1950.592338275797,3599.608811252697,2553.5936309040976,413.9882131592864,378.73929151589766,925.5409998310395,0.0021163759973746024,0.07962137113263305,0.016819799690095616,3.160048798766487e-06
