sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
437,-714.8776211182262,719302.3863446354,629136.3265612675,116575.72277767796,59036.74190100572,55522.023749061205,52806.12177958675,29533.60392657536,14095.290589142209,4609.636627353538,2642.3481463353173,2228.860514430973,159.77478311358067,714.8343018099304,66.74393871542725,25268.08569688717,23119.26267219151,198.11436114363258,1530.1160190703943,7828.3162980280285,99999.99999807996,5.520128305424836e-06,6.159821641151852e-05,0.0025524852495222394,0.079583558114849,0.01987534087856724,0.021774202674298842,0.5157008019032693
438,-784.8817631489837,671923.306620807,588288.3967246306,118322.71085280272,58055.35172306011,56984.373948310604,53783.79541088492,16992.497539676766,14540.656750496193,5249.000001370157,2477.4047496537464,2197.3158538204207,120.3705335832663,742.9503521728208,218.60051043067674,24200.936567679324,50559.31222494027,235.97932143964903,1690.325212878463,4831.370684382242,4939.4395910241465,8.053417745533262e-06,3.668590098592604e-05,0.012772642481735036,0.04426283019172131,0.018964910084276407,0.01705117052429706,0.36463729707552933
439,-831.5179547328833,681191.0768870558,582931.0954180302,117481.33786751232,61595.25085507768,52806.540845279516,51551.39912850757,17544.981603720953,14592.679111513158,6076.2197266764115,2516.525705030631,2336.44276558758,330.32595958138114,1120.2257098303996,124.55441864740902,24342.38792828049,26307.57857237092,91.27828747664446,1599.2008837796695,4418.380449488441,3020.519333169898,7.446966408875264e-06,4.815621381612935e-05,0.0146273054001743,0.03568745262766626,0.016336092783793717,0.022408754355763345,0.3979271082668036
440,-890.0681196946155,641493.1744589048,568448.8071847452,115558.19678050624,59373.6341997627,57664.08064077028,54833.3618898039,30088.3414894506,14853.025227901062,5663.253347397736,2341.9232510505067,2135.221069177367,186.72924338670933,779.4632820694627,29.049137442564334,24250.064878254565,22317.777251558462,231.3964252120612,1520.6904221303992,6397.983567962927,732.5869563456095,9.436927157913723e-06,6.195960408612435e-05,0.014240584243116798,0.0269706331088354,0.021080848517385842,0.017428819100346202,0.5824982544247541
441,-877.5762408618574,692752.8276085795,615223.5642425643,116028.83628722258,59651.33294618458,54241.53648622933,50354.70232819164,33776.00946902064,14441.101514914948,5137.255262503939,2647.876992823715,2301.8378669690323,207.38342173086593,951.5369314125003,68.71188714039276,24405.696997567276,51871.47213533246,304.4711528770391,1757.4860214721616,14801.992116663985,2004.4455102579786,7.474810855082057e-06,2.980278866594826e-05,0.005661783148076955,0.05450377341690961,0.015843744662993854,0.018836848657212447,0.7013322949506248
442,-825.804843311847,675249.5330937289,584138.2241960417,116451.32148722092,60070.098233775105,55121.26324591138,52007.344688348145,36280.752884069225,14719.617144824046,4860.70362742994,2722.2892629646603,2355.634557382931,222.8673200697012,814.1017111222171,73.38135160777763,24396.29859261945,29057.258920955748,262.8552865151087,1791.794950430455,6371.376138215774,946.6138598005382,6.454659331159312e-06,2.4488170326219474e-05,0.010798425064254269,0.06012873534122633,0.014077627304406102,0.013943484562369825,0.723669885973145
443,-774.3934581865554,700312.3050947341,543703.9287302732,117316.1684083943,62234.02978438452,56203.46392625255,53394.827985297874,29335.216047796806,14533.47453073068,5795.857549584279,3067.6634963656993,2389.7323096116943,381.8356325565929,1025.307518632688,200.58394258038618,25829.570337395264,35351.401958001705,210.71406678877875,1558.4975823621182,8694.767484651275,99994.82191894497,2.6379068126653786e-06,4.943122984294533e-05,0.007864876980255078,0.07034705981437041,0.01665198806375758,0.018732135072186178,0.5485579082321466
444,-868.9974154923073,689884.1015820719,583402.0202901497,116035.83212218503,59174.139118373234,55604.8490587841,51577.18176343343,32977.54157499843,14297.643810769096,5253.723886582929,2626.5090682208315,2313.340225004479,198.3556283393034,775.0870092985012,58.79286117787852,24625.284030329967,40042.638228579,302.8398733422787,1674.6250622915068,9027.890663228412,823.5985687999421,6.179073527610462e-06,2.9066083212623833e-05,0.014357553341438697,0.049457450544126806,0.017343042206900316,0.02322778807841334,0.5495146939100067
445,-815.9198791904488,692180.5816109084,549871.4511569698,116971.81701403575,58299.57344389365,55563.90185409655,52968.98221170443,24871.311828519472,14093.605828313446,7846.177048510121,2651.0596431282424,2434.863579482731,133.18846330909918,708.1629688440627,104.00883903137435,24995.189743235424,29047.43827140648,201.3167324319428,1496.71009305528,5719.170335063164,1106.309201903271,5.9831701411183734e-06,4.979106442508178e-05,0.012393518747166635,0.0428150259127805,0.012777865627962893,0.020067538724845787,0.4753885112597981
446,-753.7213202536618,685605.5209548839,601631.0987277788,116168.66231890713,59802.607446284084,56178.469960510316,52592.66432513395,30291.71470516014,14389.155468593626,4966.505510410883,2640.8820197451187,2166.9988322789673,201.43740825567053,803.0735574786953,77.91589069997522,24043.302005298945,48509.62322202154,295.2057639993904,1669.1475399848212,9364.44535468803,9404.678818956494,7.364235427304418e-06,3.080251072798925e-05,0.008568339990390072,0.06048670823012764,0.019903637595254802,0.024811098388060247,0.5556699100547379
