sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
285,-575.9524965149578,785843.5102931927,731468.0509178325,116998.03983877892,64785.89989087861,53436.69072193097,364983.54960880056,16833.21351723854,2616.1289424446823,3177.042554861526,2774.772637621274,71.09336474946585,556.3648626334746,1152.8957728530816,40116.240681966265,5660.668896991728,640.7122368307607,6.204065897378758e-06,0.0002750864854668793,0.18380576026897455,0.03771384443991185
286,-564.5933944321629,800509.5970306474,744439.5128472843,118419.88943218904,76326.58193368705,75284.66072000154,287593.2886304874,17172.401011674297,4384.162720451355,3090.929388460487,2499.0159102775215,132.4674711428942,1183.429577777773,2030.511639954709,43543.903452894745,7550.83961196168,931.8459519665095,7.795104396629509e-06,0.00020561580984779167,0.10293109755186507,0.027770735729752794
287,-596.756156812063,743656.3091434631,742287.4072583303,119456.45888962496,80771.92334087644,48777.15141350931,362763.36680199276,17674.73417746166,100.26258526577976,2909.734193935131,2506.334191447672,185.00209755373095,1473.7015587694784,1710.2122943959025,37226.00233484965,5865.949105338369,597.368843840253,8.55675145745344e-06,0.00029160598627937995,0.18712821785941142,0.02975064473131102
288,-584.3521100790873,784189.9774534133,772278.3081365707,121689.6033491967,76044.70109762068,55719.86111907876,438615.88910758257,17169.477028382393,917.9631724202989,2726.393937495694,2759.7877820527865,270.0048115416422,1436.5065675610294,1903.5297469160164,40287.08320308122,5652.16628749885,650.3652070885898,8.310308116337344e-06,0.0002745195273796554,0.16456131804664506,0.060905684018189014
289,-635.985070404028,793054.425269361,745543.9242291637,122474.54964724231,70223.61055597638,48000.00000050108,290750.33525570715,16792.806906296104,2826.1407953697358,3162.8184186404196,2787.378826082588,390.62158202971386,922.6887899743267,1585.6859902893439,41624.666521694104,4770.67825903269,544.1742848597337,5.864582927505423e-06,0.00032885428801393785,0.07875229122886197,0.059186136838858934
290,-571.4317565888589,766934.0377844925,747902.2007231418,118965.48206072839,59787.379709684596,50019.935006443164,359211.25801287993,17313.556000352226,813.0929613428898,3377.599704033751,3030.6036900592608,162.33727945354272,251.3121807014657,881.6151725294743,40402.80908724268,5141.140601646717,571.8086389430517,4.07142371511749e-06,0.00031126581475950864,0.1473923868323514,0.0482995248172695
291,-681.3091615491962,750605.3973173572,729862.2370034852,123256.38519004553,71874.37116330578,48000.00000038614,395621.60484928155,17740.720272612216,1224.029180837631,3207.8257434900556,2778.7906467386924,305.7083443910957,1077.6965399326539,1511.4169345023492,41710.941805839306,4194.869480025731,509.1235862131628,6.966758533612799e-06,0.0003569614597141534,0.16965697747375988,0.0535574698362806
292,-524.8222080371418,721813.3922847724,672683.8532302611,119743.53446399071,64447.10494399491,48000.000000104345,274486.97018393263,18098.722759856624,2598.90587843243,3264.8468371315935,2736.293861683107,219.50256471497124,514.6482399392436,1243.710674430409,40774.616037842316,4706.896670308001,513.767744088052,4.447920682871714e-06,0.00033084997368883467,0.09010578327573562,0.05561095643852686
293,-603.066185899874,719611.7389737901,696066.9040730917,119362.91490921871,65880.26247381914,48000.000000570144,225844.46984410778,17973.028489261636,1624.7961298252321,3187.872432469132,2895.963579121503,178.67041462096577,546.633393639426,1530.4247833428155,37692.73573452822,4954.559605667953,546.6432996571943,5.611347481095152e-06,0.00030448190364378345,0.04376218347792783,0.05764876530068179
294,-669.0653558340564,714877.720697171,701232.8085302061,119986.09216048593,69986.38251440365,48000.00000026157,249242.83594239934,18130.11676169265,609.0092213187044,3562.6409144466697,2777.137510738017,188.17838334150483,934.0860089466788,1602.8459178993935,41020.51126337847,4178.406243087266,507.2825132859507,3.9223127599426925e-06,0.000374238783302905,0.07984048443713375,0.06712738751764627
