sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
20,-616.0994584147318,767193.0627422127,713605.889815538,121541.14606257813,59340.32113783034,55796.9955387376,54084.32615019154,19026.372159176855,16775.285161424697,2428.0168524902692,3499.2752900446217,2863.970736313139,156.0254905268888,734.9619272413163,392.4624812225045,28602.651479585,22462.822129844975,137.86232630372993,1532.7099421530017,5656.493636102292,99999.99999999096,2.5718066173224716e-06,6.514847405563976e-05,0.010587545256282999,0.06276634193640344,0.01129898161097246,0.01672030627301347,0.4460459407499169
21,-958.2454240048371,726507.3834616693,698548.9389643227,121573.10156837589,61961.224808863335,58460.65770085923,56317.9837001941,34444.22484001518,17416.388882788222,2360.045588559956,2991.388334859288,2692.9099141800507,317.79408192409926,1008.9921974925245,362.2950960452359,27818.71498902576,22796.44052891945,186.5462126807914,1492.0270313114631,10320.524728739429,1390.3220216710733,7.200398463626554e-06,5.406480014662127e-05,0.010069994723330322,0.04341778401715324,0.008852913619770988,0.022376443843565203,0.7403124794195097
22,-775.7083440162113,740461.1989536213,700047.3899553457,117548.69986461247,61495.71041822519,57460.522875668576,55035.43611304352,26999.645841415855,17132.507751793113,2279.334461102583,3260.5416575700087,2831.481270683337,350.39317212027527,916.9830485700085,116.69676335201481,28158.568522642836,28933.93758890726,192.42089184699816,1515.228988813622,12326.46260746267,99999.97084494297,5.316220854056695e-06,7.263204835022841e-05,0.011447910507741786,0.05886185813565195,0.00889750193595522,0.01752699400505002,0.6002914331485957
23,-678.2567537274074,741903.342083142,707304.3757204788,118264.7381086526,62011.179278365205,57941.62013997951,55270.59735728662,25826.689849938786,17297.830459166096,2220.0091717760565,3242.982736891256,2504.759203689021,346.20048188582064,941.5808751787765,169.12813022264928,28236.432449238808,19946.62223387631,191.7817766632797,1575.1167716527777,6616.765053273336,3245.923461847086,6.223567770873336e-06,8.194229882398653e-05,0.008593851186506388,0.06778638990231363,0.014842854039203322,0.01744571826716491,0.5005765559350754
24,-921.5932369469704,741070.0654699709,713545.3949145084,117952.66255866888,59345.55242369179,58528.77481808531,56130.17305170066,10613.207735323787,17406.524189702668,2380.6482240395785,2739.9960963539984,2506.1821120623986,229.17157121387308,858.1707640489286,141.9518406301631,27904.65358695093,18129.145602168734,175.84831578483409,1640.0677569295237,3872.1186213987407,52989.855761726816,7.434781915288016e-06,7.895146012589622e-05,0.004624009070869071,0.054465854286916124,0.012906918451382362,0.014235800731367942,0.38057251778403145
25,-751.4238851232361,767397.1978528849,728910.910095682,118500.59842852618,60481.58921121419,56410.52361868774,54221.733869641415,31397.736017436804,17041.823564659928,2236.499404120525,3128.5458509395685,2563.3017451295195,265.8558999033299,982.2498643536411,181.94949181537729,27498.461860038915,45194.533834356014,190.90725062915376,1726.5755847566907,7955.624556293183,783.0594220936734,6.120087117153788e-06,3.2793464303068685e-05,0.013112416317024207,0.07487363216727388,0.010094016417449763,0.018271392584389916,0.6744521832775521
26,-880.6065330778938,721907.7711645407,694762.6810892662,117492.58618917759,62206.9348761727,59307.72642787076,58232.15925635468,27731.36534070791,17009.930131629855,2321.22604778186,2673.199998121882,3059.850630426147,327.80861276912054,814.8199908076087,95.37102082317432,28866.231282295226,22637.880483981367,86.55919631187946,1508.422316991605,6758.655995402342,4559.3299323743195,7.507237039578863e-06,6.277383458166996e-05,0.028502002155460417,0.009090006849991979,0.005613858002160644,0.016119752239182106,0.6004594144285631
27,-640.5490020865202,736748.6720929348,695281.3160395273,116626.24581596577,62632.24865287943,60109.45971204737,57936.758019949666,26892.850039842837,17551.494146937694,2393.4639423985377,3147.3582660257357,2513.1698208445096,397.1860733641578,1165.4295080038912,89.60398394720154,26854.75592948377,63476.66334340712,191.72661327566271,1841.5557180693577,4236.935241089252,898.4401234162365,5.9843515432371615e-06,3.6809183097826397e-05,0.005045596278527406,0.07273719044704484,0.013451988526028942,0.01982324329616302,0.597921128638299
28,-694.9145061420868,740802.6183238273,700372.4553799123,120715.26725778314,58342.944400232125,55090.866532889915,52883.40294853147,24824.43734668052,17514.943188904148,2350.789690881208,3262.7380949263847,2815.747614648212,121.14913537329996,678.8309887698018,329.99581377990916,28747.098832757238,28361.5285079799,168.0805618210578,1504.7676251218713,5877.9853916695865,99999.99999900775,5.384389841669509e-06,4.3576264324499426e-05,0.013210352027162526,0.05140642181202544,0.009843779629615952,0.020922813289260656,0.45037341312233903
29,-762.1939311283656,729483.1999162199,696079.457697062,118018.37359783216,60367.86405775119,56438.640943636216,53669.41009174906,30203.673005325334,17517.368457142707,2280.138525629835,2892.096367997199,2505.363891316557,262.93105920891026,771.4299363977271,128.02705347632806,27240.440540343447,40720.45775985829,214.79333211664897,1465.8336467208476,5956.83662632528,1669.0671946759712,6.472638297595681e-06,4.66600430241106e-05,0.00906707330854279,0.06717575022024806,0.011743601743638771,0.021388487742954862,0.601578003622572
30,-755.4394467046827,747412.5128425383,713275.0085615646,119351.93282839133,60829.680868335614,56427.6776129948,53736.47123967259,27133.12538642287,17534.06440862137,2322.4657315600966,3405.1147344293577,2713.894593016751,285.3741506442219,905.5445052159048,207.40397966050864,27881.95763707815,30482.480508469805,209.712857024629,1478.4875120519116,5159.076196325491,99999.99999890702,6.142147694635248e-06,6.726747135502185e-05,0.0057804362241196715,0.06157142876157838,0.009422495860536397,0.016573679004704474,0.5575821131196542
31,-910.1216410692401,731434.072303272,694443.2903859485,118764.31229759094,61213.89614473657,57093.28702129376,54860.73920954813,30463.20791584614,17496.019620126754,2268.847137087735,2977.605833272689,2565.0319784979524,348.2526576887902,790.7302300926401,205.00012958540427,27397.253901079283,43256.00020986249,188.62615348790055,1695.665518201653,8575.237236872355,3045.0095904197065,6.042392110343844e-06,3.619284169142684e-05,0.015300490093612737,0.058107489889235864,0.01425585281983294,0.018290913644295245,0.6429273723755122
32,-870.4253133494688,730828.3268529203,692228.1767101826,119133.67077162267,59627.80249887812,55031.438017073466,52835.00138843418,34782.231526386444,17422.39607581249,2385.3940230447192,3058.644919609093,2735.60163160528,205.86843291085276,741.811887316261,214.26779059966205,28286.773155302973,25849.68809760402,181.22190822752063,1646.2743630774523,8424.99795888867,1654.9043837106508,5.629485995603699e-06,4.140539772070257e-05,0.015981521569164374,0.037892484795358915,0.014494126394877106,0.01559745954109677,0.705878897944594
33,-748.6115575361853,743074.7318795285,698136.9871494694,120505.39764999166,59023.570930712245,55181.34417729692,52748.55644831812,14549.477434357177,16862.104750252485,2322.3848306082077,3134.2237183845,2779.8748084839217,164.04337256047356,670.1801532509766,295.0707003658163,29466.948013923775,25431.257218079973,163.6546216985926,1370.2443357505213,4437.475255945077,99999.9999454584,4.1908375854650796e-06,7.768070210767532e-05,0.012899852997822377,0.04299652906441638,0.01254521811231042,0.014234946514541554,0.3456221015790315
34,-791.1582057287437,758313.308116626,715941.8049325171,118693.69075098717,60541.88624139064,58333.11111878187,56179.48494719533,32758.817826946768,17354.454351163604,2293.975310091506,3393.9047896908487,2724.73174968624,274.66562748445875,1058.4373813294103,175.92122127768656,27976.851874511885,37005.54772743795,198.42448757520668,1747.5686688302146,6162.562922840714,2241.7175557792366,5.555071638649127e-06,4.2070238570064706e-05,0.011763438363149295,0.06937232172804238,0.007617609896091286,0.01430300183779552,0.7045249710985527
35,-678.3916443426112,769134.80829819,726194.1934878585,120822.9577056067,63484.252240611364,60376.292869929755,58038.544968088,25722.30504184517,16939.561145949152,1930.919555073366,3595.0813570056584,2682.352862387387,497.94651527313823,1047.481400197381,334.0576650157049,30068.382953930763,14586.229382586429,176.78775068111455,1361.489792502036,7430.992817033585,99999.99999999895,3.5710091235619517e-06,9.259918684035474e-05,0.00753248716346441,0.07895035554824369,0.0092871825934992,0.022258931711919398,0.5962288974077884
36,-1013.6857919565487,758203.6561081033,723533.5401451237,120126.01296859846,60501.17827462258,59600.62671896332,56901.55441848392,25210.20734647514,16975.270899718646,2297.015611179146,3194.863405703926,2636.676799528025,335.1830547426764,861.0516263993285,249.39732451272317,29586.662191742293,22574.71459736423,201.4079154103527,1510.063909960057,4831.623337785633,99999.85877986351,6.43620242555247e-06,7.816887156300937e-05,0.015519926927945911,0.058904246861202963,0.009185742306950687,0.02317437269017615,0.5443925357025915
37,-775.2821772618088,760891.7304633007,726549.1680440793,118738.44796812828,61112.718158845986,55847.03205317298,53075.48183804796,23975.22808504626,16913.89450557709,2323.1421654370856,3100.9503912572886,2633.6252505623806,260.4098422650935,1043.2393580745659,193.64247423002047,28439.967953242052,34578.03594869162,207.30797075159663,1678.4362398574983,5779.946095200216,8214.305801672945,6.34373990179906e-06,5.12950759797556e-05,0.016060608564717655,0.058354688693859,0.013801744209777545,0.023233011155852246,0.4918498055172312
