sample,ll,T_NDH,T_OOA,T_LS,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,m_LS,p_H_N,p_N_OOA
20,-193.53410978265725,790287.441664129,52212.63285607565,50894.79017103831,16541.17402156757,2645.683263988283,29738.369098557723,15876.38480537777,93.94416774190935,4858.563129886269,9999.99999991915,904.4357906262077,3.988096786516662e-05,4.82687855528581e-05,0.00043084047793942907,0.08552801370762021,0.02049769404362713
21,-140.0603999728428,858046.5910624823,55118.723049097054,51912.24359668885,15990.48895344793,2398.5303155229894,30920.107821449332,15499.114146984337,223.67672490308144,4942.992902958215,9999.999999994183,912.6794409009037,8.05226021391786e-06,6.488879771225762e-05,0.0003478248815492904,0.13471966252969136,0.021291936499341215
22,-139.06686099249544,789821.5726634553,51527.69903000912,49945.31274100811,16616.68811974892,2521.906732529647,32814.88391912578,10652.865815348448,85.6714555096057,4710.598921097985,9999.99999994885,813.5360353773832,9.810852402111822e-05,7.220630703861858e-05,0.0005287388977106443,0.11592535652110415,0.02063384566551067
23,-123.63506011522973,807297.26808417,54299.54116320276,52406.54986158558,16742.893828767577,2301.2971512806107,29772.473608187964,14805.034292620168,119.86249962867693,4729.956603047013,9999.999999905896,994.3889017477594,3.2389450865604804e-05,7.46594301463611e-05,0.00036294008042813097,0.14896264454768354,0.0229671207423662
24,-150.40555667372456,827168.221797625,56643.23818207272,55323.58125501863,16681.903588036355,2277.7442059208965,28790.317136947822,14429.111931451112,99.33500408583264,4107.325691732146,9999.999999918331,991.2579161087331,2.1685586338509483e-05,6.813992485968803e-05,0.0004281676820629232,0.155784234909831,0.016380266569479583
25,-185.6641642216781,843721.9902202815,53026.9585292937,51557.8399015609,16076.483403862574,2551.21911005407,29062.661208461624,35522.187105960526,115.48616631488255,5039.209540559562,983.945822384669,1037.432593671844,1.0000000052769683e-08,3.572957546190628e-05,0.00037419560545241495,0.11678716613637291,0.02093231093900021
26,-146.12654364850508,794404.0297719733,54421.463186704605,53264.21497374345,16366.701623141635,2461.793330047603,30711.78803271429,14449.542990495904,74.8222770280848,3909.6986699386516,9999.999999911654,897.6228296687526,4.245277038153659e-05,5.4198863822852866e-05,0.00042199984945860014,0.09897129959368474,0.01446311806877824
27,-140.10619402532194,815570.283888483,58408.91819077043,57019.186508609935,16556.363330491295,2552.274568002314,29192.8387139631,27623.58043388306,108.75198830885329,3303.898797908149,9999.999999966773,1085.9104116180783,2.6922050544772826e-05,3.751690220430732e-05,0.00042237731654519136,0.12827609273330093,0.021325201392643357
28,-140.97390973906448,813547.8456133232,51016.524307064756,49926.890060402446,16616.876978150747,2531.3763281525653,31119.694031769373,18575.442124343146,72.3489162522287,4988.641944175704,9999.999999993259,971.9708404955362,3.462722469229005e-05,3.243026011325588e-05,0.00034390907604784694,0.0973862091342321,0.02561726834898976
29,-138.83769115604636,776165.4407253736,54458.70183026339,51704.77635557725,17223.586298420196,2207.515426792686,27384.896075795856,32830.62134837274,198.91102989628496,4316.553098614034,4133.046088816701,918.832556488192,1.0000000037868784e-08,4.504859195320333e-05,0.00034582771477555466,0.14574565258821703,0.025980619787617166
30,-147.34188494506526,754072.0492294168,51302.96510949736,50453.072013922865,17839.123575232,2430.3744176911378,26637.83319995659,34920.52294976195,62.38633133568857,4222.728636980661,9999.999999930518,937.7653292100081,5.584131170357362e-06,5.153054740053622e-05,0.00036054321264919237,0.12525781452798498,0.021540003511613236
31,-189.05772858909543,786126.8621777364,53196.94840161762,51579.036630335,16936.279652600337,2446.0754713073106,28606.391193345877,33088.55794655094,125.68203262019607,5236.325608254265,9999.999999949596,1014.1456117004017,1.0000000254025906e-08,3.665223714387012e-05,0.0003768416390795929,0.10767880790005675,0.016607567626601025
32,-163.1152494602101,814437.906559149,52718.89070788753,50686.07648730512,16539.45715728861,2622.3742405471544,30651.662632130166,19362.24736478067,148.36610572605585,4835.508283607518,9999.999999973203,1041.269026942246,5.65007317288391e-06,4.975402668497375e-05,0.0003184172516973516,0.09326507679493051,0.018531900436854272
33,-155.9101524827159,760729.4094287344,53713.979144219804,52295.282959876386,16892.798245675593,2463.1667011592067,29180.433620562362,21332.408171715528,98.66481571516482,4959.687738715115,9999.999999961177,846.5538962192701,1.4250643723807899e-06,7.219240161089319e-05,0.00036352831470548656,0.09203270302871017,0.019074178475564904
34,-185.37760520583876,772826.9495937964,52585.171177264725,51679.81638833747,17350.129553941086,2685.0846433734473,28267.670420553477,27642.094098744565,69.65870965657525,4372.26633081669,3576.5701438797105,1109.8665545211536,1.000000001909159e-08,4.479464730460019e-05,0.00033966931385384224,0.10396943447794735,0.014912674969807905
35,-186.04901842966734,789510.3559515529,53423.67697894968,52512.56188905798,17016.082483388473,2343.9496015686964,29040.18828659132,14548.555774269204,63.53425427854176,5038.124113024699,9999.999999968602,822.3326892204682,1.3316494035187835e-05,7.243476498970807e-05,0.0004525437458911923,0.14058207647839738,0.026688990925157356
36,-231.54428501010727,799380.8187794533,54967.294829568746,53775.81904552287,16809.134116225607,2451.354351485332,29063.35758832122,28678.014377710366,90.83119064081723,4105.270093417919,9999.99999993217,950.7374543054799,1.0000000093565706e-08,6.477239067966215e-05,0.0003619194034305914,0.11813397778627503,0.024499753105711224
37,-182.4126972110379,842388.8054464753,49660.46640259125,48863.43486248712,16471.154428725415,2256.14570756171,29347.890994581114,25792.105565103877,51.89655163196446,4154.5760936596225,1971.8647484037415,1101.2736047461112,3.809284638525676e-05,2.9315463974574394e-05,0.0003504187046736961,0.18131061343842314,0.029344424594906954
38,-225.8531904607202,806207.5098084436,53070.92900859233,52526.35304899711,16927.474231938493,2387.6685908320815,29650.151784920625,26426.99338832165,42.548937557247726,4632.3966331027505,9999.99999992732,952.1730149496857,1.0000000104500321e-08,5.4656773718150346e-05,0.0003735905111839863,0.12141621470446118,0.018495297279953336
39,-106.8665445090832,836162.4824770428,52969.49510177898,50209.68537302867,15886.280697165506,2330.262523561691,29740.321102897087,16133.418751661658,176.35843542327007,5078.5921418522785,9999.999999987396,1089.683322913476,3.6010654901242946e-05,3.9880190608578696e-05,0.00032753662372809827,0.13857998539436547,0.026689967029273568
40,-299.70791423925533,803447.1222222217,55906.882722340946,52177.766816026444,17116.305481956948,2348.133568575978,28033.87297550563,27265.19717084085,296.1013343844916,5539.503000096027,9999.999999975424,927.4722895297152,1.0000000079265714e-08,6.15009035298422e-05,0.0003613654896594721,0.14512824755617962,0.022176340574689028
41,-180.2074694575896,814424.8575821363,54388.809215791225,53130.037115073916,16433.328762638022,2469.5138724883795,28464.394139271386,40463.17442357469,109.65625509086254,4211.7654207081,9999.999999939186,1048.3126920480138,2.160281577667298e-06,5.035867491019805e-05,0.0003891517043708544,0.11863471975453929,0.01905567484353953
42,-184.9457538487992,794399.3057410979,52020.756983881685,50227.68267739807,17140.776012021357,2550.0890391016105,28448.395113073093,19076.77348288033,133.99428666727235,4388.969586660862,936.8308909455142,961.017002942944,2.142417532458301e-05,5.4184227354848837e-05,0.0004109600042304208,0.11914669865715027,0.02127034127618716
