sample,ll,T_SA,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
54,-274.58181836427184,1648791.9195442381,743289.9885043986,719751.268723719,128616.94724000915,64060.95463011801,17569.258565739703,28151.17073635422,984.5211885459888,3611.5511827714977,2602.246878827638,822.2264988555977,474.7746193692718,1027.2340656321826,0.015582661884183299,0.07096855521993228,0.012037309138273118,2.7926195023221596e-06
55,-247.49454165984633,2388752.592662102,749051.8464083597,673457.8873700366,124200.96086236136,60941.85894212025,17227.6534234657,29021.553761479237,3353.5106143423945,3504.1850692597022,3076.4089029421893,501.8406450590722,208.85618724054237,670.2417199638871,0.011140953164099313,0.04556506632073549,0.013321041669721662,2.7776402322238383e-06
56,-363.17343734352346,1416335.9604142052,761402.9844257,599651.8232624072,127943.31620345969,62350.25879777233,16967.554165645215,29869.708249203806,6752.75114037584,3187.6914082132453,2814.629191710045,868.8503579391543,304.73382089383716,878.5233362786967,0.03619793535165609,0.042769751319678986,0.015367528857228063,2.7483536244452583e-06
57,-308.53279564656964,1681822.7838407075,733692.8243554517,717554.4929126055,124036.11638382458,61237.92196206611,17682.706026717016,28685.864401500505,714.2021118433347,3442.8155245561247,2922.479879086367,465.55320150912803,234.0709055929759,891.299063730132,0.02125115580642257,0.05298268589506739,0.008734129177982828,3.1443354294193205e-06
58,-351.69054839702767,2228043.423793697,755262.8536514099,719686.8216094178,119049.3331599202,61777.282915908865,17133.6335409985,28586.68040599487,1566.5740365897489,3393.3089642256973,2840.3011742886297,172.25778872338347,291.00598011073896,846.3345335748825,0.010872758694805149,0.05909275581645145,0.007372172980879643,3.761765414481804e-06
59,-326.8974943514955,2454980.3707012325,780659.6575562338,717129.2446990621,119625.62711848406,59091.80606499929,16854.416817531244,27779.45636752408,3131.2733301868275,3428.517218615211,2762.5632650283746,216.00198600616488,166.34520383314552,685.2781357999772,0.009015429933340723,0.05949580105652048,0.010519890873990608,4.335165956458616e-06
60,-457.2352093361203,2499999.999999757,766802.1922446174,729047.5123499552,139219.92305134254,70446.6253801274,16859.736880740802,28128.907456231125,1254.4107745212966,4131.60373565563,2851.628698305518,1527.5462671612643,642.417993452421,1156.326690785727,0.007859407626129541,0.06246460795072401,0.012834755042452406,2.700253619380422e-07
61,-274.55016734955774,2499999.9999961066,796408.697175927,738490.5643344063,128617.69317471521,65478.69716033252,16484.98409791833,29916.933090873717,2478.541810172756,3565.989287564795,2899.2534591719836,725.7503605978264,483.2301019456023,993.5914410075701,0.013514065000926542,0.05944576291993879,0.010652979576949202,2.659675040503312e-06
62,-330.7969133213308,1000000.0000015538,781429.6081905507,722768.3554329171,132739.85571537458,63033.861833766954,16779.506404552605,29576.187793908215,2212.773058893411,3498.7983708768943,2825.7544269479413,1407.9174810030363,323.72321955273287,1005.0799806334448,0.10305729134661071,0.046735101267818914,0.012883554336978319,2.598791647217863e-06
63,-355.7990451021583,2499999.999990622,737606.2076481113,712399.7166445289,141972.0588326095,65635.94398311868,17387.18587921668,28826.770199245457,859.9801779053018,3827.0761485171943,2877.879147259788,2440.6316597574537,492.99051710748546,1225.7613324946478,0.007265959806838936,0.055640601390916776,0.014106216540332743,2.412512215655457e-07
