sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
315,-469.90716248864896,743947.9567895315,698508.0868478044,139425.934323936,63730.59719242359,17473.904516815033,27964.77510011182,1563.4855531820585,3770.7388079571565,2936.6471948150497,1680.6159821024917,398.0143213977422,1004.6257514302389,0.007629381040329395,0.06079014745017639,0.012182242732149502,1.0000000003382805e-08
316,-540.7183037880228,727143.8490500957,658760.0491259359,119789.60184733773,62924.7297180518,17695.866012448772,27012.097541881798,3219.569973943091,3200.4495861031164,2873.506135868076,225.81190541041644,373.65541346809675,1132.7811725995555,0.017251043781760886,0.05474950022850414,0.010924749459407504,3.5909436249518974e-06
317,-258.870939322454,782823.0794690015,699775.6627244322,129354.62366334921,66570.71167087142,16482.06226575733,29750.62393923384,3382.03794967478,3548.742472710521,2757.3946931922324,1040.2282627280297,511.0419851341431,1310.143743006068,0.019702390152693042,0.054313058783855346,0.0110149011554488,3.312511611675832e-06
318,-488.1220485951676,762999.0732916043,746834.4414325274,121496.15768432975,63005.111063592565,17124.901690016173,28730.599488436583,722.3295185685453,3289.4592014663285,2788.300937776623,325.4432536285084,308.9355575541539,951.3019217822123,0.007078877800341285,0.05575941538412198,0.010872106408824533,3.1990143175036318e-06
319,-367.4273886212758,760839.6526117764,714430.6906458222,132748.162057315,64729.79723654841,17244.28103014303,28209.110342466698,1868.8585757572448,3649.5254214064353,2854.6057268108743,1179.429588664923,396.7768217190127,1040.9461261534523,0.009837623113018184,0.06009729704894465,0.01201526557424027,2.078870005670206e-06
320,-403.0761856755687,771544.8258438963,724786.3232753592,126350.73647741933,64723.3765034092,16925.36854534271,29231.578349154817,2504.2730751192644,3361.1053527112117,2727.1439423466436,640.4220599067486,464.8134137839406,1050.1829382000767,0.011988737329168293,0.06231256275442738,0.009528193313319722,4.490318770442293e-06
321,-298.37708846941337,746569.2644050256,694759.8295529245,122191.04681752478,64174.315923685775,17349.917752837788,27603.01664560349,2497.9529389404292,3351.6016725850254,2785.438570942165,359.08044764006485,428.06131444847085,871.6898305164809,0.013509208559178129,0.06024553206817797,0.009266465980459312,4.14601392148182e-06
322,-274.33554921751477,754421.8082012907,722350.6827451014,122685.29747584365,61556.19030622253,17332.983485362623,27643.09519498039,1556.290058589957,3252.340657343375,2755.0921290186357,416.50412910019304,348.56639967619134,922.1147772885795,0.006423880334589937,0.06634811998029776,0.009232456179100438,3.7383429385387345e-06
323,-339.66480448410476,741150.3668133693,673807.8048232992,121972.2591801223,60395.77198895175,17221.026963268432,27821.27152294081,3052.7932396273573,3408.9561795853865,2837.3998493424474,487.0610465308664,219.33696374086463,954.3562819394976,0.018799599297979617,0.04819960994627585,0.011467620605125992,4.068739661100603e-06
324,-371.6781596807402,778661.7188793797,691194.0661418661,124399.00620104242,63847.76381513622,16637.077543132982,28933.36117890017,4262.188910559523,3111.786063072483,2600.9339942060737,559.748765940115,384.3274867201507,1146.2487630886128,0.01228815143226365,0.055219893951144745,0.016618079650740906,3.924505094265667e-06
325,-387.1156418503771,774422.0390443547,598502.9160274781,128788.38939691988,60217.05955862653,17040.64531944425,28612.090132538397,7044.877597346811,3614.028079269381,2811.027215491484,1079.9266097148502,190.81505439587866,663.429016691688,0.007552772682586209,0.05249469512185602,0.016140788313064185,1.4281483196340378e-06
326,-364.50294703731834,767528.4584331746,696439.9582521102,124024.85278195006,62078.72671136326,16906.32065572828,28721.491364926016,3135.4742521786898,3483.615122088547,2760.026061062301,564.2961090416052,386.72330647932694,962.0882166373378,0.0160916097828076,0.0636725262505238,0.011102752305863602,3.5288036418888344e-06
327,-329.7675131386204,800753.0948936287,695099.6850768033,119792.11301295849,58483.70689188718,16671.999961705475,28358.798782144986,5683.331552965863,3374.623797646707,2583.6526236941827,187.0062047447677,127.68658766320071,629.7151069015763,0.00889362381840008,0.0774918512153585,0.01115699453372825,5.22324812747228e-06
