sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
39,-732.1054128798112,911942.7553479958,847382.5105670748,133822.57288395075,66870.78733870547,55451.96985864252,54032.08838121233,32539.544433004314,19723.456612832924,3168.4278553493937,3999.863810083801,3498.7347445570404,652.7951611498114,1273.115470850265,951.1853715568525,37778.966567308205,24359.047160578022,107.57105850417781,1456.0542329414466,10299.808166809325,1535.3275731181325,4.023367095831775e-06,7.350609246775541e-05,0.036691511537088835,0.03846655223619154,0.003775120763246208,0.019867164942398943,0.653619840459169
40,-756.5218890717742,908639.0518382473,857457.7070681707,129912.13593900336,68694.14321023117,57394.44620021536,56103.88364147484,32099.40526803202,19986.545479868364,3143.225578812123,3643.914945678376,3213.2234023798915,858.961365228152,1364.1056637528982,575.9133864686543,34372.79794849934,21818.244253969857,109.15121249170151,1518.4024006680083,8303.597675765175,2614.3409175931833,4.856922636424675e-06,5.9181411786857354e-05,0.022724697086393165,0.04751742452937082,0.0035999124706284605,0.024136844444314586,0.6713251320411443
41,-885.7311771392934,924093.7387258788,856471.7983510422,139078.9910498925,73446.62398088699,56365.31068170993,55263.3784769089,35957.154741375816,19843.043062998957,3266.4299138302827,3590.6702833691797,3267.4011222821246,885.9669763809311,1487.2991202528149,1137.1000459887566,33259.618314014035,39596.64408825293,109.55248403482453,1808.6503289680147,16666.86147691958,374.12390387020906,3.5782284859356413e-06,2.0085942744637074e-05,0.022904849625108102,0.05185680472565166,0.002530412007616024,0.021262259561486783,0.8052966166036344
42,-824.9024031045412,914254.0337752121,853575.3049713542,138147.96727280668,78839.07423478206,55667.518788431626,54256.87242157365,14193.250330343082,19422.831314180046,3598.0691494151793,3851.585563848077,3245.8732642742666,1202.3545130505906,1968.8728071035612,997.6747302717773,39183.97867248981,18540.054816031807,94.42750679513938,1539.5571541956588,4553.103436794665,99999.99999653878,5.01763984939159e-06,8.664777396589739e-05,0.04839103937587319,0.0399768800832322,0.0007876766474822016,0.01335174587767447,0.3434137544359161
43,-841.062650721782,930728.9745797057,868238.6482438666,139379.4710237629,68759.15165912978,57346.94415527496,55859.980863738645,33715.03019459635,19664.134229762385,3291.4870074276105,3828.4183749213735,3706.506835378439,599.8856177226636,1312.2919001425764,1100.3065415712006,36914.02374511324,23379.63126865015,114.2632213944234,1493.01398611225,16232.58075923659,99999.9999985276,4.188589963255173e-06,5.778385864333541e-05,0.03797963524201351,0.028901055705442217,0.004919692949114744,0.026046373185408193,0.6924491808104921
44,-841.2249706861219,907964.5118983287,842610.9302334102,136069.5333219442,69179.29897551423,56691.50353042156,55480.1959549066,33465.05705670444,19680.615491419143,3333.4015017753054,3634.8545552868254,3468.8805952185594,717.3986257021209,1380.6662911720061,871.8270455779066,35213.881838012836,39645.22464055085,110.80105801340925,1697.9432099710589,46147.353699251384,2708.157386465844,4.0764432808734925e-06,4.2574010796904694e-05,0.03563270413621718,0.03492009848413713,0.005130373347256083,0.02039370798145184,0.7794894860282905
45,-920.3789977542779,917800.1477685058,856162.5866504128,134939.6291238285,67806.39146327227,58463.12860583998,57163.85360435637,35391.126093244195,19619.691721026305,3274.1750509354883,3848.7190036876646,3490.3506334087633,715.5423619954029,1314.804541431725,901.7554624137111,36587.98418574409,16807.252190326788,114.24563984459024,1388.2692715089115,10784.464872981142,2751.5012810160115,4.213365661206482e-06,7.945565004937964e-05,0.03232319284710148,0.03532639577131876,0.004009990344724434,0.017612881387218993,0.739287680519293
46,-807.9404644335084,897020.6801063017,834967.4648095256,138712.64381370493,68581.35456826651,56002.86705771495,54445.77563055219,27680.9266385261,19898.72696692528,3226.590355008342,4038.863323969907,3393.548600682083,603.6112095771276,1181.8928883965064,1193.1753523921222,35894.7342624048,20945.787976575404,114.41454091706605,1601.4390398353482,6245.944188846848,10695.821290230164,4.126644901453031e-06,6.176156389586947e-05,0.021823412660168663,0.034804956172138364,0.007242990960029813,0.01887196792011175,0.5193377574436053
47,-973.3495272159504,893600.1579715216,807319.0774792375,135416.01290457306,59201.31642306593,55530.35411076195,54095.76757472002,24079.784309714603,19876.844517370268,3167.5878960572654,4080.968846529364,3719.5616855580884,148.08662012189882,719.4203159311993,894.781296355645,35892.57456654168,21743.696154430316,109.30803415531041,1585.6834920880924,5728.717126820401,99999.999999962,1.4768751624925108e-06,5.939534990732706e-05,0.03596856112248491,0.04382973972821213,0.004776187754837044,0.021763854579024265,0.46713901953180365
48,-763.2474728403707,937912.34638758,865366.6670911519,134496.20347648417,68960.86153097857,55253.14640164179,53719.783744435605,27358.912872297315,19089.63842618867,3395.776384477406,3747.8771528258994,3387.9026522846525,707.461118916441,1274.181665443932,865.9146964522462,37557.95096656187,20840.946050955285,107.32195667856115,1296.090391647635,7219.772185034954,2777.143224561221,3.839071589262206e-06,9.317060222220693e-05,0.042424934871312964,0.040596046741115784,0.0036739364198417252,0.02495206055321647,0.5293906863138276
