sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_H_N,p_H_WN,p_N_OOA,p_L_S
20,-681.5540166275296,781569.8375950829,687105.5217890377,122187.88910335233,64034.73959683324,50837.07054819107,47873.93909594494,10000.000000028982,17182.88274889644,4393.589815933597,3244.6742726131924,2299.5155976367964,527.9584563574917,1003.521166222568,348.8399663015863,28212.544898179178,22118.383055108203,194.1511097721386,1603.6210458398084,4786.634877089477,642.4285011172913,4.015902710977969e-06,4.841865228179742e-05,0.09320748263289777,0.01543268420154195,0.017448698016572006,0.2511737081938233
21,-688.3073584236481,807251.0810197606,719031.6699871335,118992.07812312263,62131.46747634551,59210.37566831121,55650.597209298176,25118.304111009085,16558.166396818047,4273.6462911965855,3237.7672804411573,2433.589580617397,314.2955202372418,867.7561893553332,173.00293777731588,30106.239334892955,17477.206757752163,277.45251426607445,1424.119639674696,6014.239856668621,727.0576364817808,4.285647016373698e-06,7.381686134436717e-05,0.0966160249579478,0.009173506026429166,0.017815748485860372,0.4830648632328163
22,-799.7380994328871,803283.7138144063,703097.5082734409,118267.53704599988,62673.15676336246,54838.83377119114,51555.57041905417,34706.9841203925,16625.37331385321,4311.287050926595,3429.0976897334067,2449.998690552658,300.0565887424296,910.7450308915485,139.8583218421088,28190.820219663387,36274.62829686938,256.7741269980382,1752.6134346748165,8663.885539146848,675.3142225032069,3.279832891022018e-06,3.2313101191059574e-05,0.10213731515642117,0.010578977041987469,0.01971977789055177,0.6798985462342791
23,-892.3074490664161,848243.5141644469,751127.327539839,117271.92843674454,61752.548348425604,54602.522304541766,51656.10090616389,36860.10005618734,15904.70220789978,3889.8004196306865,3443.3842935568287,2597.4659277988912,328.57597722809976,950.8517389200185,103.55443475616302,28756.00652731494,44161.42916843618,232.03260776514955,1763.5325976310064,8395.791035092112,889.7916492736119,2.9520051710208634e-06,1.7450633684399598e-05,0.08846803510186406,0.010618304024770797,0.023581509041007486,0.6506613949309411
24,-765.3337523610222,821464.8140715779,690934.9979227715,128772.40171788837,68205.79140497126,56492.09744296833,54575.58324182237,27636.94454593408,16479.408454979908,4565.898859134923,4007.1681634337324,2565.700310810023,646.8711830811195,1404.7837217421318,1046.650698475679,30281.797769008917,21864.86074677532,143.7775433293049,1514.402685959638,6660.003598511337,99999.99999896085,5.905374237157684e-07,6.97813304532057e-05,0.08538348153914696,0.014122368878041327,0.02242447756158001,0.5039988168145276
25,-831.3665768394476,785531.2061185555,675312.0932682885,123386.19243765355,65403.78626284508,55803.35846891357,54440.06453035907,30871.216888033247,16905.848140631348,4182.781949491775,3461.8090053532005,2419.536036055738,419.7157823126657,1020.600858423285,456.4582167293393,28747.995640064095,19046.092346531084,103.37428607066792,1503.5560852966103,7286.988560303933,1085.9324993262408,1.8071926522970958e-06,7.236087440112772e-05,0.10390059884498784,0.011850747068861165,0.024842589203986763,0.6458027670562937
26,-978.1109217801959,774917.7527220317,685868.8447454987,116875.91145250075,61462.22572913783,56479.9946650269,53228.65485278418,34032.30625077054,17443.38719043251,3701.025749454073,3469.688508183649,2359.652697708164,250.66571654369463,804.3028504327154,108.37543459783295,27005.009562650812,26833.37111558908,291.49212452034976,1590.873579603409,8835.193060475043,1162.4403637659989,3.4225715917199874e-06,3.939880708897904e-05,0.10715286809087951,0.01531661712658396,0.0226429121682655,0.6817395987894579
27,-683.7439194159836,797120.7602969132,704525.6627004602,118897.23977446523,59764.3645128602,58576.19225405869,56550.472846559926,30833.123643005434,16806.336992019078,4338.311582782811,3550.7704842380003,2577.9318944192755,188.3377025345641,720.7024106605162,217.52431562832348,29033.50325891991,16564.84121587879,166.17603894633342,1439.9826734483238,6562.090729376123,99999.99999640413,3.4765654931293385e-06,7.136022640348746e-05,0.07698401002712735,0.01543430955960947,0.025640264363260827,0.6456542526454612
28,-746.6798024775751,780372.7186889603,724891.559696706,117226.48557287813,58379.68490014275,54403.2498751604,50859.475844089575,18664.68429006989,16847.354336437664,4509.199672595625,2920.0271656675363,2347.367109789895,134.81754630237035,795.4284534513135,115.53786249718817,29068.101689150375,15898.49463937134,253.44477557079526,1494.106438922891,4921.430977448815,471.2061468296004,7.186687767962065e-06,7.133630225081885e-05,0.06469399046435874,0.018414711012267417,0.015059176874348002,0.4038464192078152
29,-721.3854300226709,800555.7295374231,699298.2865108432,138631.4908403554,70493.03299667023,55574.48800057487,51712.89304421747,28917.561042105484,16440.053156137907,3744.1625648879453,3704.67006014175,2649.9328970193237,657.7968843375199,1395.705091608505,1253.4984637466023,28805.215806141823,29259.91107180434,298.3755469476424,1692.6120075097294,8116.781228358721,780.7205534861387,1.225700894067663e-06,3.337375737405995e-05,0.06929516694667749,0.012001956010356654,0.01428437285219859,0.5652049222182987
30,-613.9344764259072,782784.6271997927,647042.2098455182,119654.78346474066,58478.02061374246,55180.48878247942,52172.955686915135,33182.16253959137,16705.274251079503,4621.995397162386,3802.901169893886,2515.328917794386,149.21748519613618,759.2104348058789,279.1337960607319,27554.172793689653,36862.52596000392,221.0094268339358,1791.9691886696016,8066.575109179166,669.2052030482807,9.168597009344521e-07,3.4462181696808745e-05,0.10057893533291049,0.012786703816303247,0.0257303032007185,0.6339015125457816
31,-831.2322202409466,828311.4565295257,708978.1106419264,117350.73956970916,62460.52172198026,57899.638121447235,53969.94164946853,28737.668085460005,16110.873999489033,4357.335996623169,3646.114213834904,2495.7981160089093,351.8150478858402,841.6317687567703,98.9929754314888,29620.729392177658,30462.70997872572,287.68624182126854,1640.4808709617998,7910.102280147927,99999.99999951455,2.49344318320522e-06,5.156980858141706e-05,0.09658114423432097,0.008469586354980843,0.02096127717573414,0.5284663672645399
32,-723.7739853479725,858086.0204130949,745185.7205603222,120598.04430491458,56415.127653168325,58969.66323755494,57097.109653400636,31627.68005734829,15689.95838566246,4850.594103060407,3535.4404832602586,2751.0633506036434,52.07552418573292,589.291939500754,441.11348823417757,30126.787214323922,17071.702117769713,173.83166707469078,1488.6425731532815,7000.621361564804,12025.40594854537,2.510654571729401e-06,6.873296141970134e-05,0.06225354371186075,0.012743073449441141,0.01911115164479511,0.6488790815330706
33,-603.5362758165697,824793.0428792947,743700.5271876955,120453.35147365673,64097.73233542974,53388.39039695042,51844.22888845722,27102.285915651668,16426.94695175681,3912.953461471188,3476.6768911891018,2433.83255900587,429.6169271888257,993.4837058837246,317.1277779259633,30533.91010365253,20996.581818189767,101.62133012502655,1537.3701577771815,6400.954022289657,99999.99589193262,4.300066817237358e-06,6.611247975443538e-05,0.08250181409212469,0.014463017160573416,0.022544261440562444,0.47223607481856256
34,-739.5960873062945,801197.4342247356,703114.5453045003,118318.27524901179,61645.969576492316,54106.85631509104,50555.62552466541,34720.85340712602,16503.94512376532,4293.052918702007,3523.9180631273302,2540.455040062776,249.51685806495328,871.1346069143478,132.9670058403234,27929.812661784523,41962.554418696425,276.06442798525217,1753.6420308575027,13171.706540633993,915.7673563643364,3.3725815858335564e-06,2.1850542525525236e-05,0.08626441470597557,0.013035252538958734,0.01820382098953241,0.7037610477251678
35,-860.4437732212011,793043.6645493561,731487.9206480825,117725.54709714366,58165.8034359563,56487.17345285855,52114.328998152436,31794.930111653484,16803.463240292273,3711.0654187063114,2975.203091805065,2742.4856771164627,108.58101327717239,644.6789125537672,108.62830870732087,29122.887797359486,22136.439301086746,305.06420704919645,1439.1621980243244,7095.846268637757,630.7734383928503,5.225225960276867e-06,5.817980303877209e-05,0.055657172709719156,0.012711230263850567,0.021965195727200307,0.5946960917976974
36,-671.3834323216361,812625.62692892,721068.6233559112,117156.29876696912,63470.57918106451,55986.89992416852,52584.78860072297,32091.099742997612,16446.648832208837,3971.575476554292,3473.3536543161513,2452.2159430451193,427.1829497863302,1098.7184225243261,93.31591745602853,28607.74727501677,27982.56733268011,254.18610965850598,1887.9995799029746,6977.912431485928,529.9064995510237,3.0476894008256735e-06,1.909380989700337e-05,0.0956248300931317,0.010235963617462563,0.018619686810816057,0.5510121789204641
37,-709.543746693172,795091.9922420077,701319.9644405463,117109.11453196681,64722.58647457772,55112.920450898455,51398.272154095655,30208.7224078077,17064.695415837206,3905.733506859784,3602.332153736227,2614.835571621521,451.1805982951336,1106.3264074839112,98.69871581057335,28205.25689290121,160516.54192230478,273.9815635445809,1840.1485260517247,5622.2224034299525,2189.6979507845217,3.046326022178624e-06,2.305634409519271e-05,0.09264073738967715,0.00807442438097112,0.021025827134011486,0.5628864692187042
38,-710.2129943210654,826731.6614928637,696086.2610474546,125403.48919148528,61677.83450109402,58527.95376588258,57681.77607815903,34489.202166615025,16523.884527024715,4514.579958968639,3819.752089083756,2520.8988439957625,286.79251883769905,1042.9067427007028,551.8964724671781,28906.984967102155,22074.967941782,78.42363125381036,1478.2211657310045,8582.83712905299,2389.2832741533675,1.0233984213524732e-06,5.951812529123636e-05,0.09841923253289785,0.014317819256634712,0.021166663089623526,0.7248453880798181
39,-757.3207028548845,772239.532937971,657452.2399897308,125198.93233398847,68679.98590779585,54290.861314275644,52233.446431403114,33472.786974976145,17217.74407944476,4163.819908673971,3868.413701984276,2473.0856829102117,716.4623317695351,1383.0913181444191,644.3195263268992,28865.222554189168,28341.76394904861,156.93910418316597,1487.8795121194628,9343.907013859576,1073.7697562997594,1.1338002397140286e-06,5.9274711341849955e-05,0.10124634545295583,0.009983645674222713,0.01862061792699468,0.6718778063229773
40,-698.965933298874,821541.3005962921,762291.0324527667,116595.3045844643,63312.04703892708,56657.153133515574,55194.18823066529,31767.473228050232,16454.752730909167,3835.1193820189646,3116.9137966462768,2421.578638100886,472.00695988833957,1037.9975718085477,63.885078301278945,28859.620398590767,23135.24746280917,123.50104339848225,1523.129555387436,7392.455113023612,3119.9141879284202,6.065452579995476e-06,5.5462081818845155e-05,0.08247007980929795,0.009890422671023255,0.022751091481722954,0.6651488772818985
41,-810.2525765864418,798016.9575181209,692309.8744087284,120753.96503394147,60205.49486140543,54957.8251823984,52286.06244036142,36176.46730666956,16893.607644486172,4115.5116586669055,3379.2573109204,2687.9176396485955,218.39756476127837,756.4085178093326,312.11872872736745,26903.1184799133,44454.35644923447,245.7516699298382,1814.9366639979896,14466.16350090541,359.24820134511333,1.990715307592651e-06,1.1832679327375746e-05,0.08972003053258355,0.008236210513772862,0.01952042267762058,0.8059250243649325
42,-754.4703846109165,794070.5848937235,691932.6462456292,117938.99235857223,66444.47772856419,58133.618422520034,54224.159703187055,12854.703315375315,16801.405417081296,4112.943191747154,3806.8016324783684,2353.4447571760275,518.6103489273861,1214.1573567124233,140.23939978980277,30178.26579919486,20040.954826194222,268.0793871906426,1574.8614866624735,3929.5788100975146,99998.82044514398,2.4588949688368866e-06,7.710835795209468e-05,0.11948469918110041,0.007431934190207836,0.012649589467782281,0.33785773078488646
43,-844.5212663747517,850500.8039686424,747664.8445483547,121336.80946661893,60765.273132977534,55544.00643976598,53401.868676647784,34060.84148599344,16167.895363886255,4251.781540230852,3688.7910178379084,2797.072552017669,224.77226392426132,845.6419012975471,324.12748363097944,30227.011359651777,26941.923532568246,160.09460369993587,1515.4454814387868,15332.940526121802,99999.9999997174,2.600457482872663e-06,4.604262600875576e-05,0.08070626466836914,0.010447907768124279,0.024722093334193878,0.6909485207135886
44,-787.1187952495977,802506.3268412424,712442.5543637753,118372.72341750552,63643.25680646447,57577.29497638715,54499.93208133449,34035.447630084425,16644.457974547942,3844.683968334002,3384.7998503586314,2512.6085575075203,402.3689267331532,1040.7689044031686,147.1132699207644,28317.148727638494,44662.747536533985,283.53487735097053,1702.7882810337567,34934.49438799998,2528.470810692732,3.123606924118413e-06,3.56787327578804e-05,0.09332616080279485,0.010479177647929229,0.019137313843427404,0.8041568028352818
45,-903.4472277570437,792539.4740753375,704160.5888383454,118041.78098002722,61680.935532093245,55636.36841957257,52636.66363080117,36158.56339869338,16812.053337659054,3979.6195484774507,3502.4594040791317,2564.4882658609577,330.9587462410975,929.7380651651889,151.03628526615302,28576.066664834416,19293.15808839712,237.43722844542927,1426.591884837339,10390.033699411297,1232.3052716044422,3.3904265451744746e-06,6.193171506587225e-05,0.08700470072003977,0.010003507406249817,0.015977430429343603,0.73229815129902
46,-777.6198162291273,761908.1330659728,667649.5729679657,121329.0946134908,60069.930710585766,58818.358460429634,55546.32564681536,26933.106016871305,17139.73935593702,4197.237740090803,3609.4318204604288,2649.51316867058,201.4005484997623,731.2907125235513,370.7206405387144,28821.145966601864,20084.562241581392,245.8494021518417,1569.8723793942117,5313.417077634275,99987.81437241215,3.315080589716854e-06,6.513576734585571e-05,0.07013283094004828,0.013212572230868054,0.018581808082795873,0.5287673771183211
47,-1073.61806927027,783271.2301331216,680951.0801088378,115924.06583241229,59310.93942613795,57500.616320737914,54730.534908629714,26819.289869138,16953.108393833303,4084.2632350496133,3367.649743239032,2419.2189790193356,145.41475325960215,737.8438625376402,37.897159787965414,28653.96058778377,22617.723277817502,219.37917758054414,1574.5339929115914,5602.021196672239,99999.99999936284,2.559991059845039e-06,5.6369424039691166e-05,0.10670465368328902,0.010523374128062032,0.022140969518726173,0.5306987043213874
48,-758.7902448538955,777371.6523709308,639295.7423074017,117609.9540301034,60692.95481390209,57890.72486227907,56295.06927149736,30125.409250410707,17014.05057153195,4674.337598702599,3700.834145123443,2534.8201425811462,254.87461885832946,809.7436867266993,125.58011686764294,28794.918780515298,19157.41383448448,122.28943750564949,1260.1826724143477,7031.252330669258,5386.138052019305,2.1858091565396545e-07,9.688346053405211e-05,0.10738857467152105,0.009176910162624157,0.026056679831649835,0.6306186122946917
49,-844.9225701645246,836240.5056739294,735286.0969542803,116626.24263990378,64826.65300315435,57319.877194808,53999.85962536959,26807.90968861551,16341.70838676494,4707.002689923689,3240.8009162283442,2413.691601412368,361.22187814279954,932.663421567465,64.56190512236685,30125.206682460936,18404.164679503556,254.95599950546264,1665.5991577257826,5981.280213102845,1631.3909933101302,3.7764386242249875e-06,6.0438642259246735e-05,0.09682849651823036,0.013227016120946143,0.016284617942257586,0.5068110915223132
50,-913.5367062485865,839979.1683105818,749638.0918387093,121636.07226947664,65038.631789068175,54993.954907534004,53060.88015857885,24112.38585745805,16310.005529541133,4223.617426649428,3298.8965194220623,2516.638059023697,513.052982076332,1263.6444623367167,352.0095358817675,29987.01389859693,35907.131123945575,142.1643663910839,1628.8146917370102,5615.652860033908,99999.99875644401,3.952978925359411e-06,5.539097878909161e-05,0.09110874174147607,0.010235878283267627,0.01998176208168915,0.4821310233065416
