ll0,ll1,D_naive,p_naive,adj0,D_adj0,p_adj0,adj1,D_adj1,p_adj1,N_A_simple,T_XY_simple,N_X_Y_simple,N_A_complex,T_XY_complex,N_X_complex,N_Y_complex
-650.996079830905,-1.5597224968192482,1298.8727146681715,0.0,0.0027280909292048,3.543442871077953,0.0597812534367711,0.0728117108229791,94.57314449627684,0.0,14220.572839587596,4562.777176204927,19123.337178622256,15097.737426369127,4937.456261836213,15481.97342256753,32423.30722636489
-343.9426152960902,-1.067896258002277,685.7494380761758,0.0,0.0057414872502746,3.937221655597385,0.04722871853443,0.0708856731876892,48.60981055610935,3.1230573682705653e-12,14958.7021907467,4842.70372454192,20345.979239175616,15013.627880147538,5320.646259939844,16074.350906284864,29559.647426353604
-435.0500035643557,-1.6820469839738763,866.7359131607636,0.0,0.0047667251504076,4.13149187602498,0.0420922273282442,0.0735415188124812,63.74107546316538,1.4432899320127037e-15,14504.74460950441,5020.49430625089,23145.691653922742,15141.785645393931,4654.0255368229655,14508.79932759613,28175.835724371424
-414.5545882062446,-0.6974659057031778,827.7142446010829,0.0,0.0043891133539187,3.6329316442073454,0.0566469504945907,0.0686166657339165,56.79499164499374,4.8405723873656825e-14,15125.927314507147,4811.666704556862,20397.0966275189,15096.825416603784,5254.270304744367,14888.870456183156,29723.297394147063
-328.126538639749,-1.0157411162073386,654.2215950470834,0.0,0.0033066003117542,2.163249330139036,0.1413455168437167,0.0682732438364488,44.66583048172003,2.3370083646057083e-11,14572.469993810277,5261.288627289129,18186.921925351453,15009.86168430712,4930.304267765449,15061.680935796549,29930.388110543703
-441.508667705078,-1.2440771913389077,880.5291810274781,0.0,0.0041057256161617,3.6152112143224593,0.0572534512719713,0.0707165855877672,62.268017192656245,2.997602166487923e-15,14751.4514187699,4916.35394627591,19733.58703923377,15219.219076095384,5062.475271739548,15044.972277201074,29218.95932940616
-413.82232121766447,-0.6552674859205723,826.3341074634878,0.0,0.0037736769837485,3.1183180022213675,0.0774166566031505,0.068743817146858,56.80536078568218,4.8072656966269285e-14,14720.095246797033,4301.960007414054,17154.595007223877,14941.160625699542,5099.212910681487,15247.116524931986,29201.780108776045
-384.69927914537743,-1.1654706057940176,767.0676170791668,0.0,0.0072996927123945,5.599357894306633,0.0179670613800803,0.0717538591045068,55.040061719528346,1.1812772982011668e-13,14491.90310198847,5116.830602913828,24178.244592834388,15314.885708558644,5049.886777115066,14607.203260387549,30163.05987203337
-661.481257413459,-0.9712160546411928,1321.0200827176357,0.0,0.0031421785630245,4.150880985240227,0.041612868043667,0.067582974915479,89.27846711315007,0.0,14144.15228381149,5618.2383518566885,24161.807432131973,14898.467922691272,5166.864147021121,14747.013896782755,30643.77040415477
-538.0412920441318,-0.7329235217099765,1074.6167370448436,0.0,0.0030050198365436,3.2292446115015623,0.0723340467431936,0.0690554101291055,74.20809950823289,0.0,14702.52435307355,4607.496462930479,18783.879969173995,15176.426947888853,4786.657996249324,14493.368287014844,29056.94419488409
-860.056696372816,-2.68073637837482,1714.7519199888825,0.0,0.0020531361677149,3.5206191855877944,0.0606098002472709,0.0740692810336542,127.01044186465477,0.0,14192.96374529988,4523.038261984011,20216.35218357381,15028.205893562012,4942.654505115179,14913.46527615456,29599.15784597024
-352.1426077087904,-1.5257233442722389,701.2337687290362,0.0,0.005282381751206,3.704184463263693,0.0542761895264579,0.0706627107709568,49.5510789825279,1.932787263569935e-12,14396.750597283186,4768.959610078661,19172.146726296192,14954.894875636077,5044.947761083205,15184.80741788294,27414.963135916376
-332.1232273314299,-0.95773156191211,662.3309915390356,0.0,0.0077809370783411,5.153555770200535,0.023198820849998,0.0712260806850616,47.175240643576224,6.4914740249832895e-12,15474.9668661287,4403.714329942445,20355.08072057035,15567.094905360644,5013.7085832904495,15285.737703137249,28546.14890994792
-498.4810110870226,-1.7132185227291497,993.535585128587,0.0,0.0042418015186101,4.214380753791702,0.0400826941875031,0.0734380352896332,72.96330136217962,0.0,15037.113212289927,5025.659755487914,22035.447542684044,15536.669008909885,5215.634518604792,16232.785890420806,31471.72485054468
-634.3471751678627,-0.6188980533629656,1267.4565542289995,0.0,0.0024498000515383,3.105015131872761,0.0780515059115435,0.0701656108385433,88.93186333879312,0.0,15006.827938949977,4549.345554004089,17738.50159687949,15023.456826325742,4994.6411432714185,14195.49204442219,30253.341674669733
-441.3352687773127,-0.4043995321503312,881.8617384903248,0.0,0.0044236370923318,3.901036296694032,0.0482563330530024,0.0696150251019853,61.39082706148439,4.6629367034256575e-15,14381.028742536408,4802.53910190232,21022.90672173116,14829.847892125794,5289.457232554375,15276.181621880669,30701.185444364568
