ll,T_NDH,T_ND,T_AMH_Alt,p_AMH_Alt,N_Anc,N_Yor,N_ND,N_Den,N_Alt,m_AltDen,model,T_Gho,T_Gho_Den,p_Gho_Den,N_Gho
-33.53267594777502,768622.949864737,740493.8408478337,359926.09204210935,0.1403931214379781,16417.44852076978,27187.398992919992,893.2544684999458,3234.635691477536,2172.692424235493,9.406000695340616e-06,83,769404.4002096057,740493.8408478297,0.1593905100334509,99997.77876493598
-36.84353423308592,816587.8681849387,651616.8345254177,270445.4824087,0.0777799169246492,15509.162139550324,29050.511950378885,6949.083344048198,3247.718283251388,2140.089253046327,6.914473696097783e-06,84,2266861.109392325,651616.8345254165,0.0064227158149545,99999.99999780692
-34.86686604551524,803370.3537471108,676378.3450515402,292517.89746901207,0.083336819366968,15726.288123747416,28660.076882926296,5016.06575283583,3485.793286849645,2398.2880203596965,4.924941925764703e-06,85,2071537.9441826136,676378.3450487491,0.0070060437681462,99999.99999891128
-41.387661303188864,844979.9468552065,659624.417014627,280425.534688209,0.1093476822607023,15231.298223151816,29226.783186962843,7984.734917270198,3087.7429645537413,1838.295867600576,9.34828522633581e-06,86,3999923.3658638247,555281.4563422044,1.2582123646102354e-06,100.00002717173348
-74.50080327580248,734230.0901494961,678063.6351896356,214307.14735433625,0.101373638704227,16906.236576146235,26322.451542783037,3024.590211979532,2507.1372885364526,1047.7863844658325,1.7829168715376073e-05,87,3999999.9724552273,677997.0225378306,0.0005987640333316,99999.99997740403
-31.73447813545589,800870.4405393013,714266.0935502936,333997.7026319448,0.1239871088161371,15917.743217118885,28074.338562219567,3363.1878167410005,3180.636073563304,2257.259772043552,7.0094239005359305e-06,88,808431.1400865978,90000.00000078703,0.0039646447556729,99999.99999999984
-39.24455228576727,705312.5115888643,690373.9074673984,266913.3723614936,0.0726382748841446,17179.48073143412,25998.363410111742,570.159106843279,3530.8189588914884,2351.110373747097,4.7372200195114055e-06,89,1012249.348026773,690373.8526678957,0.0447364490346393,99999.999999738
-33.85270181262822,804104.4351203414,756794.5930356839,240631.9826847824,0.0639074563107095,15652.294991196142,28833.26704362452,1732.1877401156132,3540.8678618721547,2159.5013625566703,6.41924618566754e-06,90,1030949.4820781058,756794.5930356703,0.0615340926659752,99864.4212195366
-32.18905059568813,786941.0394393653,739308.8965875633,340777.4959762146,0.1287909887447232,16131.00569869742,27705.90161191914,1835.6524437933565,3387.737246004101,2246.674282947832,7.533211338133653e-06,91,1143945.3209927802,139756.42064592056,0.0009829452057685,99999.99953469029
-32.70568255807554,799707.3135093211,785228.5806260516,391946.8775463945,0.1481835604514221,15940.824983166058,28034.93955616455,457.6506174575656,3446.1307787203427,2381.638211294695,8.422133933494053e-06,92,799707.7242714219,785228.5806260447,0.1093960519359365,100.00000000270516
-33.88443928510392,812799.3715171996,734774.4396260144,345954.4654187711,0.1200609944880793,15681.799556456252,28573.30483378773,3203.321050255963,3211.328425324632,2138.6225898551224,9.99645766533726e-06,93,2492420.3507056385,734774.439626013,0.0018003500547382,20354.40917406234
-35.677608416189976,792479.5863923951,706674.4305560053,238701.39854931357,0.0602427341992863,15801.490497889046,28634.176972722387,3341.850140159286,3331.757186043925,2219.9044472775267,5.866005223673235e-06,94,1188427.4538245175,522636.8760547907,0.0379022412478866,99999.99999999984
