model,rep,ll
model_3,9,-420.87603500225106
model_3,10,-570.3598165265812
model_3,11,-421.05329608323865
model_3,12,-336.2553075994872
model_3,13,-423.1866559461558
model_3,14,-493.7994881090126
model_3,15,-612.1248568156212
model_3,16,-477.2395684229924
model_3,17,-580.8898775842491
model_3,18,-478.1582520539357
model_3,19,-534.510248894267
model_3,20,-503.51397609559274
model_3,21,-385.7160667180937
model_3,22,-615.9591863266508
model_3,23,-576.0005013882948
model_3,24,-473.09608086619744
model_3,25,-420.11750759394704
model_3,26,-679.230955200755
model_3,27,-428.5990492351648
model_3,28,-470.661550808849
model_3,29,-502.1923194214586
model_3,30,-382.7601889774163
model_3,31,-547.458789908429
model_3,32,-673.8880152227907
model_3,33,-692.4114862137724
model_3,34,-558.0629575766543
model_3,35,-465.11685081788414
model_3,36,-532.1684081632784
model_3,37,-421.6251696929794
model_3,38,-498.40627527870686
model_3,39,-623.3165240165131
model_3,40,-534.6634801767985
model_3,41,-481.3793395568097
model_3,42,-573.4100032914744
model_3,43,-462.7449283095492
model_3,44,-428.10108934593006
model_3,45,-390.4939567132843
model_3,46,-357.1799266666658
model_3,47,-514.1030607629427
model_3,48,-546.8142308279212
model_3,49,-361.02233211281236
model_3,50,-364.2273151991849
model_3,51,-499.87533805903587
model_3,52,-483.7199019187352
model_3,53,-452.076667220323
model_3,54,-396.3546198580367
model_3,55,-422.77780377465876
model_3,56,-410.85542261141404
model_3,57,-551.4045151147349
model_3,58,-494.3617525687354
model_3,59,-628.234573117471
model_3,60,-501.4384860673423
model_3,61,-341.825864306085
model_3,62,-490.8212535628245
model_3,63,-507.17897243562095
model_3,64,-455.2581256514411
model_3,65,-538.0335936760928
model_3,66,-461.24079871531603
model_3,67,-426.60415456848034
model_3,68,-510.6641245431939
model_3,69,-378.9019510515984
model_3,70,-489.697165540502
model_3,71,-565.4862161893209
model_3,72,-366.6327478044236
model_3,73,-418.6966268369268
model_3,74,-446.7138484186156
model_3,75,-540.1066798680724
model_3,76,-542.728449928854
model_3,77,-373.0972198447015
model_3,78,-423.2051711534966
model_3,79,-455.1833084849688
model_3,80,-447.619946465251
model_3,81,-438.32281813442125
model_3,82,-629.8998966423029
model_3,83,-405.5802003854302
model_3,84,-433.1142417130783
model_3,85,-508.6743172692641
model_3,86,-390.89991152334244
model_3,87,-438.38575743110795
model_3,88,-470.4825101818868
model_3,89,-411.37540890478834
model_3,90,-526.9836108428643
model_3,91,-493.6010421853369
model_3,92,-401.8699581837437
model_3,93,-593.6495317145436
model_3,94,-453.524054718526
model_3,95,-525.0616856363478
model_3,96,-411.3609533232085
model_3,97,-534.6829082966706
model_3,98,-421.30343764102327
model_3,99,-383.4072471054041
model_4,0,-292.81358575583914
model_4,1,-366.3304668157539
model_4,2,-380.87714401287315
model_4,3,-298.16570672904203
model_4,4,-429.6074753662897
model_4,5,-380.02364463935754
model_4,6,-388.53638178811127
model_4,7,-444.71594106750655
model_4,8,-335.05436766960975
model_4,9,-283.9846206758855
model_4,10,-409.65594791783576
model_4,11,-342.38958557059493
model_4,12,-253.70520587565056
model_4,13,-344.7539660465221
model_4,14,-390.3162756132258
model_4,15,-453.44214539891016
model_4,16,-361.9126571722515
model_4,17,-399.60003551825577
model_4,18,-317.4948841492453
model_4,19,-466.092812227522
model_4,20,-412.09090555513546
model_4,21,-312.85944998101854
model_4,22,-436.48582192749654
model_4,23,-370.9259626520852
model_4,24,-384.6009932360745
model_4,25,-349.21991890150304
model_4,26,-525.6883475685388
model_4,27,-365.69000276598473
model_4,28,-365.6536614377058
model_4,29,-391.8487358077739
model_4,30,-298.6757792363885
