T_NDH,T_ND,T_H_N,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_ND,p_S_D,p_H_N,p_H_WN,m_ND
727966.5667865794,645044.5946194131,239878.0473413808,119902.05346609323,58581.54428720443,16292.843087302372,27953.344852305916,3683.942621224711,3253.896756072541,2812.0594802463584,274.30104525442835,174.7270101489539,757.1369772328412,0.015307956699353847,0.020255857409333302,0.05548290019028743,0.014010408436078647,3.535323815354047e-06
802729.0757311404,765179.3549010112,426135.56399686995,124887.79773290234,62102.61609113137,15683.32399849363,29694.605073966446,1861.7375767142908,3306.6344053013627,2919.325743943413,562.5714459666644,329.563884187627,816.6765681711879,1.000000020724143e-06,0.004724501735630796,0.13046529217908773,0.013460516992886133,4.8212505261156075e-06
776682.8806553514,713640.8536762825,208661.86728731386,123431.03399668136,59176.70743142694,15856.257522352447,30159.703926478658,2732.3459732883093,3689.292915261802,2906.1611810707223,573.2685228496825,171.89881440723576,839.9164171762751,0.015531129770470869,0.007060777292663718,0.04456151565596784,0.011394872675730588,3.222597702457721e-06
917011.112966368,898309.7126062859,341117.58134511317,120023.4360976686,59595.82405859122,13990.136818119483,31569.425753876316,1228.369960032121,3198.6842054233393,2816.0675828218355,199.28463296753444,212.45405643555554,833.0620591681385,1.0000000118481941e-06,0.0010479169759276302,0.10388198414747446,0.010531754260070825,6.480691917066302e-06
856867.2971767654,835716.4580192172,259071.54691567286,121697.7910437903,62365.493839362505,14313.91956093046,33515.91277514432,996.6101317604454,3490.9509791642477,2906.558350046323,442.4023544783873,332.5526520223696,922.0093805445484,0.04146691761584467,0.000871682505459534,0.05844123942117827,0.011619112972536953,4.086770291425286e-06
776315.1486444852,747529.8220318393,266510.693347951,126139.9712864816,63290.95014203672,15381.681448179663,30016.388323625262,1064.8159694364037,3736.1297318142715,2827.537191944709,789.1524022356775,407.291273508883,849.0151954551949,0.029944286048024623,0.007527809167295413,0.06942984234448162,0.015236239056269252,2.2001621081989074e-06
765445.6097723446,688940.701439257,407706.89082560333,119531.44659189555,61207.1155163963,16189.91622336832,27352.323780301078,4417.781208092814,3061.013616289873,2763.9572992359695,307.28681165102927,292.42531743081594,980.5607909053691,1.0000038104207772e-06,0.001124815792453949,0.13698216028091195,0.014458898002742495,6.061776757047519e-06
743233.4588343963,732741.8177236858,348293.1950077148,117511.88095447178,60092.98061638348,16226.62040252278,29287.217439328004,499.6708546254944,3331.2566498981705,2780.818724491014,104.37667522164112,204.0721390075994,599.1592410218557,0.017622670011391343,0.004068998094766844,0.11599585381851622,0.012751664335310038,5.009139210416492e-06
828476.114041806,753164.0775664542,393755.08785712597,127373.62733661271,61561.98803172633,15019.111039350804,29629.03552223948,3348.2082440430777,3306.1353144902314,2906.5917036390165,616.3642417713002,250.9784130950217,848.7587072987716,0.004479463474032294,0.0057846933082379565,0.12194019821524875,0.014106773792707812,4.558255817065562e-06
748786.6869024293,735830.3267523866,273862.78079007735,122672.52809135159,61020.68916037872,16328.800288576625,28101.5501365393,630.4189631731384,3319.1469212198567,2803.5498688767766,352.75116294654526,216.69623820762072,808.0807933164547,0.010792299918446558,0.002800435944815913,0.07593906104351585,0.013119635529378983,3.975015287803335e-06
839367.4621830721,797425.7125492152,499999.9999999828,126985.94088388127,61524.50427268303,15073.64407514875,29756.662031224045,2437.8095542833757,3331.333869596601,3054.645037095399,596.9343416668871,282.7905542808087,987.6496724900902,1.0000000196836474e-06,0.00767996018435928,0.12660058682712558,0.011337621254963895,5.724677422732148e-06
865643.3076959202,845750.0577912502,499999.9999950499,122048.07659415899,59810.73034328881,14576.138631237849,29362.231666206222,2059.3667139865806,2710.561057066952,2919.3693634760916,342.2097928888273,209.06966600131733,717.8588154042909,1.0000000034388053e-06,0.010326317749612561,0.1417179153710811,0.01076188825846906,7.650756878899417e-06
863987.7085522009,848419.9814260224,458423.86970825086,123889.61658420014,59685.76408414585,15026.886172873972,31131.608582901325,1002.1113574668345,3159.5344038009434,3014.348810114845,473.23154245562694,167.37703880179888,717.7305072671907,1.0000003835728085e-06,0.006741730570672292,0.11688400286679479,0.013489195365568857,6.173828781386635e-06
770885.8110972231,754457.5121087116,295442.0914367949,131839.94117277334,59309.73798573126,15806.223643265435,28976.021458047035,557.6337427861171,4081.999967197588,3183.45764635395,1560.7455687659576,170.23145126563702,820.002562604361,0.01133834346865711,0.0060267378666820585,0.06240516593064045,0.013643083104741497,9.944498058412993e-07
774403.6379263032,717509.9235049512,228365.85443161143,136045.85871156736,63435.1549379836,15781.292424397394,30196.540031971654,2071.477850801643,3721.9241498733572,3195.9687449797952,1492.0296233357358,376.776972382801,877.4983240638475,0.011230456944650746,0.01209056325738075,0.03624801753441086,0.01252214587593956,7.681566900432362e-07
786477.7897732237,751395.3882300433,220557.15848273557,116914.64715637438,59738.96430533125,16395.18716455325,29236.431472699736,2042.1116668466022,3242.8448222636052,2705.337880472007,69.83366941447619,196.98244300966107,881.222248915003,1.000000006311892e-06,0.013059458560667064,0.061658605870908385,0.009208922541529937,5.0907218065671605e-06
