ll0,ll1,D_naive,p_naive,adj0,D_adj0,p_adj0,adj1,D_adj1,p_adj1,N_A_simple,T_XY_simple,N_X_simple,N_Y_simple,N_A_complex,T_XY_complex,N_X_complex,N_Y_complex,T_X_Y_complex,p_X_Y_complex
-1.3978756037322573,-0.8040164365714321,1.1877183343216504,0.4139912222431376,0.0776218299770751,0.09219287060737,0.8581787675088303,0.134775768406708,0.1600756511589358,0.8060841529032295,15129.421538751452,20407.444591251377,31127.593024306832,5170.921683213865,15276.162211553905,20112.572989983448,30675.31382341026,5017.575411786332,125.99032613163992,0.0022372044547944
-0.5439807266668698,-0.4369395801147578,0.214082293104224,0.7710375452949956,-0.4418082625663817,-0.094583325962604,1.0,0.1272207025237876,0.0272356997266227,0.9276964589243708,15237.73026729285,20583.084630554968,29625.54863625486,5121.08421365407,15183.467655817898,20714.55887237106,29736.96476506737,5077.662287754288,5144.628080436104,0.004277540155692
-0.7559458069454869,-0.7320975606867526,0.0476964925174685,0.9017775145853536,0.2702097808648291,0.0128880587911661,0.9515952839716574,0.0720342222856126,0.0034357797442473,0.9757709649103614,15071.499565729073,20467.81927351,30865.58106995062,5139.192853509109,15023.144565478158,20577.072006198807,30984.06541601677,5126.757722089816,9999.997003931448,0.0052450147459498
-0.9089974880371564,-0.8892770124173255,0.039440951239662,0.9115251707267542,0.2885115998642281,0.0113791719423219,0.9546874061787428,0.110346433574832,0.0043521683060955,0.9726136114774973,15081.832844691606,19662.842456715,29701.56191407092,4938.776259748337,15061.642136001708,19681.4694476623,29743.350888764355,4934.398268085672,9177.994397415025,0.0020019715682085
-1.6676848414314034,-1.561680783622954,0.2120081156168987,0.7723094972247944,0.25096111122841,0.0532057922846581,0.8956619181035114,0.1045621408001484,0.0221680224359083,0.9353090889014164,15349.324787837662,20188.719953955784,30482.754798466085,5078.914965043057,15283.0780166132,20346.577474248454,30613.957222166293,5046.43968519556,9999.99999996855,0.0089144342111888
-1.388772311859462,-1.3307671356611113,0.1160103523967017,0.8385237951095481,0.2540120618206402,0.0294680288048252,0.9245384173471848,0.0898417820721301,0.0104225767981355,0.9567433469480526,15494.211765094818,20481.0978773366,31260.374707116796,5122.557402970372,15425.186057621517,20643.37003294758,31400.17208108165,5090.844270354792,9999.999999968584,0.0086161135582245
-0.7597343757683085,-0.6164340317193714,0.2866006880978742,0.7294504766383433,0.2753150570430637,0.0789054847922475,0.8700507808726059,0.0712594579132671,0.0204230096714238,0.938101215220771,15042.215014685282,20441.01675379764,30795.50588260237,5029.05698110318,14926.203262677169,20754.252576766048,31021.21184650879,4964.497071654077,9927.99600347538,0.0159290132777238
-2.1514023879837465,-2.131762513669366,0.0392797486287612,0.9117236050401604,0.2559582506617864,0.0100539757454524,0.9575579924305364,0.122210416182102,0.0048003944274492,0.971182771377222,14909.076688131498,19795.649028341966,29516.629872642578,4928.44246316054,14890.581394967332,19806.51117419321,29556.733567744963,4927.403824032086,9999.9999998544,0.0016238394792996
-1.815995155317237,-0.9648491371017862,1.7022920364309022,0.3094569442773678,0.2306530406433349,0.3926388342657223,0.6763326407950263,0.1435507547398131,0.2443653066172295,0.7530287970645695,15659.56616968132,20283.154997295147,30873.390701200628,5143.972421810412,15864.136934416205,19859.9009079536,30246.148372558146,4962.266106086492,100.19562958053454,0.0022355952786128
-1.5690177475196323,-1.5565132420208283,0.0250090109976079,0.9309589803494852,0.4727280779010209,0.0118224616991047,0.9537609724845588,0.2647904166757137,0.0066221464427041,0.9659184413076284,15273.975586015413,19815.890408600542,29852.130107632565,4839.8256942886965,15252.115730126803,19835.24377276533,29901.51906097913,4839.373757672072,6914.978107820607,0.0010000136312865
