T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_H_N,p_H_N,p_H_WN
752496.6823316191,733129.7234034176,125039.65754438893,59397.123854499376,16573.972392632248,26249.5316709888,806.3426743016414,3588.5425447331945,3042.0781054797117,587.8854147029876,161.11065574926428,683.6593467102208,2.407037039990975e-06,320189.9772413589,0.09576242127773214,0.011226821773585556
776189.4311643353,741305.3165011489,121093.01114623647,58219.42892338488,15805.762313375279,27533.276518392133,2166.9592828485747,3294.19282824515,2845.2536623111178,312.1762922908396,125.71801768967916,743.2563081859016,5.517108728383378e-06,388447.44903740176,0.08647408523097358,0.01585841517467434
770418.4697350858,741770.7681450887,120125.24801309648,58626.50094324934,16457.547514613692,27692.898121238853,1204.7289033030306,3758.4540145537694,2818.5005952641172,249.68290220066092,136.32957321155587,930.9360240459789,2.2746396684874485e-06,293768.1722001305,0.11492504754706637,0.012648412547034017
764686.3694246212,745505.7872686,119406.91079228895,59296.89540571433,16296.600019225665,27787.923592449617,994.1567606785333,3414.1421224016376,2816.8825411928265,268.2749853446223,210.44984685345506,842.7037070842314,4.319438058216659e-06,318618.17641957145,0.10641284439630126,0.011705916926538508
791082.253316376,749948.4626948131,121367.69516101557,61289.83197121233,16229.06844761301,28467.99934640683,2195.2539822095514,3307.899861632428,2915.1388904000514,286.4841198610158,234.10079469738932,1061.4245746809163,3.8756728986725956e-06,284093.0901984314,0.06835803572258475,0.013153571823817014
761200.2558245024,732926.328726707,120441.04189479652,57053.03209243663,16236.513385025208,27640.174092896872,1291.9527398017697,3278.001846231015,2783.1686542692096,264.59080633952436,83.77509524638216,585.9316409673766,3.1997107691911013e-06,295342.4662750914,0.08599846395211086,0.01711021307424961
799960.504962659,719775.5109201708,124987.11372416295,61990.92080881774,15963.143074110605,28299.8650834658,3866.849507156091,3295.8687011864486,2962.098265810205,535.5587102382179,314.958857992139,1424.590853402188,5.001859989703622e-06,437068.81946566154,0.16491616759407235,0.008089809390035365
760948.472838336,696588.8479489876,125560.72605489036,57843.23045567941,16503.591775149376,27199.75960531629,2561.8870173491678,3671.926930355941,2994.629744823441,794.564754983895,114.86771325047975,758.884398214447,1.6308983028747874e-06,347066.9282987388,0.107230675163502,0.01534455634753971
760045.3240097694,709681.9521534375,132348.08084641484,58788.244128590755,16558.571294546102,27687.396455886246,1854.2382318186014,3646.7445212976527,3054.2235698276113,900.502133387152,149.61268939139399,689.6448615989814,2.0399197581157865e-06,433449.06105258834,0.1536190957765273,0.015301651048410487
801592.7764483332,751863.0650018703,125085.3759739896,58896.014550661,16032.962710174217,28095.966290174933,2211.0239316555967,3674.079689951091,3028.5154601554395,551.1789526210923,140.3885475429619,754.5315736622389,2.6553649441790436e-06,325614.3262880644,0.09175376355484306,0.013431441052453395
785023.8526118442,735918.1025364981,124980.96618656674,61264.844762687426,15788.723462052732,27145.25886447325,2208.4114566040707,3381.3403984502665,2805.3580600975183,533.22245021837,264.5462970140692,1018.9855958829764,3.6619721152469974e-06,346948.55986327457,0.123010398322121,0.012460753990496762
771855.0294585472,747744.922678108,128660.56835391399,59192.269491069914,16326.102040693468,28206.222982381303,940.3307031444054,3578.0078063691467,3004.874467076032,745.1014329913858,162.99738443224334,793.4600858504676,2.181232567419288e-06,355075.1645080074,0.1183198140941137,0.012485692333213382
731605.0992036167,717311.6777423427,137257.63812102584,59611.77341918528,16920.94262025795,26523.070206913522,477.91992033583216,4021.332206661802,2881.2004249422,2003.0839066516955,220.64603235724863,756.6026090862946,1.0000000014263703e-08,337440.77654478454,0.10955710433247362,0.020426684576050062
752503.9717410795,715065.2550408437,126716.23799756399,56854.79121856028,16754.12189070768,27469.644722568362,1766.017783459161,3544.6937367449373,2695.3522769126926,842.3957187252963,65.26690480062562,694.137520087283,3.3505728696594006e-06,301025.31857673766,0.10048256152703948,0.01657100704245433
754555.630121678,717498.0402674777,125750.77574871553,61641.127537364526,16510.237667865353,27114.74517805938,1786.9694939687997,3417.405202441662,2943.336332815222,600.9109612837041,339.45345393016936,987.2411511153703,4.023270218847923e-06,436703.73671940586,0.1726918366057241,0.015697259799537656
754305.8655648627,727981.3292384499,120393.4933287258,61777.592029070074,16450.108393512575,26549.61697697252,1112.1712261645562,3688.7823190395557,2847.190205162074,236.58578834593848,299.23804464790754,845.4144238284651,2.440901588918579e-06,304199.8946078692,0.11224097318971954,0.010396611370376244
787855.2523297301,745327.4011324443,117952.55115553897,58100.55996328992,15553.283476694129,28585.424788724144,2732.648635225041,2933.5387750839577,2792.194992013251,127.01257457293842,122.80117849990606,762.7055878461897,5.974322528032904e-06,431376.4045864652,0.1358747458966181,0.012575598585454206
737620.7269060838,720889.7799112274,125162.53253174902,60667.6838451143,16936.926107874402,27190.69602840771,782.836523428388,3375.940993162019,2925.494518687563,573.3777124270254,215.98235472534924,762.8308944341248,3.6330909126104897e-06,353914.13048340514,0.11410377075918922,0.010928924159842153
758621.1338146094,741251.4588715195,129506.47088012614,60846.47057621267,16038.646817651339,27004.882923978304,633.0889440556099,3645.966254625703,3090.9567557161095,712.6123932362015,221.26958645703166,797.088592920416,1.3393287573606766e-06,365920.670940843,0.12395337829118291,0.011924470752494646
773178.8157642123,730397.1481030004,121115.44337244573,60565.546691622134,16220.78786123077,26322.781743075244,2120.6748726932574,3296.5212789382326,2830.3142564682903,302.5919027934535,226.15174648769533,716.2412588987971,3.768967405223153e-06,308018.71869747655,0.09306430689151889,0.013521410435628772
