data_set,model,rep,ll
ZhouJHS,model_0,3,-680.5933897917723
ZhouJHS,model_0,4,-712.1464883004516
ZhouJHS,model_0,5,-645.7787796104041
ZhouJHS,model_0,6,-797.2810543325254
ZhouJHS,model_0,7,-686.0768641078157
ZhouJHS,model_0,8,-580.3468603435886
ZhouJHS,model_0,9,-793.5255130795738
ZhouJHS,model_0,10,-933.3922242309006
ZhouJHS,model_0,11,-729.3321647286703
ZhouJHS,model_0,12,-797.3684367453709
ZhouJHS,model_0,13,-602.1398409068797
ZhouJHS,model_0,14,-525.2607630853013
ZhouJHS,model_0,15,-699.7450276856782
ZhouJHS,model_0,16,-628.2864064747766
ZhouJHS,model_0,17,-701.4006404937518
ZhouJHS,model_0,18,-613.7741644103769
ZhouJHS,model_0,19,-659.9844671830078
ZhouJHS,model_0,20,-939.7521218176332
ZhouJHS,model_0,21,-532.819677487235
ZhouJHS,model_0,22,-941.2408332546441
ZhouJHS,model_0,23,-755.2929504444967
ZhouJHS,model_0,24,-829.5751970602796
ZhouJHS,model_0,25,-551.9017952109184
ZhouJHS,model_0,26,-822.540385442054
ZhouJHS,model_0,27,-830.466356859975
ZhouJHS,model_0,28,-819.8536747752921
ZhouJHS,model_0,29,-535.9070108528358
ZhouJHS,model_0,30,-627.6266886987072
ZhouJHS,model_0,31,-578.5319126546732
ZhouJHS,model_0,32,-680.4730890044536
ZhouJHS,model_0,33,-702.8947212457592
ZhouJHS,model_0,34,-718.364898262339
ZhouJHS,model_0,35,-606.6169914216948
ZhouJHS,model_0,36,-582.5811374401418
ZhouJHS,model_0,37,-603.1384525385012
ZhouJHS,model_0,38,-752.6551243414979
ZhouJHS,model_0,39,-766.4831488653923
ZhouJHS,model_0,40,-579.7965308578864
ZhouJHS,model_0,41,-749.4188938491899
ZhouJHS,model_0,42,-930.2406719767114
ZhouJHS,model_0,43,-629.2779391651311
ZhouJHS,model_0,44,-799.4163879819695
ZhouJHS,model_0,45,-808.9408332344335
ZhouJHS,model_0,46,-841.1981220851985
ZhouJHS,model_0,47,-731.5131218120512
ZhouJHS,model_0,48,-757.0130935571362
ZhouJHS,model_0,49,-782.8449389065905
ZhouJHS,model_0,50,-796.3432565796066
ZhouJHS,model_0,51,-938.9362083574808
ZhouJHS,model_0,52,-664.4149366541607
ZhouJHS,model_0,53,-770.2783713460115
ZhouJHS,model_0,54,-756.5035110652627
ZhouJHS,model_0,55,-763.5461440594538
ZhouJHS,model_0,56,-589.4936842768792
ZhouJHS,model_0,57,-718.498303667463
ZhouJHS,model_0,58,-587.1166973544409
ZhouJHS,model_0,59,-704.5928357437913
ZhouJHS,model_0,60,-828.0083975134615
ZhouJHS,model_0,61,-577.9126960360592
ZhouJHS,model_0,62,-538.3787634620118
ZhouJHS,model_0,63,-747.2573333020284
ZhouJHS,model_0,64,-843.225388756457
ZhouJHS,model_0,65,-587.1176735876606
ZhouJHS,model_0,66,-854.3906903450968
ZhouJHS,model_0,67,-822.8292276923221
ZhouJHS,model_0,68,-672.9779977914482
ZhouJHS,model_0,69,-847.6036746004181
ZhouJHS,model_0,70,-668.1638400225739
ZhouJHS,model_0,71,-502.15448358147034
ZhouJHS,model_0,72,-687.3371803444331
ZhouJHS,model_0,73,-791.8448663206291
ZhouJHS,model_0,74,-666.568903620245
ZhouJHS,model_0,75,-779.152818593512
ZhouJHS,model_0,76,-680.9715870559799
ZhouJHS,model_0,77,-624.4924692231384
ZhouJHS,model_0,78,-620.4363602373967
ZhouJHS,model_0,79,-732.5989842522933
ZhouJHS,model_0,80,-612.9754811192128
ZhouJHS,model_0,81,-578.7997722100794
ZhouJHS,model_0,82,-574.715074907459
ZhouJHS,model_0,83,-723.9647266976358
ZhouJHS,model_0,84,-675.340321548949
ZhouJHS,model_0,85,-501.86182774049576
