ll,T_NDH,T_ND,T_AMH_Alt,p_AMH_Alt,N_Anc,N_Yor,N_ND,N_Den,N_Alt,model,T_Gho,T_Gho_Den,p_Gho_Den,N_Gho
-36.93956881584904,792931.9723898672,708775.3867853227,248994.3347894488,0.0767405730485579,15900.604781400598,28326.99799768018,2994.1868132845125,3780.645213478774,2521.901268088693,63,3999972.0663266266,279816.7192088722,0.0020027542939323,98436.9468350604
-37.57326071846276,783674.1328577463,734515.22633205,247081.71244362072,0.0727450775363109,16019.724319051656,28128.301092959555,1575.33241484733,3713.0525787172287,2590.041951042076,64,931118.772479386,482358.0650691872,0.0698265349960409,99999.99999970887
-33.33104605290541,787829.8338218422,724861.1220764347,248044.7328183054,0.0851269067922581,16041.454605167251,27924.283933453,2205.3599061703617,3598.130012922635,2405.966540849979,65,3060849.8728606566,93675.41402475104,0.0015782060104743,7093.857676467026
-33.44393703231701,774359.4486195847,704126.8876778834,250186.12718559065,0.0875203153995491,16258.744666030443,27532.07215048805,2502.255882673805,3589.49774715941,2383.9967270855377,66,3635579.459047677,90000.00004977216,0.0010611239207702,8484.418755685418
-33.89479921143189,775515.5055311747,693795.0081400749,261485.96299608392,0.0900990907830184,16244.43978743543,27567.06524355945,2923.893585470779,3580.564273605361,2451.915380495683,67,3999957.13944666,90000.00000000013,0.0008800296556786,12913.61941209998
-35.774119456627616,773915.1668722158,744684.3617898023,226299.6562353888,0.0619609648459887,16123.624958184628,28002.030789581284,998.097272599124,3759.336214470901,2578.848469724633,68,1250191.9583460577,394083.6740492832,0.0264375172331397,99999.99999999948
-33.54929121437293,750994.6749001243,744205.7050331482,246656.1809193092,0.0856617055359527,16609.409784071184,26889.87803614178,234.8705531700913,3667.409601353924,2395.063626031888,70,3013159.663499673,97694.91494912634,0.0016123273238694,5474.934733542468
-35.06689334864882,743031.848255605,719625.9670888088,252619.9402127497,0.0887832705477007,16728.36096740804,26700.64615426716,825.9131082270989,3694.57675381017,2401.136411689342,71,3999990.066716433,131891.52385640424,0.0011230381919529,25053.048183246217
-38.91780064115756,763820.1135721931,680800.6882286627,215063.8894867856,0.0517419502649526,16231.626445262542,27878.677463554533,2755.5204421081794,3755.802553966695,2618.5480479826406,72,942957.8506525469,607518.3719965529,0.092193038841572,99999.99999900402
-32.77814243337346,777764.4925665545,736530.4675853683,247409.71486903392,0.0859507594936847,16200.404889470565,27638.0968707964,1434.4479164353104,3668.527217651826,2395.740276316279,73,3997778.9128836766,95174.02037802168,0.000986783082837,7180.138920415076
-34.62704622980265,779027.7521672618,735941.2624506905,263462.7022701877,0.0946226404831456,16214.230304188934,27560.695042687203,1472.255405316175,3495.302471065962,2444.2676873085197,74,1028322.1628734984,102380.34131362844,0.0083093933693857,14051.854725435956
-33.957159396545464,781068.2990278212,724302.7602958684,251798.66494762272,0.0879232730485529,16159.878857762986,27690.946261199628,1980.034339330026,3524.421306139851,2406.293547820646,75,1465157.6365388571,95646.1139651303,0.0048800782648991,5204.076125292512
-38.9124722482307,779456.1179077865,667158.7907466121,225049.8644782305,0.0601760669290006,16039.155143754444,28168.712437267804,3287.653633422305,3816.869790248473,2542.763671457,76,859665.013344117,667158.790018875,0.170913447473178,730.3551599907332
-32.87625326874093,782835.3785822113,741933.0468634019,244721.81558413856,0.0852852684111963,16120.798492908889,27780.606304923967,1415.4055127081626,3669.800803511313,2379.096524841942,77,3999980.593515227,96049.94610599086,0.0010187486522829,6918.379082902671
-32.82152233432679,763931.9270627261,734333.3153249215,254792.3633566929,0.088905328410477,16418.117864021107,27242.839283164823,1030.0798900492186,3690.389013199613,2429.255881087867,78,3999855.769183445,96192.45673089867,0.0009403473974749,7577.14426632609
-37.09647435642135,779164.2643895637,657527.3379891831,257348.50221907935,0.0960908447138095,16229.141219189232,27514.747711049065,4405.876614469445,3349.27728814637,2316.5457932962586,79,929747.8855683825,90000.02493062148,0.0071941597363694,99842.67290752124
-35.230390169712464,767523.2889901223,736435.8465718868,269615.1854006574,0.1015355693682096,16418.685984686974,27151.62575468051,1053.45853232478,3490.4150395879838,2424.887241789707,80,806450.6382379174,102707.26730774336,0.010371106455504,99986.00422812546
-33.56247712666925,783499.5695530118,706726.516768283,260384.52510047867,0.0903413774587811,16119.229212421726,27777.821776697816,2712.1269674694554,3600.7744219766373,2445.437800104697,81,3999998.523835687,91021.29062106558,0.000913153859408,9482.809406998544
-33.95466480541366,792447.519496744,703766.149350937,244373.73131283687,0.0840579529014984,15969.025953167971,28053.029610884587,3156.303127395456,3516.6933073267323,2369.4033729702487,82,3255228.5989053976,90000.00000000013,0.0014424218444326,8366.364113546279
-33.1365354534736,777894.1738285378,718347.9175237074,243323.10540931937,0.0848123734512133,16199.422273325728,27641.164730467728,2105.712330271665,3619.69748279629,2359.8882992887143,83,3999971.500500157,91548.24333123075,0.0009477735094014,7411.291891313481
-37.09116727992951,787655.442471296,645407.9731819985,268737.21137329546,0.0968489292324879,16083.11042137369,27801.99309554684,5180.1726545539605,3367.755031471247,2393.5020198420493,84,1269186.65684676,90000.00000000013,0.0047155433263824,99999.99999887896
-34.12944314102144,796941.0286764045,710134.4904844258,249802.9652897481,0.0853128562494392,15903.376680582664,28166.51655136067,3065.021920940435,3544.513310592405,2411.4084607554223,86,2525044.251138424,91619.91858105312,0.0021087900597653,7598.285991384369
