ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-427.0265191001664,729869.9854809205,483540.10790217743,125674.23389985664,83822.50490515311,16395.164539317975,27440.01891762104,13122.371304135911,2613.7713347795006,3148.416411433025,438.08323641085263,194.2090686465979,1443.0275405243551,1.958267484795611e-05
-416.12191495562206,713033.5751627879,490417.78724488645,131095.08383878562,85333.33618661662,16952.397442783786,27481.55224395672,11619.402669827758,2726.4852052231445,3218.907438002172,723.8256498042161,255.33075488371335,1452.9863598188847,1.0370397532012072e-05
-467.839797304885,727456.2207684931,500287.5078767983,128489.99878243462,86639.37417326646,16612.946301822958,26706.44990893096,11839.98717421812,2854.52729032514,3199.580777453054,516.1568582397267,343.037320209662,1966.4047647432012,2.097708067544695e-05
-376.68304890984393,758121.2534467541,520903.07594022487,125917.4765933897,86169.94203423565,16084.302494349544,28129.40666828808,11330.22059543716,2766.5157195311485,3318.945499078733,650.8270048695556,345.3000387072544,1560.227994882936,1.603878652410885e-05
-389.2046685331877,718756.1444467816,494878.79077549727,126049.25438600197,86975.99506301626,16876.878075602242,27345.707424536387,11815.071387555312,2772.737700580296,3230.541081896128,595.1088939108382,294.4149360025093,1316.092444168149,1.4339178249938589e-05
-433.3910224495697,745984.4828707594,493468.9439616704,128529.09058654725,87126.66063641889,16430.839338713748,28140.158195306285,12589.893082046086,2688.052646015291,3198.474473819416,594.8669924871967,321.303579784204,1426.7793894708643,1.4132931590669882e-05
-520.8467020026653,748347.2556910827,460247.7285872567,122857.92491218248,82624.10974458119,16014.987237536754,27135.40056296604,15386.118994994946,2531.2263716161387,3023.076426532744,320.21815011005884,108.08697540722584,1364.5836611136483,2.78362493349307e-05
-419.9914650543244,702185.2604606987,474971.06244101207,126763.1383947245,85102.47747367108,16625.57411487076,26455.955966059217,11745.751241859043,2737.9574991351333,3056.708535437664,557.0781403255548,333.60690149019376,1459.563106758,1.846838987551299e-05
-425.57488214741954,740757.8054681085,503388.01015018736,131567.19102586838,84200.23265800184,16676.973406145684,27599.878730886747,11811.280840460922,2803.820461591561,3310.278248306165,722.5062511067721,204.11248385450023,1503.8307982798265,8.224114760476171e-06
-379.19514907492993,738515.2762946388,499852.5449711224,128001.66595095168,87314.4971048947,16508.251309259267,26990.14670784609,12664.193010769408,2681.0143003885987,3234.168135461508,542.4357462232202,367.6793446669103,1447.8656685575968,2.076809391238556e-05
-426.29378881661177,715082.3211888513,490308.8385029093,129886.86360847858,85222.42957934807,16704.14522662374,27324.40254133313,11847.79781986594,2632.6677328799847,3228.6234600663715,746.3050443254106,274.1945345885579,1341.422477978332,1.1943610315646565e-05
-474.9143282831327,724259.5406323107,484219.0382435905,129930.91204568696,86324.1457406611,16837.617779043245,27586.60983475107,12968.919099321987,2646.077081620141,3142.6001511372447,611.7339498610107,280.26266501302564,1360.8400514549091,1.7229476506317572e-05
-397.0036314435366,735156.4143320865,502840.2508435885,126227.43992576546,86366.3411181145,16705.993783874004,26744.850233976787,11732.296613820214,2897.149148433525,3252.2782329847973,514.5342830696345,359.6666018002307,1570.7911797809277,2.402088354482392e-05
-353.66437947283373,748631.682165116,526571.7333622436,137361.2951722707,85296.00579465048,16154.023901341216,28220.532423053803,11128.45691812763,3023.2382276546505,3411.1594587419686,1017.9991277428768,289.2876785117928,1425.3762607494778,9.882847492759692e-06
-414.7773355421537,715029.6258067084,528561.7716274632,136136.60071079418,90100.54605428268,16479.14817133221,27850.474912249083,9381.141163888666,3009.8028022762546,3264.941287795248,1190.3435235400136,550.2632448036117,1694.3537212551562,8.297811626767319e-06
-473.4942473254139,749510.9083891644,501156.8157764798,124564.86363789006,82987.90057858298,16509.138224445476,28680.359492291183,13621.69639125979,2808.9022276805927,3290.501692392469,464.1981863022317,127.85123848621488,1297.3491773287046,1.897481092546139e-05
-358.91123871459627,748843.9868339519,478474.2581062619,119415.60807722784,83825.7494434694,16232.838384359393,28193.371074409893,14633.710707761911,2753.918828364873,3237.1408505097293,280.94782577034454,178.3430023167445,1410.0939054215935,3.378776102311128e-05
