ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-569.4120520027668,760350.4332752549,520796.94897248806,127117.424651522,87108.04025986798,16107.120729283492,27343.758229885832,12665.93477616966,2771.250216387408,3334.458475870801,613.3414334046975,312.88421243396647,1330.884502106732,1.427321123056958e-05
-444.8781068359712,772414.1487002664,500524.0601388881,135089.52936100762,86958.84716793071,15750.451992258242,28056.84793582493,14472.87403799583,2824.477148583831,3206.776543759663,1007.5445228765378,472.1949074488247,1612.5731103039002,1.2360612494067213e-05
-443.6675240300359,793699.6541986545,470800.7633121865,122453.553116794,82287.52139446499,15794.230434181542,29034.41039659119,17309.152955438753,2714.790769762404,3209.0302184197253,390.6505276313673,100.9225757902619,1646.1636355701717,2.464454834911212e-05
-466.50329083467176,802638.7554200952,536867.9655593307,128180.46359999244,84861.52299786061,15344.35176530835,29320.433430141235,13465.192043018746,2890.0871430625007,3377.513801780849,633.1782751810654,206.0533443815847,1573.4507567094072,1.808166623624896e-05
-481.8773534561288,776641.3938014996,442742.8004895671,130002.29784469948,88293.91735157307,15666.851407291924,27922.613469744727,17997.593269794015,2562.420185250825,2824.772320334629,681.2142260606512,423.9125581919294,1568.159742028523,1.666983964539877e-05
-364.3285882850145,778967.4107834403,536094.8130661676,130569.74621325317,87057.75452258931,15866.261559790551,29496.427799142934,12384.266631871891,3141.7401250814664,3380.1262320537703,800.5500326370006,314.8922087533227,1538.588405225148,1.018855483047388e-05
-309.1638925667229,780114.8288625787,527218.4065714852,134687.3222004748,87348.81267723459,15534.91537884925,29923.681717691645,12678.294898017484,2886.095097014436,3304.499966222824,1119.7431934467436,363.0149055836898,1333.3904462950973,1.0470058417947412e-05
-389.20714045862553,779230.297074013,487775.178565838,134984.8179458071,84200.77704712015,15530.800699513942,28238.04944895668,14509.34511566864,2725.8695105505003,3192.5989205961714,1044.5032187362049,180.57348843588537,1402.5547336878649,7.854804915956957e-06
-574.5435999428839,739737.2105318632,518565.6001782003,129581.70785918526,87118.23574131394,15948.454791455908,27203.533389265474,11824.831599749648,2850.468610137093,3301.438370376368,642.0915480242551,298.64126797844693,1296.9482623995975,1.6509667584749326e-05
-470.5222526232352,756996.3395438411,539303.3300546049,125482.39539318706,86978.66277207137,16201.153253452463,27951.386091833927,11034.256570795773,3130.529739364418,3470.284093541286,439.31774408910974,388.69739484691615,1775.2028621744423,2.5262070992422437e-05
-546.1993437353041,815190.187879305,527704.5182418845,120711.64130722891,82161.37409127125,15473.720232849611,29442.690853395525,14332.158279383537,2855.584910122688,3437.4798650750768,299.3911692342064,92.74737291507893,1610.9834325018394,3.250546392948604e-05
-435.85775911855626,777573.7300552587,519895.1478772422,135022.64372906377,84254.38989197536,15808.400095849176,28506.90113580941,12790.73666922106,3077.5264409224187,3297.1239221057017,1100.5607269036366,231.99099998648697,1500.9974698956548,8.254751714553386e-06
-379.5970826654549,791217.6240356988,510640.7340551616,132546.4471729488,85443.49648070888,15683.523646963898,29132.73571744707,14201.233345168088,2989.8454296763075,3349.7197583616835,890.3028555042268,255.3769162597396,1548.7692710120048,8.97849345099541e-06
-417.92002242366016,782881.4464948743,490780.533600316,126937.88360801848,84086.91375283248,15731.886716833422,28248.8616469565,16219.80487919894,2782.489761594966,3260.161781092644,538.2129397976194,174.03276901846235,1553.4336390877918,1.7969872596474237e-05
-315.24829688202965,759721.1041438053,498642.0801853498,128456.87621774628,83956.83718321347,16163.345299455104,27662.22881691865,13752.434928668488,2947.468043195047,3323.0561644743198,848.0644635142224,195.0022545658028,1621.987118732599,1.1979011908288993e-05
