rep,T_NDMH,T_ND,T_MH_N,T_AWN,T_CV,T_OOA,T_Bas,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stu,N_Ust,p_S_ND,p_S_D,p_H_N,p_H_NW,p_N_OOA,p_L_S,m_ND,m_SL,m_SY,m_LY
10,805201.4615990809,767139.2984155238,303943.4566013072,116125.86181651003,58697.38368506224,61662.18866859882,60015.97262824698,7008.9458576063535,14353.461338314333,2181.6774388030894,3054.186086369172,2876.9033131409974,140.61350322974863,695.6939833954326,48.09239828138964,37039.76918100793,12894.904400864061,109.88891672931067,1300.6645107861948,5065.608333082725,4531.071315969192,0.03595200140718298,0.01445356310384742,0.05845068703842483,0.012260073418858179,0.026290970868367368,0.3315398127111672,6.3818700279360574e-06,5.137286528258551e-07,5.825124600722462e-07,0.00012332637244006576
11,745501.4135352365,731776.1564677249,312575.92712333804,117558.45057727616,62699.84292848423,69105.54381806176,62827.93293418997,10892.057994838164,15202.38360310391,689.8074147724465,3091.168433695592,2758.1942906512504,321.8398075424729,980.0124606754385,110.85066887725552,36624.36896242013,11817.319481995304,406.83053016933343,1314.7373450793382,4268.464202228912,2859.0413684344794,0.03806104394552284,0.01797592898274044,0.08378403350914954,0.01060368322894503,0.02665984679701764,0.40237443230181935,6.208281771738516e-06,1.0602467471203724e-06,2.827698101930208e-06,0.0001349962573798638
12,855979.5553290341,818778.9952787894,399999.18171542755,117549.62243047367,61179.336723093045,72141.83749729116,63116.52294175587,9291.130111781766,13598.00739012652,2345.246017366956,2944.8436413469544,2880.42112443906,251.85932192726239,823.8456982175536,104.5495686533569,39811.797032838345,12359.023023998272,563.2788844842427,1325.5619723035727,4223.464619263677,9179.067811940015,0.03680572563014736,0.022665604834022777,0.11240574672296973,0.009165236951190495,0.02990038255068614,0.39009255466938286,7.735173864259061e-06,7.538592197389303e-06,2.932555196202467e-06,0.00013453276396896532
13,770651.0573520251,701952.1849208958,264060.26693953015,117380.30556739501,60068.774377085494,81027.98415712008,60943.24447020517,7010.883358669369,14782.170882983566,2635.0401148030714,3380.666843036483,2743.017845084179,203.6105143422984,818.1104396255728,105.82009937624328,37772.51615498428,12953.797673094385,1141.229930252183,1287.6662633301871,4902.565846521974,8813.417429126559,0.04385623435180559,0.015806328476512876,0.07929490416495663,0.012766377533934895,0.030397956508473323,0.3403737658038519,3.656031112390434e-06,4.2325625023223185e-06,2.2943503285428035e-06,0.0001304562840123818
14,737152.032824072,689249.9394736707,337326.2460970806,116943.77354889685,60328.82336167399,74587.78038105389,64049.2953442196,7000.006715875735,15390.109643525064,1978.9358685261666,3303.518330187032,2985.489185623022,226.49558071390553,876.5687682186501,81.49822676808702,36852.5077357581,11614.083178554518,613.9025454950508,1310.9056633573273,4129.112984569512,9559.377197244046,0.03768615082399591,0.01602297639031584,0.09786446996689784,0.00720948396339822,0.03316484879217116,0.3959172049341382,4.609027560324332e-06,1.9358425216887315e-06,2.3693472040012113e-06,0.00014372457686325939
15,798595.4729147297,755193.6096014495,399999.99883560324,117249.68503535126,60323.08334115166,76662.19075092721,59985.54910558627,8117.924457144115,14488.73737896357,2489.399008389049,2918.315742552864,2849.3070553223897,210.16665424819675,751.1543955028407,92.67889416203023,36807.27889710197,13334.142143639216,1010.556059342359,1362.5355700904347,5273.52432862947,9998.643263046177,0.036190441555799174,0.02081813278581001,0.11135511721784651,0.010452124853850287,0.025930816697751567,0.32291548251571756,7.426731022611155e-06,2.4128082556931533e-06,5.455523232897655e-06,0.0001166639662816856
16,776141.8386455461,699306.0137307533,392929.03229933477,119867.04311947522,56032.81398622974,73384.54282644947,62450.551370662906,12996.81353869454,15081.46795171998,3628.0836267605305,3174.8852621745627,3060.629578494736,37.29003001603663,584.3809968233434,234.1402296489636,35184.81144977869,12842.770171918635,708.9517072693103,1316.742768412234,5056.083900958074,9509.729143228707,0.028842810138193762,0.010479127392026971,0.08736693300936448,0.012971662170632718,0.02940966519749114,0.4011868384155155,5.103589338997241e-06,5.652536509133597e-06,3.9425069611649725e-06,0.00012374969843972713
17,826718.9186422292,795818.9376231413,399999.2864431227,116330.98813609609,59710.49748585966,69622.28379085161,62566.338701195666,7314.758302513988,13766.754093520025,2094.5297892312406,2880.3600149256417,2851.4163103868013,187.51384535278953,859.4195517547099,55.47591173337702,40432.39721370251,13004.330680217341,458.0967630102153,1362.7620095026084,4382.9151676677075,7837.803051127203,0.05079271950542988,0.018631581908967416,0.09886745135178411,0.009557717483781238,0.024255385822265527,0.38039103971690125,8.205271873460123e-06,8.85158884036677e-07,2.1328369762106046e-06,0.0001307847513421504
18,700784.4771273304,681257.2430176532,368587.32428872486,116620.4706866299,57244.31149329904,64676.21522246819,60214.059657495054,7000.076851664728,16363.676490792897,873.1454510692852,3231.6775464159628,2998.76288826193,85.86010352781435,638.387973660512,70.1856129409109,31766.703882103047,11921.862427847878,282.3977870356166,1280.1154053306902,4589.531505308355,8037.913219886681,0.02125825969938449,0.010279994295962495,0.10422918647254575,0.010823804222285129,0.02907014520592177,0.3266731074989519,4.606517278761505e-06,3.618942716033316e-06,6.791194131741905e-06,0.0001242726845338459
19,780090.9842653568,718516.8908839842,399999.9951894326,117577.4322576932,60417.09206152786,66115.08119323078,63545.20484140083,8535.464478597076,14856.613072698794,2945.75136021761,3141.7270915411987,3048.252233084898,224.10892026031146,828.3442121819031,106.96020023182894,37061.392216362736,11684.209590582908,166.2854201094082,1291.1725364099448,3848.541159385414,9174.87060445851,0.03298886323018392,0.014218592456901312,0.11283915624136438,0.006383267420987387,0.027573897595248316,0.39008773547385445,5.923215249014545e-06,9.721366293807398e-06,4.284111413976357e-06,0.00013956148369281786
