ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-336.2637027290516,788618.8290265771,512128.6601982249,128904.2953635297,84542.43632372942,15869.953738202616,28858.522657292724,14320.546755016076,2747.939010554029,3374.283225339801,545.5394265368589,166.372497479832,1426.9425271805942,1.8987636685141125e-05
-392.5767724346836,764293.3969911028,571424.2430116383,127976.2678153508,85591.47040711847,16203.72842020699,27867.24269840296,9779.585274713489,3129.3990349903584,3553.8979264838367,500.2248737977699,253.0069431128733,1703.892791133556,2.334000455665984e-05
-443.90554333665006,766359.2439791451,546591.8247213378,131630.6774977793,84210.0701468704,16062.673723884218,26906.58995235188,11620.954946997725,2806.864975534175,3459.5931626622864,707.6175594308819,193.97421214265972,1353.1418527136746,1.51782528447961e-05
-304.6167854242516,809606.3322600304,582955.5464316973,135418.02374076698,83160.52046048532,15402.379052199924,29345.80234113927,10373.804013261712,3310.343984928554,3656.919457952026,1109.9271841479322,130.71023774294022,1500.9996967447178,1.0156590400791069e-05
-431.1519241815792,755863.0046358427,581819.4342258552,137827.9578091927,88041.89669025973,16380.278945955672,28498.19177326092,8540.656399393252,3027.820937942634,3582.004724856341,1005.0167693065353,380.5321073945087,1477.251390933401,1.1015207839174531e-05
-574.4681246261265,734753.2366805346,521086.641154412,132848.7136278994,84709.14475988691,17233.075080881335,27621.411703443253,11182.18783406431,2876.097575061079,3436.2229335626407,668.2096491327588,204.9603354113852,1683.368804671334,1.4332278615627108e-05
-363.16119393875454,774196.4091363729,519655.7155933163,125457.86247987968,84097.35199036197,15837.875535996804,28380.755277411397,13077.8750082346,2768.5798227431696,3435.536824898427,506.443907611043,167.5099820229989,1349.8675706435963,1.549389354899215e-05
-434.8770788580582,807357.8301182782,535358.6002353227,128847.09823555544,82843.35873022128,15211.05569713488,29022.541144158004,13991.295863424117,3083.243946947411,3436.035877973469,821.3593814806629,123.08879815833708,1541.5165306860338,1.1383126183321617e-05
-403.7301868167823,770032.1316675717,541184.3119058004,136208.56549592514,85383.9547351924,16004.782268416926,28363.72885743603,11290.197289715928,3150.7270036204523,3457.2767075358406,1111.3280362922787,254.7014463871929,1417.6840536033833,8.896161355524278e-06
-337.47601923380785,810160.1115721839,523900.75117095874,136586.8046515258,83332.40798423212,15422.927397458305,28865.388542864992,14032.76837332531,2883.8481244411514,3381.547868133143,974.1378244457732,123.98514843163476,1317.2487748677809,1.1790527582104552e-05
