ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
-202.4114880546079,711743.034952999,689835.0436684235,117199.2703872548,86897.47188389713,17087.250193243475,25518.885527029903,903.6745173383142,3523.7158927822284,2790.232426885608,200.2797354006704,378.360179229209,1481.1957122574352,5.26025397376156e-05,257115.211243604,0.105613430953201
-194.67699091736705,754092.6703513132,731047.8923482326,125556.5884667512,83240.76179999429,16861.450715679963,26712.464837049647,931.2259435944188,3715.4016519596607,2864.2788608742458,471.8399526067679,159.99337641114155,1366.330251021471,1.6253854338337558e-05,211894.38752804225,0.0742091935866229
-197.5774940502785,673853.1081347781,653979.1750209205,125477.98145764206,82808.05791616,17719.59218455853,23826.526772998463,858.4473176724858,3423.6738886562644,2860.6823131265,507.3747615907321,122.00459634381798,1358.432547591294,1.2194327277006023e-05,265476.59635372594,0.0945712932064555
-209.64526922199252,682021.4921553222,656294.7602051407,118688.01977949524,85669.17535824046,17870.712495902495,24418.30858812241,986.3476802781278,3796.844514543134,2495.7997376735466,244.03617131733165,329.0836357527699,1454.3742174603892,4.425389546588091e-05,255343.8215643591,0.1305434132108665
-313.9043592101061,741032.9410552537,719577.2008913045,122293.23071567342,84112.6806233943,16570.434093994594,26385.378494430945,806.0894820939026,3679.997366367805,2674.940099263747,389.9511452632103,210.112528135922,1643.4652296896927,2.0290455186935196e-05,226937.3675656992,0.0935731493230029
-202.4712787355217,727786.7076896629,705198.6222877956,120732.75355926622,83260.78093017028,16800.552834571074,25782.471868108336,878.3737790367113,3426.626013876101,2816.839577919509,312.9486173169782,110.75637233140426,1287.7719787806402,3.0853280418241935e-05,256256.3457463779,0.1018491751551838
-222.8954660163302,729488.4315748307,706717.1457406407,125851.02504365252,85721.00644850144,16934.45664656864,26937.882024827508,887.2195243965814,3531.582451268229,2788.511101325568,442.2823646071388,250.56333242164712,1370.6158047720762,2.378088470059137e-05,248003.09165316707,0.0951453824735491
-195.41128752355937,691082.0820886455,672714.9429116418,120708.93897574466,83253.43992065173,17228.19503842799,24538.099532943288,804.2094678866961,3715.4571333079034,2686.2045102414504,325.71346991313203,179.2855838045116,1387.679116996727,2.9883758272289693e-05,194676.37324068157,0.070987276899943
-209.2919545737468,734425.6150345202,712309.2920558115,116734.15294936713,82496.26984209793,16998.18257212751,26379.25478953541,826.00983932156,3731.3808438877168,2815.676500376068,210.960327355824,117.46228530403684,1520.3800312876729,4.401003981145538e-05,253166.5581149537,0.1057264822764754
-168.12385621008053,723985.4525341418,692475.0070679142,133588.0908203326,103360.41739559034,17049.836498802462,26057.01205233461,1252.1243996349122,3458.417512412481,2450.4386977640843,766.5633051845999,1541.9982840475077,2401.559993039578,1.7733228351986298e-05,238436.71247595103,0.0967185900255575
-216.87865198936717,723462.4548033985,700794.5521798957,119272.6465742833,88216.10475396382,17149.24196743624,26196.91920629935,912.2397279549896,3451.325454156647,2746.7917470416023,280.8641900805251,316.2276508193426,1595.4031755422714,4.192892996320675e-05,253302.3320782722,0.1009193996173692
-231.41713718239967,691113.524543555,663734.32172935,116042.19750512645,83237.22123627536,17656.5917583487,26080.834433111395,1059.898625223456,3765.586633085986,2766.276552565855,172.15796044636713,130.15124058675462,1318.9437188035592,5.088409918612011e-05,274680.579328284,0.1240957670573589
-192.49378599895303,704583.7268594035,684499.9076715796,116283.43725240765,82217.7863569289,17412.573472288106,25575.33047086892,803.6716282737375,3645.255516908239,2762.026753675813,154.19115538685966,86.42313092228576,1126.517627838259,4.540882214069679e-05,253634.62796072796,0.1062363812852917
